candidate,office,district,party,county,precinct,total votes 
,Registered Voters ,,,Lewis,Precinct 1,189
,Ballots Cast ,,,Lewis,Precinct 1,113
,Straight Party Ticket ,,REP,Lewis,Precinct 1,9
,Straight Party Ticket ,,DEM,Lewis,Precinct 1,22
,Straight Party Ticket ,,CON,Lewis,Precinct 1,0
,Straight Party Ticket ,,MTN,Lewis,Precinct 1,0
John R. Raese,US Senate,,REP,Lewis,Precinct 1,30
Joe Manchin III,US Senate,,DEM,Lewis,Precinct 1,73
Jeff Becker,US Senate,,CON,Lewis,Precinct 1,3
Jesse Johnson ,US Senate,,MTN,Lewis,Precinct 1,5
Shelley Moore Capito,US House,2,REP,Lewis,Precinct 1,59
Virginia Lynch Graf,US House,2,DEM,Lewis,Precinct 1,46
Phil Hudok,US House,2,CON,Lewis,Precinct 1,3
Russ Snyder,State Senate,12,REP,Lewis,Precinct 1,33
Joseph M. (Joe) Minard ,State Senate,12,DEM,Lewis,Precinct 1,72
Peggy Donaldson Smith,House of Delegates,38,DEM,Lewis,Precinct 1,98
,Registered Voters ,,,Lewis,Precinct 2,295
,Ballots Cast ,,,Lewis,Precinct 2,160
,Straight Party Ticket ,,REP,Lewis,Precinct 2,22
,Straight Party Ticket ,,DEM,Lewis,Precinct 2,27
,Straight Party Ticket ,,CON,Lewis,Precinct 2,0
,Straight Party Ticket ,,MTN,Lewis,Precinct 2,0
John R. Raese,US Senate,,REP,Lewis,Precinct 2,73
Joe Manchin III,US Senate,,DEM,Lewis,Precinct 2,80
Jeff Becker,US Senate,,CON,Lewis,Precinct 2,5
Jesse Johnson ,US Senate,,MTN,Lewis,Precinct 2,0
Shelley Moore Capito,US House,2,REP,Lewis,Precinct 2,117
Virginia Lynch Graf,US House,2,DEM,Lewis,Precinct 2,32
Phil Hudok,US House,2,CON,Lewis,Precinct 2,7
Russ Snyder,State Senate,12,REP,Lewis,Precinct 2,67
Joseph M. (Joe) Minard ,State Senate,12,DEM,Lewis,Precinct 2,85
Peggy Donaldson Smith,House of Delegates,38,DEM,Lewis,Precinct 2,121
,Registered Voters ,,,Lewis,Precinct 3,284
,Ballots Cast ,,,Lewis,Precinct 3,777
,Straight Party Ticket ,,REP,Lewis,Precinct 3,35
,Straight Party Ticket ,,DEM,Lewis,Precinct 3,30
,Straight Party Ticket ,,CON,Lewis,Precinct 3,1
,Straight Party Ticket ,,MTN,Lewis,Precinct 3,0
John R. Raese,US Senate,,REP,Lewis,Precinct 3,83
