candidate,office,district,party,county,precinct,total votes
,Registered Voters,,,Fayette,Precinct 1,949
,Registered Voters,,DEM,Fayette,Precinct 1,780
,Registered Voters,,REP,Fayette,Precinct 1,169
,Registered Voters,,MTN,Fayette,Precinct 1,0
,Ballots Cast,,,Fayette,Precinct 1,122
,Ballots Cast,,DEM,Fayette,Precinct 1,96
,Ballots Cast,,REP,Fayette,Precinct 1,26
,Ballots Cast,,MTN,Fayette,Precinct 1,0
Ken Hechler,US Senate,,DEM,Fayette,Precinct 1,16
Sheirl Fletcher,US Senate,,DEM,Fayette,Precinct 1,9
"Joe Manchin, III",US Senate,,DEM,Fayette,Precinct 1,71
Thomas Ressler,US Senate,,REP,Fayette,Precinct 1,0
"Harry C. Bruner. Jr,",US Senate,,REP,Fayette,Precinct 1,3
Frank Kubic,US Senate,,REP,Fayette,Precinct 1,0
John R Raese,US Senate,,REP,Fayette,Precinct 1,22
Daniel Rebich,US Senate,,REP,Fayette,Precinct 1,0
Kenneth A. Culp,US Senate,,REP,Fayette,Precinct 1,1
Albert Howard,US Senate,,REP,Fayette,Precinct 1,0
Lynette Kennedy McQuain,US Senate,,REP,Fayette,Precinct 1,0
Scott H. Williams,US Senate,,REP,Fayette,Precinct 1,0
Mac Warner,US Senate,,REP,Fayette,Precinct 1,0
Jesse Johnson,US Senate,,MTN,Fayette,Precinct 1,0
,Registered Voters,,,Fayette,Precinct 4,724
,Registered Voters,,DEM,Fayette,Precinct 4,554
,Registered Voters,,REP,Fayette,Precinct 4,170
,Registered Voters,,MTN,Fayette,Precinct 4,0
,Ballots Cast,,,Fayette,Precinct 4,102
,Ballots Cast,,DEM,Fayette,Precinct 4,76
,Ballots Cast,,REP,Fayette,Precinct 4,26
,Ballots Cast,,MTN,Fayette,Precinct 4,0
Ken Hechler,US Senate,,DEM,Fayette,Precinct 4,17
Sheirl Fletcher,US Senate,,DEM,Fayette,Precinct 4,12
"Joe Manchin, III",US Senate,,DEM,Fayette,Precinct 4,46
Thomas Ressler,US Senate,,REP,Fayette,Precinct 4,0
"Harry C. Bruner. Jr,",US Senate,,REP,Fayette,Precinct 4,0
Frank Kubic,US Senate,,REP,Fayette,Precinct 4,0
John R Raese,US Senate,,REP,Fayette,Precinct 4,21
Daniel Rebich,US Senate,,REP,Fayette,Precinct 4,1
Kenneth A. Culp,US Senate,,REP,Fayette,Precinct 4,1
Albert Howard,US Senate,,REP,Fayette,Precinct 4,0
Lynette Kennedy McQuain,US Senate,,REP,Fayette,Precinct 4,0
Scott H. Williams,US Senate,,REP,Fayette,Precinct 4,0
Mac Warner,US Senate,,REP,Fayette,Precinct 4,3
Jesse Johnson,US Senate,,MTN,Fayette,Precinct 4,0
,Registered Voters,,,Fayette,Precinct 5,566
,Registered Voters,,DEM,Fayette,Precinct 5,465
,Registered Voters,,REP,Fayette,Precinct 5,101
,Registered Voters,,MTN,Fayette,Precinct 5,0
,Ballots Cast,,,Fayette,Precinct 5,69
,Ballots Cast,,DEM,Fayette,Precinct 5,56
,Ballots Cast,,REP,Fayette,Precinct 5,13
,Ballots Cast,,MTN,Fayette,Precinct 5,0
Ken Hechler,US Senate,,DEM,Fayette,Precinct 5,10
Sheirl Fletcher,US Senate,,DEM,Fayette,Precinct 5,9
"Joe Manchin, III",US Senate,,DEM,Fayette,Precinct 5,37
Thomas Ressler,US Senate,,REP,Fayette,Precinct 5,1
"Harry C. Bruner. Jr,",US Senate,,REP,Fayette,Precinct 5,0
Frank Kubic,US Senate,,REP,Fayette,Precinct 5,0
John R Raese,US Senate,,REP,Fayette,Precinct 5,10
Daniel Rebich,US Senate,,REP,Fayette,Precinct 5,0
Kenneth A. Culp,US Senate,,REP,Fayette,Precinct 5,0
Albert Howard,US Senate,,REP,Fayette,Precinct 5,0
