candidate,office,district,party,county,precinct,total votes 
,Straight Party,,REP,Mingo,Precinct 1,23
,Straight Party,,DEM,Mingo,Precinct 1,53
,Straight Party,,MTN,Mingo,Precinct 1,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 1,75
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 1,127
Jeff Becker,U.S. Senate,,,Mingo,Precinct 1,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 1,0
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 1,92
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 1,106
H Truman Chafin ,State Senate,6,,Mingo,Precinct 1,149
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 1,150
Harry Keith White,House of Delegates,21,,Mingo,Precinct 1,
,Straight Party,,REP,Mingo,Precinct 3,3
,Straight Party,,DEM,Mingo,Precinct 3,50
,Straight Party,,MTN,Mingo,Precinct 3,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 3,20
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 3,108
Jeff Becker,U.S. Senate,,,Mingo,Precinct 3,2
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 3,1
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 3,36
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 3,91
H Truman Chafin ,State Senate,6,,Mingo,Precinct 3,91
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 3,103
Harry Keith White,House of Delegates,21,,Mingo,Precinct 3,
,Straight Party,,REP,Mingo,Precinct 5,6
,Straight Party,,DEM,Mingo,Precinct 5,7
,Straight Party,,MTN,Mingo,Precinct 5,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 5,18
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 5,35
Jeff Becker,U.S. Senate,,,Mingo,Precinct 5,0
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 5,0
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 5,30
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 5,22
H Truman Chafin ,State Senate,6,,Mingo,Precinct 5,37
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 5,40
Harry Keith White,House of Delegates,21,,Mingo,Precinct 5,
,Straight Party,,REP,Mingo,Precinct 7,19
,Straight Party,,DEM,Mingo,Precinct 7,66
,Straight Party,,MTN,Mingo,Precinct 7,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 7,77
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 7,178
Jeff Becker,U.S. Senate,,,Mingo,Precinct 7,0
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 7,3
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 7,106
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 7,141
H Truman Chafin ,State Senate,6,,Mingo,Precinct 7,185
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 7,189
Harry Keith White,House of Delegates,21,,Mingo,Precinct 7,
,Straight Party,,REP,Mingo,Precinct 9,28
,Straight Party,,DEM,Mingo,Precinct 9,37
,Straight Party,,MTN,Mingo,Precinct 9,1
John R. Raese,U.S. Senate,,,Mingo,Precinct 9,159
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 9,184
Jeff Becker,U.S. Senate,,,Mingo,Precinct 9,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 9,6
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 9,201
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 9,153
H Truman Chafin ,State Senate,6,,Mingo,Precinct 9,223
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 9,247
Harry Keith White,House of Delegates,21,,Mingo,Precinct 9,
,Straight Party,,REP,Mingo,Precinct 22-1,12
,Straight Party,,DEM,Mingo,Precinct 22-1,31
,Straight Party,,MTN,Mingo,Precinct 22-1,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 22-1,66
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 22-1,85
Jeff Becker,U.S. Senate,,,Mingo,Precinct 22-1,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 22-1,4
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 22-1,81
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 22-1,69
H Truman Chafin ,State Senate,6,,Mingo,Precinct 22-1,108
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 22-1,105
Harry Keith White,House of Delegates,21,,Mingo,Precinct 22-1,
,Straight Party,,REP,Mingo,Precinct 22-2,20
,Straight Party,,DEM,Mingo,Precinct 22-2,36
,Straight Party,,MTN,Mingo,Precinct 22-2,2
John R. Raese,U.S. Senate,,,Mingo,Precinct 22-2,72
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 22-2,106
Jeff Becker,U.S. Senate,,,Mingo,Precinct 22-2,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 22-2,3
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 22-2,103
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 22-2,76
H Truman Chafin ,State Senate,6,,Mingo,Precinct 22-2,120
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 22-2,130
Harry Keith White,House of Delegates,21,,Mingo,Precinct 22-2,
,Straight Party,,REP,Mingo,Precinct 23,17
,Straight Party,,DEM,Mingo,Precinct 23,52
,Straight Party,,MTN,Mingo,Precinct 23,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 23,57
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 23,126
Jeff Becker,U.S. Senate,,,Mingo,Precinct 23,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 23,3
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 23,82
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 23,99
H Truman Chafin ,State Senate,6,,Mingo,Precinct 23,121
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 23,126
Harry Keith White,House of Delegates,21,,Mingo,Precinct 23,
,Straight Party,,REP,Mingo,Precinct 26,12
,Straight Party,,DEM,Mingo,Precinct 26,53
,Straight Party,,MTN,Mingo,Precinct 26,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 26,44
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 26,115
Jeff Becker,U.S. Senate,,,Mingo,Precinct 26,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 26,0
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 26,51
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 26,106
H Truman Chafin ,State Senate,6,,Mingo,Precinct 26,128
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 26,128
Harry Keith White,House of Delegates,21,,Mingo,Precinct 26,
,Straight Party,,REP,Mingo,Precinct 27-1,14
,Straight Party,,DEM,Mingo,Precinct 27-1,42
,Straight Party,,MTN,Mingo,Precinct 27-1,1
John R. Raese,U.S. Senate,,,Mingo,Precinct 27-1,54
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 27-1,116
Jeff Becker,U.S. Senate,,,Mingo,Precinct 27-1,0
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 27-1,0
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 27-1,67
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 27-1,102
H Truman Chafin ,State Senate,6,,Mingo,Precinct 27-1,128
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 27-1,130
Harry Keith White,House of Delegates,21,,Mingo,Precinct 27-1,
,Straight Party,,REP,Mingo,Precinct 27-2,12
,Straight Party,,DEM,Mingo,Precinct 27-2,34
,Straight Party,,MTN,Mingo,Precinct 27-2,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 27-2,59
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 27-2,108
Jeff Becker,U.S. Senate,,,Mingo,Precinct 27-2,0
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 27-2,2
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 27-2,72
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 27-2,94
H Truman Chafin ,State Senate,6,,Mingo,Precinct 27-2,117
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 27-2,110
Harry Keith White,House of Delegates,21,,Mingo,Precinct 27-2,
,Straight Party,,REP,Mingo,Precinct 28,23
,Straight Party,,DEM,Mingo,Precinct 28,90
,Straight Party,,MTN,Mingo,Precinct 28,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 28,79
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 28,229
Jeff Becker,U.S. Senate,,,Mingo,Precinct 28,2
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 28,2
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 28,114
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 28,191
H Truman Chafin ,State Senate,6,,Mingo,Precinct 28,233
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 28,231
Harry Keith White,House of Delegates,21,,Mingo,Precinct 28,
,Straight Party,,REP,Mingo,Precinct 30,20
,Straight Party,,DEM,Mingo,Precinct 30,61
,Straight Party,,MTN,Mingo,Precinct 30,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 30,76
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 30,146
Jeff Becker,U.S. Senate,,,Mingo,Precinct 30,0
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 30,0
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 30,102
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 30,121
H Truman Chafin ,State Senate,6,,Mingo,Precinct 30,157
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 30,
Harry Keith White,House of Delegates,21,,Mingo,Precinct 30,21
,Straight Party,,REP,Mingo,Precinct 41,12
,Straight Party,,DEM,Mingo,Precinct 41,51
,Straight Party,,MTN,Mingo,Precinct 41,1
John R. Raese,U.S. Senate,,,Mingo,Precinct 41,29
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 41,118
Jeff Becker,U.S. Senate,,,Mingo,Precinct 41,4
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 41,2
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 41,44
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 41,109
H Truman Chafin ,State Senate,6,,Mingo,Precinct 41,114
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 41,117
Harry Keith White,House of Delegates,21,,Mingo,Precinct 41,
,Straight Party,,REP,Mingo,Precinct 43,20
,Straight Party,,DEM,Mingo,Precinct 43,37
,Straight Party,,MTN,Mingo,Precinct 43,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 43,70
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 43,135
Jeff Becker,U.S. Senate,,,Mingo,Precinct 43,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 43,2
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 43,115
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 43,91
H Truman Chafin ,State Senate,6,,Mingo,Precinct 43,137
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 43,153
Harry Keith White,House of Delegates,21,,Mingo,Precinct 43,
,Straight Party,,REP,Mingo,Precinct 44-1,15
,Straight Party,,DEM,Mingo,Precinct 44-1,35
,Straight Party,,MTN,Mingo,Precinct 44-1,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 44-1,39
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 44-1,97
Jeff Becker,U.S. Senate,,,Mingo,Precinct 44-1,1
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 44-1,0
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 44-1,59
"Nick Joe Rahall, II",U.S. House,3,,Mingo,Precinct 44-1,74
H Truman Chafin ,State Senate,6,,Mingo,Precinct 44-1,97
K Steven Kominar,House of Delegates,20,,Mingo,Precinct 44-1,98
Harry Keith White,House of Delegates,21,,Mingo,Precinct 44-1,
,Straight Party,,REP,Mingo,Precinct 44-2,24
,Straight Party,,DEM,Mingo,Precinct 44-2,64
,Straight Party,,MTN,Mingo,Precinct 44-2,0
John R. Raese,U.S. Senate,,,Mingo,Precinct 44-2,52
Joe Manchin III,U.S. Senate,,,Mingo,Precinct 44-2,145
Jeff Becker,U.S. Senate,,,Mingo,Precinct 44-2,0
Jesse Johnson ,U.S. Senate,,,Mingo,Precinct 44-2,0
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Mingo,Precinct 44-2,74
