candidate,office,district,party,county,precinct,total votes,650-ED,IVO-ED
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 1,4,3,1
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 1,2,0,2
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 1,15,14,1
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 1,8,6,2
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 1,0,0,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 1,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 2,2,2,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 2,1,1,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 2,28,25,3
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 2,5,5,0
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Scott H. Williams,U.S. Senate,,REP,Pendleton,Precinct 2,0,0,0
Mac Warner,U.S. Senate,,REP,Pendleton,Precinct 2,1,1,0
Jesse Johnson,U.S. Senate,,MTN,Pendleton,Precinct 2,0,0,0
Ken Hechler,U.S. Senate,,DEM,Pendleton,Precinct 3,17,14,3
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 3,6,5,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 3,26,20,6
Thomas Ressler,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Pendleton,Precinct 3,1,0,1
Frank Kubic,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 3,13,7,6
Daniel Rebich,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
Kenneth A. Culp,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
Albert Howard,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Pendleton,Precinct 3,0,0,0
