candidate,office,district,party,county,precinct,total votes
Thomas Ressler,U.S. Senate,,REP,Morgan,Precinct 1,6
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Morgan,Precinct 1,0
Frank Kubic,U.S. Senate,,REP,Morgan,Precinct 1,1
John R Raese,U.S. Senate,,REP,Morgan,Precinct 1,50
Daniel Rebich,U.S. Senate,,REP,Morgan,Precinct 1,0
Kenneth A. Culp,U.S. Senate,,REP,Morgan,Precinct 1,1
Albert Howard,U.S. Senate,,REP,Morgan,Precinct 1,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Morgan,Precinct 1,2
Scott H. Williams,U.S. Senate,,REP,Morgan,Precinct 1,0
Mac Warner,U.S. Senate,,REP,Morgan,Precinct 1,14
Ken Hechler,U.S. Senate,,DEM,Morgan,Precinct 1,4
Sheirl Fletcher,U.S. Senate,,DEM,Morgan,Precinct 1,3
"Joe Manchin, III",U.S. Senate,,DEM,Morgan,Precinct 1,39
Thomas Ressler,U.S. Senate,,REP,Morgan,Precinct 2,8
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Morgan,Precinct 2,2
Frank Kubic,U.S. Senate,,REP,Morgan,Precinct 2,2
John R Raese,U.S. Senate,,REP,Morgan,Precinct 2,40
Daniel Rebich,U.S. Senate,,REP,Morgan,Precinct 2,0
Kenneth A. Culp,U.S. Senate,,REP,Morgan,Precinct 2,2
Albert Howard,U.S. Senate,,REP,Morgan,Precinct 2,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Morgan,Precinct 2,1
Scott H. Williams,U.S. Senate,,REP,Morgan,Precinct 2,0
Mac Warner,U.S. Senate,,REP,Morgan,Precinct 2,12
Ken Hechler,U.S. Senate,,DEM,Morgan,Precinct 2,6
Sheirl Fletcher,U.S. Senate,,DEM,Morgan,Precinct 2,2
"Joe Manchin, III",U.S. Senate,,DEM,Morgan,Precinct 2,22
Thomas Ressler,U.S. Senate,,REP,Morgan,Precinct 4,6
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Morgan,Precinct 4,1
Frank Kubic,U.S. Senate,,REP,Morgan,Precinct 4,0
John R Raese,U.S. Senate,,REP,Morgan,Precinct 4,26
Daniel Rebich,U.S. Senate,,REP,Morgan,Precinct 4,0
Kenneth A. Culp,U.S. Senate,,REP,Morgan,Precinct 4,0
Albert Howard,U.S. Senate,,REP,Morgan,Precinct 4,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Morgan,Precinct 4,1
Scott H. Williams,U.S. Senate,,REP,Morgan,Precinct 4,1
Mac Warner,U.S. Senate,,REP,Morgan,Precinct 4,3
Ken Hechler,U.S. Senate,,DEM,Morgan,Precinct 4,3
Sheirl Fletcher,U.S. Senate,,DEM,Morgan,Precinct 4,1
"Joe Manchin, III",U.S. Senate,,DEM,Morgan,Precinct 4,12
Thomas Ressler,U.S. Senate,,REP,Morgan,Precinct 5,1
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Morgan,Precinct 5,0
Frank Kubic,U.S. Senate,,REP,Morgan,Precinct 5,1
John R Raese,U.S. Senate,,REP,Morgan,Precinct 5,18
Daniel Rebich,U.S. Senate,,REP,Morgan,Precinct 5,1
Kenneth A. Culp,U.S. Senate,,REP,Morgan,Precinct 5,3
Albert Howard,U.S. Senate,,REP,Morgan,Precinct 5,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Morgan,Precinct 5,1
Scott H. Williams,U.S. Senate,,REP,Morgan,Precinct 5,0
Mac Warner,U.S. Senate,,REP,Morgan,Precinct 5,8
Ken Hechler,U.S. Senate,,DEM,Morgan,Precinct 5,3
Sheirl Fletcher,U.S. Senate,,DEM,Morgan,Precinct 5,4
"Joe Manchin, III",U.S. Senate,,DEM,Morgan,Precinct 5,12
Thomas Ressler,U.S. Senate,,REP,Morgan,Precinct 6,1
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Morgan,Precinct 6,0
Frank Kubic,U.S. Senate,,REP,Morgan,Precinct 6,1
John R Raese,U.S. Senate,,REP,Morgan,Precinct 6,16
Daniel Rebich,U.S. Senate,,REP,Morgan,Precinct 6,0
Kenneth A. Culp,U.S. Senate,,REP,Morgan,Precinct 6,0
Albert Howard,U.S. Senate,,REP,Morgan,Precinct 6,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Morgan,Precinct 6,0
Scott H. Williams,U.S. Senate,,REP,Morgan,Precinct 6,0
Mac Warner,U.S. Senate,,REP,Morgan,Precinct 6,6
Ken Hechler,U.S. Senate,,DEM,Morgan,Precinct 6,1
Sheirl Fletcher,U.S. Senate,,DEM,Morgan,Precinct 6,0
"Joe Manchin, III",U.S. Senate,,DEM,Morgan,Precinct 6,15
Thomas Ressler,U.S. Senate,,REP,Morgan,Precinct 7,5
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Morgan,Precinct 7,0
Frank Kubic,U.S. Senate,,REP,Morgan,Precinct 7,1
John R Raese,U.S. Senate,,REP,Morgan,Precinct 7,11
