candidate,office,district,party,county,precinct,total votes
,Ballots Cast,,,Putnam,Precinct 1,93
,Ballots Cast,,DEM,Putnam,Precinct 1,40
,Ballots Cast,,REP,Putnam,Precinct 1,53
Ken Hechler,US Senate,,DEM,Putnam,Precinct 1,12
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 1,2
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 1,26
Thomas Ressler,US Senate,,REP,Putnam,Precinct 1,0
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 1,3
Frank Kubic,US Senate,,REP,Putnam,Precinct 1,0
John R Raese,US Senate,,REP,Putnam,Precinct 1,42
Daniel Rebich,US Senate,,REP,Putnam,Precinct 1,1
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 1,2
Albert Howard,US Senate,,REP,Putnam,Precinct 1,0
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 1,0
Scott H. Williams,US Senate,,REP,Putnam,Precinct 1,0
Mac Warner,US Senate,,REP,Putnam,Precinct 1,5
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 1,0
,Ballots Cast,,,Putnam,Precinct 2,53
,Ballots Cast,,DEM,Putnam,Precinct 2,27
,Ballots Cast,,REP,Putnam,Precinct 2,26
Ken Hechler,US Senate,,DEM,Putnam,Precinct 2,3
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 2,3
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 2,20
Thomas Ressler,US Senate,,REP,Putnam,Precinct 2,0
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 2,0
Frank Kubic,US Senate,,REP,Putnam,Precinct 2,0
John R Raese,US Senate,,REP,Putnam,Precinct 2,18
Daniel Rebich,US Senate,,REP,Putnam,Precinct 2,0
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 2,2
Albert Howard,US Senate,,REP,Putnam,Precinct 2,1
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 2,2
Scott H. Williams,US Senate,,REP,Putnam,Precinct 2,0
Mac Warner,US Senate,,REP,Putnam,Precinct 2,2
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 2,0
,Ballots Cast,,,Putnam,Precinct 4,82
,Ballots Cast,,DEM,Putnam,Precinct 4,47
,Ballots Cast,,REP,Putnam,Precinct 4,34
Ken Hechler,US Senate,,DEM,Putnam,Precinct 4,11
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 4,1
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 4,34
Thomas Ressler,US Senate,,REP,Putnam,Precinct 4,0
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 4,2
Frank Kubic,US Senate,,REP,Putnam,Precinct 4,0
John R Raese,US Senate,,REP,Putnam,Precinct 4,32
Daniel Rebich,US Senate,,REP,Putnam,Precinct 4,0
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 4,0
Albert Howard,US Senate,,REP,Putnam,Precinct 4,0
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 4,0
Scott H. Williams,US Senate,,REP,Putnam,Precinct 4,0
Mac Warner,US Senate,,REP,Putnam,Precinct 4,0
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 4,1
,Ballots Cast,,,Putnam,Precinct 6-1,163
,Ballots Cast,,DEM,Putnam,Precinct 6-1,80
,Ballots Cast,,REP,Putnam,Precinct 6-1,83
Ken Hechler,US Senate,,DEM,Putnam,Precinct 6-1,16
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 6-1,9
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 6-1,52
Thomas Ressler,US Senate,,REP,Putnam,Precinct 6-1,0
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 6-1,3
Frank Kubic,US Senate,,REP,Putnam,Precinct 6-1,0
John R Raese,US Senate,,REP,Putnam,Precinct 6-1,76
Daniel Rebich,US Senate,,REP,Putnam,Precinct 6-1,0
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 6-1,0
Albert Howard,US Senate,,REP,Putnam,Precinct 6-1,0
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 6-1,1
Scott H. Williams,US Senate,,REP,Putnam,Precinct 6-1,0
Mac Warner,US Senate,,REP,Putnam,Precinct 6-1,2
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 6-1,0
,Ballots Cast,,,Putnam,Precinct 6-2,113
,Ballots Cast,,DEM,Putnam,Precinct 6-2,57
,Ballots Cast,,REP,Putnam,Precinct 6-2,56
Ken Hechler,US Senate,,DEM,Putnam,Precinct 6-2,13
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 6-2,7
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 6-2,36
Thomas Ressler,US Senate,,REP,Putnam,Precinct 6-2,1
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 6-2,3
Frank Kubic,US Senate,,REP,Putnam,Precinct 6-2,0
John R Raese,US Senate,,REP,Putnam,Precinct 6-2,44
Daniel Rebich,US Senate,,REP,Putnam,Precinct 6-2,0
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 6-2,0
Albert Howard,US Senate,,REP,Putnam,Precinct 6-2,2
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 6-2,2
Scott H. Williams,US Senate,,REP,Putnam,Precinct 6-2,0
Mac Warner,US Senate,,REP,Putnam,Precinct 6-2,4
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 6-2,0
,Ballots Cast,,,Putnam,Precinct 7,101
,Ballots Cast,,DEM,Putnam,Precinct 7,64
,Ballots Cast,,REP,Putnam,Precinct 7,37
Ken Hechler,US Senate,,DEM,Putnam,Precinct 7,20
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 7,5
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 7,38
Thomas Ressler,US Senate,,REP,Putnam,Precinct 7,1
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 7,0
Frank Kubic,US Senate,,REP,Putnam,Precinct 7,0
John R Raese,US Senate,,REP,Putnam,Precinct 7,28
Daniel Rebich,US Senate,,REP,Putnam,Precinct 7,0
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 7,1
Albert Howard,US Senate,,REP,Putnam,Precinct 7,0
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 7,1
Scott H. Williams,US Senate,,REP,Putnam,Precinct 7,1
Mac Warner,US Senate,,REP,Putnam,Precinct 7,5
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 7,0
,Ballots Cast,,,Putnam,Precinct 8-1,77
,Ballots Cast,,DEM,Putnam,Precinct 8-1,40
,Ballots Cast,,REP,Putnam,Precinct 8-1,37
Ken Hechler,US Senate,,DEM,Putnam,Precinct 8-1,8
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 8-1,4
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 8-1,28
Thomas Ressler,US Senate,,REP,Putnam,Precinct 8-1,1
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 8-1,1
Frank Kubic,US Senate,,REP,Putnam,Precinct 8-1,1
John R Raese,US Senate,,REP,Putnam,Precinct 8-1,27
Daniel Rebich,US Senate,,REP,Putnam,Precinct 8-1,0
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 8-1,2
Albert Howard,US Senate,,REP,Putnam,Precinct 8-1,0
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 8-1,0
Scott H. Williams,US Senate,,REP,Putnam,Precinct 8-1,1
Mac Warner,US Senate,,REP,Putnam,Precinct 8-1,4
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 8-1,0
,Ballots Cast,,,Putnam,Precinct 8-2,70
,Ballots Cast,,DEM,Putnam,Precinct 8-2,38
,Ballots Cast,,REP,Putnam,Precinct 8-2,32
Ken Hechler,US Senate,,DEM,Putnam,Precinct 8-2,2
Sbeirl Fletcher,US Senate,,DEM,Putnam,Precinct 8-2,1
"Joe Manchin, III",US Senate,,DEM,Putnam,Precinct 8-2,35
Thomas Ressler,US Senate,,REP,Putnam,Precinct 8-2,0
"Harry C. Bruner. Jr,",US Senate,,REP,Putnam,Precinct 8-2,0
Frank Kubic,US Senate,,REP,Putnam,Precinct 8-2,0
John R Raese,US Senate,,REP,Putnam,Precinct 8-2,26
Daniel Rebich,US Senate,,REP,Putnam,Precinct 8-2,0
Kenneth A. Culp,US Senate,,REP,Putnam,Precinct 8-2,0
Albert Howard,US Senate,,REP,Putnam,Precinct 8-2,1
Lynette Kennedy McQuain,US Senate,,REP,Putnam,Precinct 8-2,1
Scott H. Williams,US Senate,,REP,Putnam,Precinct 8-2,1
Mac Warner,US Senate,,REP,Putnam,Precinct 8-2,3
Jesse Johnson,US Senate,,MTN,Putnam,Precinct 8-2,0
,Ballots Cast,,,Putnam,Precinct 9,90
,Ballots Cast,,DEM,Putnam,Precinct 9,52
,Ballots Cast,,REP,Putnam,Precinct 9,38
