candidate,office,district,party,county,precinct,total votes
Thomas Ressler,U.S. Senate,,REP,Doddridge,Precinct #2,1
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Doddridge,Precinct #2,0
Frank Kubic,U.S. Senate,,REP,Doddridge,Precinct #2,0
John R. Raese,U.S. Senate,,REP,Doddridge,Precinct #2,54
Daniel Rebich,U.S. Senate,,REP,Doddridge,Precinct #2,0
Kenneth A. Culp,U.S. Senate,,REP,Doddridge,Precinct #2,0
Albert Howard,U.S. Senate,,REP,Doddridge,Precinct #2,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Doddridge,Precinct #2,2
Scott H. Williams,U.S. Senate,,REP,Doddridge,Precinct #2,5
Mac Warner,U.S. Senate,,REP,Doddridge,Precinct #2,7
Ken Hechler,U.S. Senate,,DEM,Doddridge,Precinct #2,4
Sheirl Fletcher,U.S. Senate,,DEM,Doddridge,Precinct #2,2
Joe Manchin III,U.S. Senate,,DEM,Doddridge,Precinct #2,20
Jesse Johnson,U.S. Senate,,MTN,Doddridge,Precinct #2,0
Thomas Ressler,U.S. Senate,,REP,Doddridge,Precinct #4,2
"Harry C. Bruner, Jr.",U.S. Senate,,REP,Doddridge,Precinct #4,0
Frank Kubic,U.S. Senate,,REP,Doddridge,Precinct #4,0
John R. Raese,U.S. Senate,,REP,Doddridge,Precinct #4,19
Daniel Rebich,U.S. Senate,,REP,Doddridge,Precinct #4,0
Kenneth A. Culp,U.S. Senate,,REP,Doddridge,Precinct #4,0
Albert Howard,U.S. Senate,,REP,Doddridge,Precinct #4,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Doddridge,Precinct #4,0
Scott H. Williams,U.S. Senate,,REP,Doddridge,Precinct #4,0
Mac Warner,U.S. Senate,,REP,Doddridge,Precinct #4,1
Ken Hechler,U.S. Senate,,DEM,Doddridge,Precinct #4,2
Sheirl Fletcher,U.S. Senate,,DEM,Doddridge,Precinct #4,1
Joe Manchin III,U.S. Senate,,DEM,Doddridge,Precinct #4,9
