candidate,office,district,party,county,precinct,total votes
,Straight Party Ticket,,REP,Marshall,Precinct 1,20
,Straight Party Ticket,,DEM,Marshall,Precinct 1,39
,Straight Party Ticket,,MTN,Marshall,Precinct 1,0
John R. Raese,U.S. Senate,,,Marshall,Precinct 1,107
Joe Manchin III,U.S. Senate,,,Marshall,Precinct 1,165
Jeff Becker,U.S. Senate,,,Marshall,Precinct 1,2
Jesse Johnson,U.S. Senate,,,Marshall,Precinct 1,3
David B. McKinley,U.S. House,1,,Marshall,Precinct 1,135
Mike Oliverio,U.S. House,1,,Marshall,Precinct 1,132
Larry J. Edgell,State Senate,2,,Marshall,Precinct 1,193
Scott G. Varner,House of Delegates,4,,Marshall,Precinct 1,207
Michael T. Ferro,House of Delegates,4,,Marshall,Precinct 1,171
,Straight Party Ticket,,REP,Marshall,Precinct 4,33
,Straight Party Ticket,,DEM,Marshall,Precinct 4,34
,Straight Party Ticket,,MTN,Marshall,Precinct 4,1
John R. Raese,U.S. Senate,,,Marshall,Precinct 4,150
Joe Manchin III,U.S. Senate,,,Marshall,Precinct 4,176
Jeff Becker,U.S. Senate,,,Marshall,Precinct 4,8
Jesse Johnson,U.S. Senate,,,Marshall,Precinct 4,6
David B. McKinley,U.S. House,1,,Marshall,Precinct 4,190
Mike Oliverio,U.S. House,1,,Marshall,Precinct 4,139
Larry J. Edgell,State Senate,2,,Marshall,Precinct 4,223
Scott G. Varner,House of Delegates,4,,Marshall,Precinct 4,236
Michael T. Ferro,House of Delegates,4,,Marshall,Precinct 4,221
,Straight Party Ticket,,REP,Marshall,Precinct 6,18
,Straight Party Ticket,,DEM,Marshall,Precinct 6,16
,Straight Party Ticket,,MTN,Marshall,Precinct 6,2
John R. Raese,U.S. Senate,,,Marshall,Precinct 6,64
Joe Manchin III,U.S. Senate,,,Marshall,Precinct 6,77
Jeff Becker,U.S. Senate,,,Marshall,Precinct 6,2
Jesse Johnson,U.S. Senate,,,Marshall,Precinct 6,3
David B. McKinley,U.S. House,1,,Marshall,Precinct 6,73
Mike Oliverio,U.S. House,1,,Marshall,Precinct 6,64
Larry J. Edgell,State Senate,2,,Marshall,Precinct 6,104
Scott G. Varner,House of Delegates,4,,Marshall,Precinct 6,118
Michael T. Ferro,House of Delegates,4,,Marshall,Precinct 6,93
,Straight Party Ticket,,REP,Marshall,Precinct 7,28
,Straight Party Ticket,,DEM,Marshall,Precinct 7,57
,Straight Party Ticket,,MTN,Marshall,Precinct 7,0
