candidate,office,district,party,county,precinct,total votes 
,Straight Party Ticket ,,REP,Fayette,Precinct 1,58
,Straight Party Ticket ,,DEM,Fayette,Precinct 1,135
,Straight Party Ticket ,,MTN,Fayette,Precinct 1,0
John R. Raese,US Senate,,,Fayette,Precinct 1,148
Joe Manchin III,US Senate,,,Fayette,Precinct 1,281
Jeff Becker,US Senate,,,Fayette,Precinct 1,4
Jesse Johnson ,US Senate,,,Fayette,Precinct 1,7
"Elliott E ""Spike"" Maynard ",US House,3,,Fayette,Precinct 1,160
Nick Joe Rahall II,US House,3,,Fayette,Precinct 1,270
John Harnes,State Senate,10,,Fayette,Precinct 1,
Ronald F. (Ron) Miller,State Senate,10,,Fayette,Precinct 1,
Adam Harris Milligan ,State Senate,11,,Fayette,Precinct 1,134
Gregory A. Tucker,State Senate,11,,Fayette,Precinct 1,252
Tom Thacker ,State Senate,11,,Fayette,Precinct 1,28
Philip L. Stevens,State Senate (unexpired),10,,Fayette,Precinct 1,
Mark Wills,State Senate (unexpired),10,,Fayette,Precinct 1,
Marshall W. Clay,House of Delegates,29,,Fayette,Precinct 1,166
David Perry,House of Delegates,29,,Fayette,Precinct 1,257
John Pino,House of Delegates,29,,Fayette,Precinct 1,245
Margaret Anne Staggers ,House of Delegates,29,,Fayette,Precinct 1,253
,Straight Party Ticket ,,REP,Fayette,Precinct 4,77
,Straight Party Ticket ,,DEM,Fayette,Precinct 4,87
,Straight Party Ticket ,,MTN,Fayette,Precinct 4,3
John R. Raese,US Senate,,,Fayette,Precinct 4,196
Joe Manchin III,US Senate,,,Fayette,Precinct 4,198
Jeff Becker,US Senate,,,Fayette,Precinct 4,7
Jesse Johnson ,US Senate,,,Fayette,Precinct 4,10
"Elliott E ""Spike"" Maynard ",US House,3,,Fayette,Precinct 4,210
Nick Joe Rahall II,US House,3,,Fayette,Precinct 4,194
John Harnes,State Senate,10,,Fayette,Precinct 4,
Ronald F. (Ron) Miller,State Senate,10,,Fayette,Precinct 4,
Adam Harris Milligan ,State Senate,11,,Fayette,Precinct 4,178
Gregory A. Tucker,State Senate,11,,Fayette,Precinct 4,195
Tom Thacker ,State Senate,11,,Fayette,Precinct 4,19
Philip L. Stevens,State Senate (unexpired),10,,Fayette,Precinct 4,
Mark Wills,State Senate (unexpired),10,,Fayette,Precinct 4,
Marshall W. Clay,House of Delegates,29,,Fayette,Precinct 4,246
David Perry,House of Delegates,29,,Fayette,Precinct 4,190
John Pino,House of Delegates,29,,Fayette,Precinct 4,210
Margaret Anne Staggers ,House of Delegates,29,,Fayette,Precinct 4,217
,Straight Party Ticket ,,REP,Fayette,Precinct 5,23
,Straight Party Ticket ,,DEM,Fayette,Precinct 5,74
,Straight Party Ticket ,,MTN,Fayette,Precinct 5,1
John R. Raese,US Senate,,,Fayette,Precinct 5,76
Joe Manchin III,US Senate,,,Fayette,Precinct 5,149
Jeff Becker,US Senate,,,Fayette,Precinct 5,4
Jesse Johnson ,US Senate,,,Fayette,Precinct 5,9
"Elliott E ""Spike"" Maynard ",US House,3,,Fayette,Precinct 5,84
Nick Joe Rahall II,US House,3,,Fayette,Precinct 5,147
John Harnes,State Senate,10,,Fayette,Precinct 5,
Ronald F. (Ron) Miller,State Senate,10,,Fayette,Precinct 5,
Adam Harris Milligan ,State Senate,11,,Fayette,Precinct 5,71
Gregory A. Tucker,State Senate,11,,Fayette,Precinct 5,145
Tom Thacker ,State Senate,11,,Fayette,Precinct 5,15
Philip L. Stevens,State Senate (unexpired),10,,Fayette,Precinct 5,
Mark Wills,State Senate (unexpired),10,,Fayette,Precinct 5,
Marshall W. Clay,House of Delegates,29,,Fayette,Precinct 5,76
David Perry,House of Delegates,29,,Fayette,Precinct 5,165
John Pino,House of Delegates,29,,Fayette,Precinct 5,122
Margaret Anne Staggers ,House of Delegates,29,,Fayette,Precinct 5,144
,Straight Party Ticket ,,REP,Fayette,Precinct 8,26
,Straight Party Ticket ,,DEM,Fayette,Precinct 8,69
,Straight Party Ticket ,,MTN,Fayette,Precinct 8,0
John R. Raese,US Senate,,,Fayette,Precinct 8,142
Joe Manchin III,US Senate,,,Fayette,Precinct 8,203
Jeff Becker,US Senate,,,Fayette,Precinct 8,2
Jesse Johnson ,US Senate,,,Fayette,Precinct 8,9
"Elliott E ""Spike"" Maynard ",US House,3,,Fayette,Precinct 8,140
Nick Joe Rahall II,US House,3,,Fayette,Precinct 8,207
John Harnes,State Senate,10,,Fayette,Precinct 8,
Ronald F. (Ron) Miller,State Senate,10,,Fayette,Precinct 8,
Adam Harris Milligan ,State Senate,11,,Fayette,Precinct 8,130
Gregory A. Tucker,State Senate,11,,Fayette,Precinct 8,185
Tom Thacker ,State Senate,11,,Fayette,Precinct 8,18
Philip L. Stevens,State Senate (unexpired),10,,Fayette,Precinct 8,
Mark Wills,State Senate (unexpired),10,,Fayette,Precinct 8,
Marshall W. Clay,House of Delegates,29,,Fayette,Precinct 8,141
David Perry,House of Delegates,29,,Fayette,Precinct 8,224
John Pino,House of Delegates,29,,Fayette,Precinct 8,183
Margaret Anne Staggers ,House of Delegates,29,,Fayette,Precinct 8,206
,Straight Party Ticket ,,REP,Fayette,Precinct 9,15
,Straight Party Ticket ,,DEM,Fayette,Precinct 9,66
,Straight Party Ticket ,,MTN,Fayette,Precinct 9,0
John R. Raese,US Senate,,,Fayette,Precinct 9,83
Joe Manchin III,US Senate,,,Fayette,Precinct 9,138
Jeff Becker,US Senate,,,Fayette,Precinct 9,2
Jesse Johnson ,US Senate,,,Fayette,Precinct 9,9
"Elliott E ""Spike"" Maynard ",US House,3,,Fayette,Precinct 9,92
Nick Joe Rahall II,US House,3,,Fayette,Precinct 9,134
John Harnes,State Senate,10,,Fayette,Precinct 9,
Ronald F. (Ron) Miller,State Senate,10,,Fayette,Precinct 9,
Adam Harris Milligan ,State Senate,11,,Fayette,Precinct 9,80
Gregory A. Tucker,State Senate,11,,Fayette,Precinct 9,133
Tom Thacker ,State Senate,11,,Fayette,Precinct 9,9
Philip L. Stevens,State Senate (unexpired),10,,Fayette,Precinct 9,
Mark Wills,State Senate (unexpired),10,,Fayette,Precinct 9,
Marshall W. Clay,House of Delegates,29,,Fayette,Precinct 9,91
David Perry,House of Delegates,29,,Fayette,Precinct 9,142
John Pino,House of Delegates,29,,Fayette,Precinct 9,149
Margaret Anne Staggers ,House of Delegates,29,,Fayette,Precinct 9,155
,Straight Party Ticket ,,REP,Fayette,Precinct 10,17
,Straight Party Ticket ,,DEM,Fayette,Precinct 10,52
,Straight Party Ticket ,,MTN,Fayette,Precinct 10,0
John R. Raese,US Senate,,,Fayette,Precinct 10,129
Joe Manchin III,US Senate,,,Fayette,Precinct 10,209
Jeff Becker,US Senate,,,Fayette,Precinct 10,5
Jesse Johnson ,US Senate,,,Fayette,Precinct 10,8
"Elliott E ""Spike"" Maynard ",US House,3,,Fayette,Precinct 10,142
Nick Joe Rahall II,US House,3,,Fayette,Precinct 10,203
John Harnes,State Senate,10,,Fayette,Precinct 10,
Ronald F. (Ron) Miller,State Senate,10,,Fayette,Precinct 10,
Adam Harris Milligan ,State Senate,11,,Fayette,Precinct 10,116
Gregory A. Tucker,State Senate,11,,Fayette,Precinct 10,200
Tom Thacker ,State Senate,11,,Fayette,Precinct 10,12
Philip L. Stevens,State Senate (unexpired),10,,Fayette,Precinct 10,
Mark Wills,State Senate (unexpired),10,,Fayette,Precinct 10,
Marshall W. Clay,House of Delegates,29,,Fayette,Precinct 10,143
David Perry,House of Delegates,29,,Fayette,Precinct 10,296
John Pino,House of Delegates,29,,Fayette,Precinct 10,169
Margaret Anne Staggers ,House of Delegates,29,,Fayette,Precinct 10,202
,Straight Party Ticket ,,REP,Fayette,Precinct 11,34
,Straight Party Ticket ,,DEM,Fayette,Precinct 11,74
,Straight Party Ticket ,,MTN,Fayette,Precinct 11,0
John R. Raese,US Senate,,,Fayette,Precinct 11,70
Joe Manchin III,US Senate,,,Fayette,Precinct 11,229
Jeff Becker,US Senate,,,Fayette,Precinct 11,9
Jesse Johnson ,US Senate,,,Fayette,Precinct 11,15
"Elliott E ""Spike"" Maynard ",US House,3,,Fayette,Precinct 11,208
Nick Joe Rahall II,US House,3,,Fayette,Precinct 11,204
John Harnes,State Senate,10,,Fayette,Precinct 11,
Ronald F. (Ron) Miller,State Senate,10,,Fayette,Precinct 11,
