candidate,office,district,party,county,precinct,total votes
Ken Hechler,U.S. Senate,,DEM,Lewis,Precinct 1,4
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 1,1
"Joe Manchin, III",U.S. Senate,,DEM,Lewis,Precinct 1,21
Thomas Ressler,U.S. Senate,,REP,Lewis,Precinct 1,0
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Lewis,Precinct 1,0
Frank Kubic,U.S. Senate,,REP,Lewis,Precinct 1,1
John R Raese,U.S. Senate,,REP,Lewis,Precinct 1,11
Daniel Rebich,U.S. Senate,,REP,Lewis,Precinct 1,0
Kenneth A. Culp,U.S. Senate,,REP,Lewis,Precinct 1,0
Albert Howard,U.S. Senate,,REP,Lewis,Precinct 1,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Lewis,Precinct 1,1
Scott H. Williams,U.S. Senate,,REP,Lewis,Precinct 1,0
Mac Warner,U.S. Senate,,REP,Lewis,Precinct 1,1
Jesse Johnson,U.S. Senate,,MTN,Lewis,Precinct 1,0
Ken Hechler,U.S. Senate,,DEM,Lewis,Precinct 2,5
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 2,1
"Joe Manchin, III",U.S. Senate,,DEM,Lewis,Precinct 2,16
Thomas Ressler,U.S. Senate,,REP,Lewis,Precinct 2,1
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Lewis,Precinct 2,0
Frank Kubic,U.S. Senate,,REP,Lewis,Precinct 2,0
John R Raese,U.S. Senate,,REP,Lewis,Precinct 2,24
Daniel Rebich,U.S. Senate,,REP,Lewis,Precinct 2,4
Kenneth A. Culp,U.S. Senate,,REP,Lewis,Precinct 2,0
Albert Howard,U.S. Senate,,REP,Lewis,Precinct 2,0
Lynette Kennedy McQuain,U.S. Senate,,REP,Lewis,Precinct 2,0
Scott H. Williams,U.S. Senate,,REP,Lewis,Precinct 2,5
Mac Warner,U.S. Senate,,REP,Lewis,Precinct 2,0
Jesse Johnson,U.S. Senate,,MTN,Lewis,Precinct 2,0
Ken Hechler,U.S. Senate,,DEM,Lewis,Precinct 3,7
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 3,1
"Joe Manchin, III",U.S. Senate,,DEM,Lewis,Precinct 3,21
Thomas Ressler,U.S. Senate,,REP,Lewis,Precinct 3,1
"Harry C. Bruner. Jr,",U.S. Senate,,REP,Lewis,Precinct 3,0
Frank Kubic,U.S. Senate,,REP,Lewis,Precinct 3,0
John R Raese,U.S. Senate,,REP,Lewis,Precinct 3,18
Daniel Rebich,U.S. Senate,,REP,Lewis,Precinct 3,1
Kenneth A. Culp,U.S. Senate,,REP,Lewis,Precinct 3,0
