candidate,office,district,party,county,precinct,total votes
,Registered Voters,,,Hampshire,Precinct 2,791
,Registered Voters,,DEM,Hampshire,Precinct 2,287
,Registered Voters,,REP,Hampshire,Precinct 2,252
,Registered Voters,,MTN,Hampshire,Precinct 2,0
,Ballots Cast,,,Hampshire,Precinct 2,44
,Ballots Cast,,DEM,Hampshire,Precinct 2,28
,Ballots Cast,,REP,Hampshire,Precinct 2,16
,Ballots Cast,,MTN,Hampshire,Precinct 2,0
Ken Hechler,US Senate,,DEM,Hampshire,Precinct 2,5
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 2,3
"Joe Manchin, III",US Senate,,DEM,Hampshire,Precinct 2,20
Thomas Ressler,US Senate,,REP,Hampshire,Precinct 2,0
"Harry C. Bruner. Jr,",US Senate,,REP,Hampshire,Precinct 2,0
Frank Kubic,US Senate,,REP,Hampshire,Precinct 2,0
John R Raese,US Senate,,REP,Hampshire,Precinct 2,9
Daniel Rebich,US Senate,,REP,Hampshire,Precinct 2,1
Kenneth A. Culp,US Senate,,REP,Hampshire,Precinct 2,0
Albert Howard,US Senate,,REP,Hampshire,Precinct 2,0
Lynette Kennedy McQuain,US Senate,,REP,Hampshire,Precinct 2,0
Scott H. Williams,US Senate,,REP,Hampshire,Precinct 2,0
Mac Warner,US Senate,,REP,Hampshire,Precinct 2,6
Jesse Johnson,US Senate,,MTN,Hampshire,Precinct 2,0
,Registered Voters,,,Hampshire,Precinct 4,1048
,Registered Voters,,DEM,Hampshire,Precinct 4,352
,Registered Voters,,REP,Hampshire,Precinct 4,385
,Registered Voters,,MTN,Hampshire,Precinct 4,3
,Ballots Cast,,,Hampshire,Precinct 4,75
,Ballots Cast,,DEM,Hampshire,Precinct 4,44
,Ballots Cast,,REP,Hampshire,Precinct 4,30
,Ballots Cast,,MTN,Hampshire,Precinct 4,1
Ken Hechler,US Senate,,DEM,Hampshire,Precinct 4,7
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 4,5
"Joe Manchin, III",US Senate,,DEM,Hampshire,Precinct 4,32
Thomas Ressler,US Senate,,REP,Hampshire,Precinct 4,2
"Harry C. Bruner. Jr,",US Senate,,REP,Hampshire,Precinct 4,1
Frank Kubic,US Senate,,REP,Hampshire,Precinct 4,3
John R Raese,US Senate,,REP,Hampshire,Precinct 4,18
Daniel Rebich,US Senate,,REP,Hampshire,Precinct 4,1
Kenneth A. Culp,US Senate,,REP,Hampshire,Precinct 4,0
Albert Howard,US Senate,,REP,Hampshire,Precinct 4,0
Lynette Kennedy McQuain,US Senate,,REP,Hampshire,Precinct 4,1
Scott H. Williams,US Senate,,REP,Hampshire,Precinct 4,0
Mac Warner,US Senate,,REP,Hampshire,Precinct 4,4
Jesse Johnson,US Senate,,MTN,Hampshire,Precinct 4,1
,Registered Voters,,,Hampshire,Precinct 6,782
,Registered Voters,,DEM,Hampshire,Precinct 6,258
,Registered Voters,,REP,Hampshire,Precinct 6,310
,Registered Voters,,MTN,Hampshire,Precinct 6,1
,Ballots Cast,,,Hampshire,Precinct 6,43
,Ballots Cast,,DEM,Hampshire,Precinct 6,16
,Ballots Cast,,REP,Hampshire,Precinct 6,27
,Ballots Cast,,MTN,Hampshire,Precinct 6,0
Ken Hechler,US Senate,,DEM,Hampshire,Precinct 6,2
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 6,3
"Joe Manchin, III",US Senate,,DEM,Hampshire,Precinct 6,11
Thomas Ressler,US Senate,,REP,Hampshire,Precinct 6,1
"Harry C. Bruner. Jr,",US Senate,,REP,Hampshire,Precinct 6,0
Frank Kubic,US Senate,,REP,Hampshire,Precinct 6,0
John R Raese,US Senate,,REP,Hampshire,Precinct 6,18
Daniel Rebich,US Senate,,REP,Hampshire,Precinct 6,0
Kenneth A. Culp,US Senate,,REP,Hampshire,Precinct 6,0
Albert Howard,US Senate,,REP,Hampshire,Precinct 6,0
Lynette Kennedy McQuain,US Senate,,REP,Hampshire,Precinct 6,0
Scott H. Williams,US Senate,,REP,Hampshire,Precinct 6,3
Mac Warner,US Senate,,REP,Hampshire,Precinct 6,5
Jesse Johnson,US Senate,,MTN,Hampshire,Precinct 6,0
,Registered Voters,,,Hampshire,Precinct 7,1027
,Registered Voters,,DEM,Hampshire,Precinct 7,361
,Registered Voters,,REP,Hampshire,Precinct 7,367
,Registered Voters,,MTN,Hampshire,Precinct 7,5
,Ballots Cast,,,Hampshire,Precinct 7,76
,Ballots Cast,,DEM,Hampshire,Precinct 7,36
,Ballots Cast,,REP,Hampshire,Precinct 7,40
,Ballots Cast,,MTN,Hampshire,Precinct 7,0
Ken Hechler,US Senate,,DEM,Hampshire,Precinct 7,1
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 7,3
"Joe Manchin, III",US Senate,,DEM,Hampshire,Precinct 7,32
Thomas Ressler,US Senate,,REP,Hampshire,Precinct 7,4
"Harry C. Bruner. Jr,",US Senate,,REP,Hampshire,Precinct 7,1
Frank Kubic,US Senate,,REP,Hampshire,Precinct 7,2
John R Raese,US Senate,,REP,Hampshire,Precinct 7,20
Daniel Rebich,US Senate,,REP,Hampshire,Precinct 7,0
Kenneth A. Culp,US Senate,,REP,Hampshire,Precinct 7,0
Albert Howard,US Senate,,REP,Hampshire,Precinct 7,0
Lynette Kennedy McQuain,US Senate,,REP,Hampshire,Precinct 7,4
Scott H. Williams,US Senate,,REP,Hampshire,Precinct 7,0
Mac Warner,US Senate,,REP,Hampshire,Precinct 7,9
Jesse Johnson,US Senate,,MTN,Hampshire,Precinct 7,0
,Registered Voters,,,Hampshire,Precinct 8,378
,Registered Voters,,DEM,Hampshire,Precinct 8,146
,Registered Voters,,REP,Hampshire,Precinct 8,141
,Registered Voters,,MTN,Hampshire,Precinct 8,0
,Ballots Cast,,,Hampshire,Precinct 8,37
,Ballots Cast,,DEM,Hampshire,Precinct 8,17
,Ballots Cast,,REP,Hampshire,Precinct 8,20
,Ballots Cast,,MTN,Hampshire,Precinct 8,0
Ken Hechler,US Senate,,DEM,Hampshire,Precinct 8,6
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 8,1
"Joe Manchin, III",US Senate,,DEM,Hampshire,Precinct 8,10
Thomas Ressler,US Senate,,REP,Hampshire,Precinct 8,0
"Harry C. Bruner. Jr,",US Senate,,REP,Hampshire,Precinct 8,1
Frank Kubic,US Senate,,REP,Hampshire,Precinct 8,2
John R Raese,US Senate,,REP,Hampshire,Precinct 8,13
Daniel Rebich,US Senate,,REP,Hampshire,Precinct 8,0
Kenneth A. Culp,US Senate,,REP,Hampshire,Precinct 8,0
