candidate,office,district,party,county,precinct,total votes 
,Registered Voters ,,,Kanawha,Precinct 103,517
,Ballots Cast ,,,Kanawha,Precinct 103,222
,Straight Party Ticket ,,REP,Kanawha,Precinct 103,10
,Straight Party Ticket ,,DEM,Kanawha,Precinct 103,84
,Straight Party Ticket ,,CON,Kanawha,Precinct 103,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 103,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 103,42
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 103,178
Jeff Becker,US Senate,,CON,Kanawha,Precinct 103,0
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 103,1
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 103,89
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 103,120
Phil Hudok,US House,2,CON,Kanawha,Precinct 103,3
Bob Ore,State Senate,8,REP,Kanawha,Precinct 103,34
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 103,180
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 103,39
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 103,168
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 103,6
,Registered Voters ,,,Kanawha,Precinct 105,516
,Ballots Cast ,,,Kanawha,Precinct 105,269
,Straight Party Ticket ,,REP,Kanawha,Precinct 105,18
,Straight Party Ticket ,,DEM,Kanawha,Precinct 105,82
,Straight Party Ticket ,,CON,Kanawha,Precinct 105,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 105,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 105,67
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 105,190
Jeff Becker,US Senate,,CON,Kanawha,Precinct 105,0
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 105,8
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 105,152
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 105,100
Phil Hudok,US House,2,CON,Kanawha,Precinct 105,3
Bob Ore,State Senate,8,REP,Kanawha,Precinct 105,65
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 105,189
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 105,65
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 105,174
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 105,11
,Registered Voters ,,,Kanawha,Precinct 106,737
,Ballots Cast ,,,Kanawha,Precinct 106,300
,Straight Party Ticket ,,REP,Kanawha,Precinct 106,35
,Straight Party Ticket ,,DEM,Kanawha,Precinct 106,89
,Straight Party Ticket ,,CON,Kanawha,Precinct 106,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 106,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 106,72
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 106,213
Jeff Becker,US Senate,,CON,Kanawha,Precinct 106,1
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 106,9
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 106,148
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 106,133
Phil Hudok,US House,2,CON,Kanawha,Precinct 106,3
Bob Ore,State Senate,8,REP,Kanawha,Precinct 106,65
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 106,219
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 106,66
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 106,194
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 106,24
,Registered Voters ,,,Kanawha,Precinct 108,483
,Ballots Cast ,,,Kanawha,Precinct 108,188
,Straight Party Ticket ,,REP,Kanawha,Precinct 108,21
,Straight Party Ticket ,,DEM,Kanawha,Precinct 108,84
,Straight Party Ticket ,,CON,Kanawha,Precinct 108,1
,Straight Party Ticket ,,MTN,Kanawha,Precinct 108,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 108,45
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 108,138
Jeff Becker,US Senate,,CON,Kanawha,Precinct 108,0
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 108,4
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 108,83
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 108,92
Phil Hudok,US House,2,CON,Kanawha,Precinct 108,5
Bob Ore,State Senate,8,REP,Kanawha,Precinct 108,38
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 108,145
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 108,41
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 108,122
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 108,16
,Registered Voters ,,,Kanawha,Precinct 109,931
,Ballots Cast ,,,Kanawha,Precinct 109,434
,Straight Party Ticket ,,REP,Kanawha,Precinct 109,55
,Straight Party Ticket ,,DEM,Kanawha,Precinct 109,57
,Straight Party Ticket ,,CON,Kanawha,Precinct 109,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 109,1
John R. Raese,US Senate,,REP,Kanawha,Precinct 109,205
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 109,218
Jeff Becker,US Senate,,CON,Kanawha,Precinct 109,0
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 109,10
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 109,305
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 109,115
Phil Hudok,US House,2,CON,Kanawha,Precinct 109,2
Bob Ore,State Senate,8,REP,Kanawha,Precinct 109,163
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 109,249
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 109,176
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 109,224
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 109,18
,Registered Voters ,,,Kanawha,Precinct 110,980
,Ballots Cast ,,,Kanawha,Precinct 110,415
,Straight Party Ticket ,,REP,Kanawha,Precinct 110,46
,Straight Party Ticket ,,DEM,Kanawha,Precinct 110,79
,Straight Party Ticket ,,CON,Kanawha,Precinct 110,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 110,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 110,125
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 110,269
Jeff Becker,US Senate,,CON,Kanawha,Precinct 110,2
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 110,12
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 110,257
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 110,132
Phil Hudok,US House,2,CON,Kanawha,Precinct 110,11
Bob Ore,State Senate,8,REP,Kanawha,Precinct 110,129
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 110,265
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 110,129
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 110,230
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 110,28
,Registered Voters ,,,Kanawha,Precinct 111,323
,Ballots Cast ,,,Kanawha,Precinct 111,137
,Straight Party Ticket ,,REP,Kanawha,Precinct 111,26
,Straight Party Ticket ,,DEM,Kanawha,Precinct 111,11
,Straight Party Ticket ,,CON,Kanawha,Precinct 111,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 111,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 111,68
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 111,58
Jeff Becker,US Senate,,CON,Kanawha,Precinct 111,0
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 111,7
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 111,96
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 111,34
Phil Hudok,US House,2,CON,Kanawha,Precinct 111,3
Bob Ore,State Senate,8,REP,Kanawha,Precinct 111,61
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 111,66
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 111,59
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 111,58
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 111,11
,Registered Voters ,,,Kanawha,Precinct 112,909
,Ballots Cast ,,,Kanawha,Precinct 112,437
,Straight Party Ticket ,,REP,Kanawha,Precinct 112,29
,Straight Party Ticket ,,DEM,Kanawha,Precinct 112,74
,Straight Party Ticket ,,CON,Kanawha,Precinct 112,1
,Straight Party Ticket ,,MTN,Kanawha,Precinct 112,1
John R. Raese,US Senate,,REP,Kanawha,Precinct 112,140
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 112,282
Jeff Becker,US Senate,,CON,Kanawha,Precinct 112,4
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 112,11
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 112,265
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 112,138
Phil Hudok,US House,2,CON,Kanawha,Precinct 112,6
Bob Ore,State Senate,8,REP,Kanawha,Precinct 112,122
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 112,287
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 112,115
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 112,258
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 112,33
,Registered Voters ,,,Kanawha,Precinct 114,493
,Ballots Cast ,,,Kanawha,Precinct 114,286
,Straight Party Ticket ,,REP,Kanawha,Precinct 114,38
,Straight Party Ticket ,,DEM,Kanawha,Precinct 114,39
,Straight Party Ticket ,,CON,Kanawha,Precinct 114,1
,Straight Party Ticket ,,MTN,Kanawha,Precinct 114,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 114,102
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 114,164
Jeff Becker,US Senate,,CON,Kanawha,Precinct 114,2
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 114,10
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 114,198
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 114,73
Phil Hudok,US House,2,CON,Kanawha,Precinct 114,4
Bob Ore,State Senate,8,REP,Kanawha,Precinct 114,95
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 114,176
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 114,97
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 114,153
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 114,20
,Registered Voters ,,,Kanawha,Precinct 115,1198
,Ballots Cast ,,,Kanawha,Precinct 115,491
,Straight Party Ticket ,,REP,Kanawha,Precinct 115,41
,Straight Party Ticket ,,DEM,Kanawha,Precinct 115,208
,Straight Party Ticket ,,CON,Kanawha,Precinct 115,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 115,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 115,99
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 115,375
Jeff Becker,US Senate,,CON,Kanawha,Precinct 115,2
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 115,10
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 115,185
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 115,277
Phil Hudok,US House,2,CON,Kanawha,Precinct 115,8
Bob Ore,State Senate,8,REP,Kanawha,Precinct 115,87
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 115,394
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 115,109
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 115,345
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 115,23
,Registered Voters ,,,Kanawha,Precinct 117,712
,Ballots Cast ,,,Kanawha,Precinct 117,314
,Straight Party Ticket ,,REP,Kanawha,Precinct 117,35
,Straight Party Ticket ,,DEM,Kanawha,Precinct 117,77
,Straight Party Ticket ,,CON,Kanawha,Precinct 117,1
,Straight Party Ticket ,,MTN,Kanawha,Precinct 117,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 117,112
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 117,187
Jeff Becker,US Senate,,CON,Kanawha,Precinct 117,0
Jesse Johnson ,US Senate,,MTN,Kanawha,Precinct 117,13
Shelley Moore Capito,US House,2,REP,Kanawha,Precinct 117,189
Virginia Lynch Graf,US House,2,DEM,Kanawha,Precinct 117,111
Phil Hudok,US House,2,CON,Kanawha,Precinct 117,8
Bob Ore,State Senate,8,REP,Kanawha,Precinct 117,86
Erik Wells,State Senate,8,DEM,Kanawha,Precinct 117,211
Charles Minimah,State Senate,17,REP,Kanawha,Precinct 117,86
Brooks McCabe,State Senate,17,DEM,Kanawha,Precinct 117,186
David B. Hall ,State Senate,17,MTN,Kanawha,Precinct 117,21
,Registered Voters ,,,Kanawha,Precinct 118,737
,Ballots Cast ,,,Kanawha,Precinct 118,322
,Straight Party Ticket ,,REP,Kanawha,Precinct 118,56
,Straight Party Ticket ,,DEM,Kanawha,Precinct 118,59
,Straight Party Ticket ,,CON,Kanawha,Precinct 118,0
,Straight Party Ticket ,,MTN,Kanawha,Precinct 118,0
John R. Raese,US Senate,,REP,Kanawha,Precinct 118,136
Joe Manchin III,US Senate,,DEM,Kanawha,Precinct 118,172
