candidate,office,district,party,county,precinct,total votes 
,Registered Voters,,,Putnam,Precinct 1,962
,Ballots Cast,,,Putnam,Precinct 1,415
,Straight Party Ticket ,,REP,Putnam,Precinct 1,64
,Straight Party Ticket ,,DEM,Putnam,Precinct 1,46
,Straight Party Ticket ,,CON,Putnam,Precinct 1,1
,Straight Party Ticket ,,MTN ,Putnam,Precinct 1,0
John R. Raese,US Senate,,REP,Putnam,Precinct 1,199
Joe Manchin III,US Senate,,DEM,Putnam,Precinct 1,201
Jeff Becker,US Senate,,CON,Putnam,Precinct 1,4
Jesse Johnson ,US Senate,,MTN ,Putnam,Precinct 1,5
Shelley Moore Capito,US House,2,REP,Putnam,Precinct 1,307
Virginia Lynch Graf,US House,2,DEM,Putnam,Precinct 1,75
Phil Hudok,US House,2,CON,Putnam,Precinct 1,6
Mike Hall,State Senate,4,REP,Putnam,Precinct 1,284
Brian (Scotty) Scott,House of Delegates,13,REP,Putnam,Precinct 1,212
Dale Martin,House of Delegates,13,DEM,Putnam,Precinct 1,184
Brady R. Paxton,House of Delegates,13,DEM,Putnam,Precinct 1,190
Troy Andes,House of Delegates,14,REP,Putnam,Precinct 1,
Brian Savilla,House of Delegates,14,REP,Putnam,Precinct 1,
"Catherine ""Cathy"" Larck",House of Delegates,14,DEM,Putnam,Precinct 1,
Elias Gregory,House of Delegates,19,REP,Putnam,Precinct 1,
Chad Story,House of Delegates,19,REP,Putnam,Precinct 1,
Greg Butcher,House of Delegates,19,DEM,Putnam,Precinct 1,
"Rupert ""Rupie"" Phillips Jr. ",House of Delegates,19,DEM,Putnam,Precinct 1,
Josh Stowers,House of Delegates,19,DEM,Putnam,Precinct 1,
Ralph Rodighiero ,House of Delegates,19,DEM,Putnam,Precinct 1,
,Registered Voters,,,Putnam,Precinct 2,392
,Ballots Cast,,,Putnam,Precinct 2,175
,Straight Party Ticket ,,REP,Putnam,Precinct 2,31
,Straight Party Ticket ,,DEM,Putnam,Precinct 2,16
,Straight Party Ticket ,,CON,Putnam,Precinct 2,0
,Straight Party Ticket ,,MTN ,Putnam,Precinct 2,0
John R. Raese,US Senate,,REP,Putnam,Precinct 2,87
Joe Manchin III,US Senate,,DEM,Putnam,Precinct 2,80
Jeff Becker,US Senate,,CON,Putnam,Precinct 2,3
Jesse Johnson ,US Senate,,MTN ,Putnam,Precinct 2,4
Shelley Moore Capito,US House,2,REP,Putnam,Precinct 2,126
Virginia Lynch Graf,US House,2,DEM,Putnam,Precinct 2,35
Phil Hudok,US House,2,CON,Putnam,Precinct 2,3
Mike Hall,State Senate,4,REP,Putnam,Precinct 2,123
Brian (Scotty) Scott,House of Delegates,13,REP,Putnam,Precinct 2,92
Dale Martin,House of Delegates,13,DEM,Putnam,Precinct 2,84
Brady R. Paxton,House of Delegates,13,DEM,Putnam,Precinct 2,80
Troy Andes,House of Delegates,14,REP,Putnam,Precinct 2,
Brian Savilla,House of Delegates,14,REP,Putnam,Precinct 2,
"Catherine ""Cathy"" Larck",House of Delegates,14,DEM,Putnam,Precinct 2,
Elias Gregory,House of Delegates,19,REP,Putnam,Precinct 2,
Chad Story,House of Delegates,19,REP,Putnam,Precinct 2,
Greg Butcher,House of Delegates,19,DEM,Putnam,Precinct 2,
"Rupert ""Rupie"" Phillips Jr. ",House of Delegates,19,DEM,Putnam,Precinct 2,
Josh Stowers,House of Delegates,19,DEM,Putnam,Precinct 2,
Ralph Rodighiero ,House of Delegates,19,DEM,Putnam,Precinct 2,
,Registered Voters,,,Putnam,Precinct 4,652
,Ballots Cast,,,Putnam,Precinct 4,285
,Straight Party Ticket ,,REP,Putnam,Precinct 4,42
,Straight Party Ticket ,,DEM,Putnam,Precinct 4,34
,Straight Party Ticket ,,CON,Putnam,Precinct 4,1
,Straight Party Ticket ,,MTN ,Putnam,Precinct 4,1
John R. Raese,US Senate,,REP,Putnam,Precinct 4,136
Joe Manchin III,US Senate,,DEM,Putnam,Precinct 4,137
Jeff Becker,US Senate,,CON,Putnam,Precinct 4,0
Jesse Johnson ,US Senate,,MTN ,Putnam,Precinct 4,8
Shelley Moore Capito,US House,2,REP,Putnam,Precinct 4,203
Virginia Lynch Graf,US House,2,DEM,Putnam,Precinct 4,65
Phil Hudok,US House,2,CON,Putnam,Precinct 4,4
Mike Hall,State Senate,4,REP,Putnam,Precinct 4,216
Brian (Scotty) Scott,House of Delegates,13,REP,Putnam,Precinct 4,159
Dale Martin,House of Delegates,13,DEM,Putnam,Precinct 4,124
Brady R. Paxton,House of Delegates,13,DEM,Putnam,Precinct 4,118
Troy Andes,House of Delegates,14,REP,Putnam,Precinct 4,
Brian Savilla,House of Delegates,14,REP,Putnam,Precinct 4,
"Catherine ""Cathy"" Larck",House of Delegates,14,DEM,Putnam,Precinct 4,
Elias Gregory,House of Delegates,19,REP,Putnam,Precinct 4,
Chad Story,House of Delegates,19,REP,Putnam,Precinct 4,
Greg Butcher,House of Delegates,19,DEM,Putnam,Precinct 4,
"Rupert ""Rupie"" Phillips Jr. ",House of Delegates,19,DEM,Putnam,Precinct 4,
Josh Stowers,House of Delegates,19,DEM,Putnam,Precinct 4,
Ralph Rodighiero ,House of Delegates,19,DEM,Putnam,Precinct 4,
,Registered Voters,,,Putnam,Precinct 6-1,1212
,Ballots Cast,,,Putnam,Precinct 6-1,622
,Straight Party Ticket ,,REP,Putnam,Precinct 6-1,127
,Straight Party Ticket ,,DEM,Putnam,Precinct 6-1,75
,Straight Party Ticket ,,CON,Putnam,Precinct 6-1,1
,Straight Party Ticket ,,MTN ,Putnam,Precinct 6-1,0
John R. Raese,US Senate,,REP,Putnam,Precinct 6-1,317
Joe Manchin III,US Senate,,DEM,Putnam,Precinct 6-1,285
Jeff Becker,US Senate,,CON,Putnam,Precinct 6-1,2
Jesse Johnson ,US Senate,,MTN ,Putnam,Precinct 6-1,15
Shelley Moore Capito,US House,2,REP,Putnam,Precinct 6-1,455
Virginia Lynch Graf,US House,2,DEM,Putnam,Precinct 6-1,137
Phil Hudok,US House,2,CON,Putnam,Precinct 6-1,10
Mike Hall,State Senate,4,REP,Putnam,Precinct 6-1,513
Brian (Scotty) Scott,House of Delegates,13,REP,Putnam,Precinct 6-1,
Dale Martin,House of Delegates,13,DEM,Putnam,Precinct 6-1,
