candidate,office,district,party,county,precinct,total votes
,Straight Party Ticket,,REP,Nicholas,Precinct 1A,16
,Straight Party Ticket,,DEM,Nicholas,Precinct 1A,57
,Straight Party Ticket,,MTN,Nicholas,Precinct 1A,0
John R. Raese,U.S. Senate,,,Nicholas,Precinct 1A,57
Joe Manchin III,U.S. Senate,,,Nicholas,Precinct 1A,173
Jeff Becker,U.S. Senate,,,Nicholas,Precinct 1A,8
Jesse Johnson,U.S. Senate,,,Nicholas,Precinct 1A,5
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Nicholas,Precinct 1A,63
Nick Joe Rahall II,U.S. House,3,,Nicholas,Precinct 1A,173
Adam Harris Milligan,State Senate,11,,Nicholas,Precinct 1A,60
Gregory A. Tucker,State Senate,11,,Nicholas,Precinct 1A,172
Tom Thacker,State Senate,11,,Nicholas,Precinct 1A,7
"Harold ""Pete"" Sigler",House of Delegates,35,,Nicholas,Precinct 1A,
Sam J. Argento,House of Delegates,35,,Nicholas,Precinct 1A,
Joe Talbott,House of Delegates,36,,Nicholas,Precinct 1A,136
Duane Borchers Sr.,House of Delegates,36,,Nicholas,Precinct 1A,75
Marshall W. Clay,House of Delegates,29,,Nicholas,Precinct 1A,
Margaret anne Staggers,House of Delegates,29,,Nicholas,Precinct 1A,
David Perry,House of Delegates,29,,Nicholas,Precinct 1A,
John Pino,House of Delegates,29,,Nicholas,Precinct 1A,
,Straight Party Ticket,,REP,Nicholas,Precinct 1B,20
,Straight Party Ticket,,DEM,Nicholas,Precinct 1B,27
,Straight Party Ticket,,MTN,Nicholas,Precinct 1B,0
John R. Raese,U.S. Senate,,,Nicholas,Precinct 1B,74
Joe Manchin III,U.S. Senate,,,Nicholas,Precinct 1B,94
Jeff Becker,U.S. Senate,,,Nicholas,Precinct 1B,4
Jesse Johnson,U.S. Senate,,,Nicholas,Precinct 1B,4
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Nicholas,Precinct 1B,73
Nick Joe Rahall II,U.S. House,3,,Nicholas,Precinct 1B,94
Adam Harris Milligan,State Senate,11,,Nicholas,Precinct 1B,59
Gregory A. Tucker,State Senate,11,,Nicholas,Precinct 1B,100
Tom Thacker,State Senate,11,,Nicholas,Precinct 1B,7
"Harold ""Pete"" Sigler",House of Delegates,35,,Nicholas,Precinct 1B,
Sam J. Argento,House of Delegates,35,,Nicholas,Precinct 1B,
Joe Talbott,House of Delegates,36,,Nicholas,Precinct 1B,84
Duane Borchers Sr.,House of Delegates,36,,Nicholas,Precinct 1B,59
Marshall W. Clay,House of Delegates,29,,Nicholas,Precinct 1B,
Margaret anne Staggers,House of Delegates,29,,Nicholas,Precinct 1B,
David Perry,House of Delegates,29,,Nicholas,Precinct 1B,
John Pino,House of Delegates,29,,Nicholas,Precinct 1B,
,Straight Party Ticket,,REP,Nicholas,Precinct 2,27
,Straight Party Ticket,,DEM,Nicholas,Precinct 2,67
,Straight Party Ticket,,MTN,Nicholas,Precinct 2,0
John R. Raese,U.S. Senate,,,Nicholas,Precinct 2,107
Joe Manchin III,U.S. Senate,,,Nicholas,Precinct 2,173
Jeff Becker,U.S. Senate,,,Nicholas,Precinct 2,0
Jesse Johnson,U.S. Senate,,,Nicholas,Precinct 2,7
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Nicholas,Precinct 2,108
Nick Joe Rahall II,U.S. House,3,,Nicholas,Precinct 2,173
Adam Harris Milligan,State Senate,11,,Nicholas,Precinct 2,86
Gregory A. Tucker,State Senate,11,,Nicholas,Precinct 2,169
Tom Thacker,State Senate,11,,Nicholas,Precinct 2,17
"Harold ""Pete"" Sigler",House of Delegates,35,,Nicholas,Precinct 2,
Sam J. Argento,House of Delegates,35,,Nicholas,Precinct 2,
Joe Talbott,House of Delegates,36,,Nicholas,Precinct 2,151
Duane Borchers Sr.,House of Delegates,36,,Nicholas,Precinct 2,103
Marshall W. Clay,House of Delegates,29,,Nicholas,Precinct 2,
Margaret anne Staggers,House of Delegates,29,,Nicholas,Precinct 2,
David Perry,House of Delegates,29,,Nicholas,Precinct 2,
John Pino,House of Delegates,29,,Nicholas,Precinct 2,
,Straight Party Ticket,,REP,Nicholas,Precinct 3,16
,Straight Party Ticket,,DEM,Nicholas,Precinct 3,28
,Straight Party Ticket,,MTN,Nicholas,Precinct 3,0
John R. Raese,U.S. Senate,,,Nicholas,Precinct 3,80
Joe Manchin III,U.S. Senate,,,Nicholas,Precinct 3,80
Jeff Becker,U.S. Senate,,,Nicholas,Precinct 3,0
Jesse Johnson,U.S. Senate,,,Nicholas,Precinct 3,1
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Nicholas,Precinct 3,74
Nick Joe Rahall II,U.S. House,3,,Nicholas,Precinct 3,84
Adam Harris Milligan,State Senate,11,,Nicholas,Precinct 3,64
Gregory A. Tucker,State Senate,11,,Nicholas,Precinct 3,87
Tom Thacker,State Senate,11,,Nicholas,Precinct 3,3
"Harold ""Pete"" Sigler",House of Delegates,35,,Nicholas,Precinct 3,
Sam J. Argento,House of Delegates,35,,Nicholas,Precinct 3,
Joe Talbott,House of Delegates,36,,Nicholas,Precinct 3,87
Duane Borchers Sr.,House of Delegates,36,,Nicholas,Precinct 3,51
Marshall W. Clay,House of Delegates,29,,Nicholas,Precinct 3,
Margaret anne Staggers,House of Delegates,29,,Nicholas,Precinct 3,
David Perry,House of Delegates,29,,Nicholas,Precinct 3,
John Pino,House of Delegates,29,,Nicholas,Precinct 3,
,Straight Party Ticket,,REP,Nicholas,Precinct 5,26
,Straight Party Ticket,,DEM,Nicholas,Precinct 5,56
,Straight Party Ticket,,MTN,Nicholas,Precinct 5,0
John R. Raese,U.S. Senate,,,Nicholas,Precinct 5,88
Joe Manchin III,U.S. Senate,,,Nicholas,Precinct 5,159
Jeff Becker,U.S. Senate,,,Nicholas,Precinct 5,4
Jesse Johnson,U.S. Senate,,,Nicholas,Precinct 5,8
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Nicholas,Precinct 5,78
Nick Joe Rahall II,U.S. House,3,,Nicholas,Precinct 5,176
Adam Harris Milligan,State Senate,11,,Nicholas,Precinct 5,78
Gregory A. Tucker,State Senate,11,,Nicholas,Precinct 5,168
Tom Thacker,State Senate,11,,Nicholas,Precinct 5,6
"Harold ""Pete"" Sigler",House of Delegates,35,,Nicholas,Precinct 5,
Sam J. Argento,House of Delegates,35,,Nicholas,Precinct 5,
Joe Talbott,House of Delegates,36,,Nicholas,Precinct 5,165
