candidate,office,district,party,county,precinct,total votes
John R. Raese,U.S. Senate,,,Summers,Precinct 1 - Forest Hill,123
Joe Manchin III,U.S. Senate,,,Summers,Precinct 1 - Forest Hill,162
Jeff Becker,U.S. Senate,,,Summers,Precinct 1 - Forest Hill,7
Jesse Johnson,U.S. Senate,,,Summers,Precinct 1 - Forest Hill,8
"John R. ""Rick"" Bartlett",U.S. Senate,,,Summers,Precinct 1 - Forest Hill,
"Charles G. ""Bud"" Railey",U.S. Senate,,,Summers,Precinct 1 - Forest Hill,
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Summers,Precinct 1 - Forest Hill,142
"Nick Joe Rahall, II",U.S. House,3,,Summers,Precinct 1 - Forest Hill,151
Butch Paugh,U.S. House,3,,Summers,Precinct 1 - Forest Hill,2
John Barnes,State Senate,10,,Summers,Precinct 1 - Forest Hill,143
Ronald F. (Ron) Miller,State Senate,10,,Summers,Precinct 1 - Forest Hill,143
Philip L. Stevens,State Senate,10,,Summers,Precinct 1 - Forest Hill,148
Mark Wills,State Senate,10,,Summers,Precinct 1 - Forest Hill,137
Roy G. Cooper,House of Delegates,26,,Summers,Precinct 1 - Forest Hill,193
Gerald L. Crosier,House of Delegates,26,,Summers,Precinct 1 - Forest Hill,103
"Richard ""Ben"" Franklin",House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
John David O'Neal IV,House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
Linda Sumner,House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
Rick Snuffer,House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
"William R. ""Bill"" Wooton",House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
Sally M Susman,House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
Virginia Mahan,House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
Mel Kessler,House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
Rick Moye,House of Delegates,27,,Summers,Precinct 1 - Forest Hill,
John R. Raese,U.S. Senate,,,Summers,Precinct 4 - West End,65
Joe Manchin III,U.S. Senate,,,Summers,Precinct 4 - West End,160
Jeff Becker,U.S. Senate,,,Summers,Precinct 4 - West End,3
Jesse Johnson,U.S. Senate,,,Summers,Precinct 4 - West End,7
"John R. ""Rick"" Bartlett",U.S. Senate,,,Summers,Precinct 4 - West End,
"Charles G. ""Bud"" Railey",U.S. Senate,,,Summers,Precinct 4 - West End,
"Elliott E. ""Spike"" Maynard",U.S. House,3,,Summers,Precinct 4 - West End,65
"Nick Joe Rahall, II",U.S. House,3,,Summers,Precinct 4 - West End,164
Butch Paugh,U.S. House,3,,Summers,Precinct 4 - West End,
John Barnes,State Senate,10,,Summers,Precinct 4 - West End,77
Ronald F. (Ron) Miller,State Senate,10,,Summers,Precinct 4 - West End,135
