iteration,ind,old,new,office
0,0,SHELLY MOORE CAPITO,SHELLEY MOORE CAPITO,US HOUSE
0,1,LARRY EDGELL,LARRY J EDGELL,STATE SENATE
0,2,TRAVIS L BLOSSER,TRAVIS L BIOSSER,HOUSE OF DELEGATES
0,3,CHARLES G BUD RAILEY,CHARLES G BUD RAILEY,US SENATE
0,4,CHARLES G BUD BAILEY,CHARLES G BUD RAILEY,US SENATE
0,5,JOHN R RICK BARTLETT,JOHN R RICK BARTLETT,US SENATE
0,6,JOHN R BARTLETT,JOHN R RICK BARTLETT,US SENATE
0,7,JOHN BARNES,JOHN HARNES,STATE SENATE
0,8,ALTON WOLFE JR,ALTON  E WOLFE JR,HOUSE OF DELEGATES
0,9,W M ROGER ROMINE,WM ROGER ROMINE,HOUSE OF DELEGATES
0,10,DON MARSHALL,DONN MARSHALL,HOUSE OF DELEGATES
