year,election,office,party,candidate,county,votes,winner
1954,general,U.S. Senate,DEM,Sam B. Chilton,Totals,34288,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Barbour,163,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Berkeley,285,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Boone,833,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Braxton,584,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Brooke,209,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Cabell,2923,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Calhoun,212,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Clay,455,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Doddridge,31,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Fayette,1738,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Gilmer,183,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Grant,30,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Greenbrier,1303,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Hampshire,262,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Hancock,289,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Hardy,560,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Harrison,989,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Jackson,226,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Jefferson,322,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Kanawha,8567,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Lewis,359,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Lincoln,314,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Logan,1402,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Marion,672,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Marshall,135,
1954,general,U.S. Senate,DEM,Sam B. Chilton,Mason,340,
