office,district,candidate,party
US HOUSE,1.0,ROBERT H MOLLOHAN,DEM
US HOUSE,1.0,ARCH A MOORE,REP
US HOUSE,2.0,HARLEY O STAGGERS,DEM
US HOUSE,2.0,ALBERT M MORGAN,REP
US HOUSE,3.0,CLEVELAND M BAILEY,DEM
US HOUSE,3.0,JOSEPH B LIGHTBURN,REP
US HOUSE,4.0,DR MG BURNIE BURNSIDE,DEM
US HOUSE,4.0,DR WILL E NEAL,REP
US HOUSE,5.0,ELIZABETH KEE,DEM
US HOUSE,5.0,FRED O BLUE,REP
US HOUSE,6.0,ROBERT C BYRD,DEM
US HOUSE,6.0,PAT B WITHROW JR,REP
US SENATE,,MATTHEW M NEELY,DEM
US SENATE,,TOM SWEENEY,REP
STATE SENATE,1.0,FRANK L CAMPBELL,DEM
STATE SENATE,1.0,CHESTER R HUBBARD,REP
STATE SENATE,2.0,ALBERT C BAKER,DEM
STATE SENATE,2.0,JOHN E CARRIGAN,REP
STATE SENATE,3.0,WILLIAM L JACOBS,DEM
STATE SENATE,3.0,ANDY SWEARINGEN,REP
STATE SENATE,4.0,LA WILLARD JR,DEM
STATE SENATE,4.0,BRAD SAYRE,REP
STATE SENATE,5.0,LYLE A SMITH,DEM
STATE SENATE,5.0,GY NEAL,REP
STATE SENATE,6.0,GLENN TAYLOR,DEM
STATE SENATE,6.0,JAMES G COLLIER,REP
STATE SENATE,7.0,LLOYD G JACKSON,DEM
STATE SENATE,7.0,EUGENE PAT KEENAN,REP
STATE SENATE,8.0,A CARL CAREY,DEM
STATE SENATE,8.0,WILSON ANDERSON,REP
STATE SENATE,9.0,JACK A NUCKOLS,DEM
STATE SENATE,9.0,ROBERT W FOSTER,REP
STATE SENATE,10.0,O ROY PARKER,DEM
STATE SENATE,11.0,WN JASPER JR,DEM
STATE SENATE,12.0,JOHN B CHENOWETH,DEM
STATE SENATE,12.0,ROBERT G PHILLIPS,REP
STATE SENATE,13.0,WALTER A HOLDEN,DEM
STATE SENATE,13.0,JOSEPH M LOW,REP
STATE SENATE,14.0,DON K MARCHAND,DEM
STATE SENATE,14.0,NICHOLAS M HOMES,REP
STATE SENATE,15.0,WALTER H WOLFE,DEM
STATE SENATE,15.0,DAYTON R STEMPLE,REP
STATE SENATE,16.0,CLARENCE E MARTIN JR,DEM
