year,election,office,district,party,candidate,county,votes,winner
1954,general,State Senate,1,DEM,Frank L. Campbell,Totals,24453,TRUE
1954,general,State Senate,1,DEM,Frank L. Campbell,Brooke,5436,
1954,general,State Senate,1,DEM,Frank L. Campbell,Hancock,6319,
1954,general,State Senate,1,DEM,Frank L. Campbell,Ohio,12698,
1954,general,State Senate,1,REP,Chester R. Hubbard,Totals,22463,
1954,general,State Senate,1,REP,Chester R. Hubbard,Brooke,3313,
1954,general,State Senate,1,REP,Chester R. Hubbard,Hancock,4823,
1954,general,State Senate,1,REP,Chester R. Hubbard,Ohio,14327,
1954,general,State Senate,2,DEM,Albert C. Baker,Totals,12833,
1954,general,State Senate,2,DEM,Albert C. Baker,Doddridge,1107,
1954,general,State Senate,2,DEM,Albert C. Baker,Marshall,6495,
1954,general,State Senate,2,DEM,Albert C. Baker,Tyler,1233,
1954,general,State Senate,2,DEM,Albert C. Baker,Wetzel,3998,
1954,general,State Senate,2,REP,John E. Carrigan,Totals,13953,
1954,general,State Senate,2,REP,John E. Carrigan,Doddridge,1640,
1954,general,State Senate,2,REP,John E. Carrigan,Marshall,6953,
1954,general,State Senate,2,REP,John E. Carrigan,Tyler,2486,
1954,general,State Senate,2,REP,John E. Carrigan,Wetzel,2874,
1954,general,State Senate,3,DEM,William L. Jacobs,Totals,16927,
1954,general,State Senate,3,DEM,William L. Jacobs,Calhoun,2031,
1954,general,State Senate,3,DEM,William L. Jacobs,Pleasants,1391,
1954,general,State Senate,3,DEM,William L. Jacobs,Ritchie,1272,
1954,general,State Senate,3,DEM,William L. Jacobs,Wirt,1008,
1954,general,State Senate,3,DEM,William L. Jacobs,Wood,11225,
1954,general,State Senate,3,REP,Andy Swearingen,Totals,18899,TRUE
1954,general,State Senate,3,REP,Andy Swearingen,Calhoun,1337,
1954,general,State Senate,3,REP,Andy Swearingen,Pleasants,1302,
1954,general,State Senate,3,REP,Andy Swearingen,Ritchie,2840,
1954,general,State Senate,3,REP,Andy Swearingen,Wirt,1019,
1954,general,State Senate,3,REP,Andy Swearingen,Wood,12401,
1954,general,State Senate,4,DEM,"L.A. (Jack) Willard, Jr.",Totals,14660,
1954,general,State Senate,4,DEM,"L.A. (Jack) Willard, Jr.",Clay,2537,
1954,general,State Senate,4,DEM,"L.A. (Jack) Willard, Jr.",Jackson,2171,
1954,general,State Senate,4,DEM,"L.A. (Jack) Willard, Jr.",Mason,3104,
1954,general,State Senate,4,DEM,"L.A. (Jack) Willard, Jr.",Putnam,3989,
1954,general,State Senate,4,DEM,"L.A. (Jack) Willard, Jr.",Roane,2859,
1954,general,State Senate,4,REP,Brad Sayre,Totals,16318,TRUE
1954,general,State Senate,4,REP,Brad Sayre,Clay,1788,
1954,general,State Senate,4,REP,Brad Sayre,Jackson,3462,
1954,general,State Senate,4,REP,Brad Sayre,Mason,4397,
1954,general,State Senate,4,REP,Brad Sayre,Putnam,3290,
1954,general,State Senate,4,REP,Brad Sayre,Roane,3381,
1954,general,State Senate,5,DEM,Lyle A. Smith,Totals,27808,TRUE
1954,general,State Senate,5,DEM,Lyle A. Smith,Cabell,19981,
1954,general,State Senate,5,DEM,Lyle A. Smith,Wayne,7827,
1954,general,State Senate,5,REP,G.Y. Neal,Totals,19745,
1954,general,State Senate,5,REP,G.Y. Neal,Cabell,15975,
1954,general,State Senate,5,REP,G.Y. Neal,Wayne,3770,
1954,general,State Senate,6,DEM,Glenn Taylor,Totals,24563,TRUE
1954,general,State Senate,6,DEM,Glenn Taylor,McDowell,9013,
1954,general,State Senate,6,DEM,Glenn Taylor,Mingo,15550,
1954,general,State Senate,6,REP,James G. Collier,Totals,6965,
1954,general,State Senate,6,REP,James G. Collier,McDowell,2861,
1954,general,State Senate,6,REP,James G. Collier,Mingo,4104,
1954,general,State Senate,7,DEM,Lloyd G. Jackson,Totals,22453,TRUE
1954,general,State Senate,7,DEM,Lloyd G. Jackson,Boone,6254,
1954,general,State Senate,7,DEM,Lloyd G. Jackson,Lincoln,4771,
1954,general,State Senate,7,DEM,Lloyd G. Jackson,Logan,11428,
1954,general,State Senate,7,REP,Eugene Pat Keenan,Totals,8403,
1954,general,State Senate,7,REP,Eugene Pat Keenan,Boone,2330,
1954,general,State Senate,7,REP,Eugene Pat Keenan,Lincoln,2715,
1954,general,State Senate,7,REP,Eugene Pat Keenan,Logan,3358,
1954,general,State Senate,8,DEM,A. Carl Carey,Totals,37495,TRUE
1954,general,State Senate,8,DEM,A. Carl Carey,Kanawha,37495,
1954,general,State Senate,8,REP,Wilson Anderson,Totals,34836,
1954,general,State Senate,8,REP,Wilson Anderson,Kanawha,34836,
1954,general,State Senate,9,DEM,Jack A. Nuckols,Totals,19045,TRUE
1954,general,State Senate,9,DEM,Jack A. Nuckols,Raleigh,13600,
1954,general,State Senate,9,DEM,Jack A. Nuckols,Wyoming,5445,
1954,general,State Senate,9,REP,Robert W. Foster,Totals,10252,
1954,general,State Senate,9,REP,Robert W. Foster,Raleigh,7346,
1954,general,State Senate,9,REP,Robert W. Foster,Wyoming,2906,
1954,general,State Senate,10,DEM,O. Roy Parker,Totals,17949,TRUE
1954,general,State Senate,10,DEM,O. Roy Parker,Mercer,11578,
1954,general,State Senate,10,DEM,O. Roy Parker,Monroe,2837,
1954,general,State Senate,10,DEM,O. Roy Parker,Summers,3534,
1954,general,State Senate,11,DEM,"W.N. (Bill) Jasper, Jr.",Totals,19553,TRUE
1954,general,State Senate,11,DEM,"W.N. (Bill) Jasper, Jr.",Fayette,13903,
1954,general,State Senate,11,DEM,"W.N. (Bill) Jasper, Jr.",Greenbrier,5650,
1954,general,State Senate,12,DEM,John B. Chenoweth,Totals,20814,TRUE
1954,general,State Senate,12,DEM,John B. Chenoweth,Braxton,3768,
1954,general,State Senate,12,DEM,John B. Chenoweth,Nicholas,4095,
1954,general,State Senate,12,DEM,John B. Chenoweth,Pendleton,1868,
1954,general,State Senate,12,DEM,John B. Chenoweth,Pocahontas,2186,
1954,general,State Senate,12,DEM,John B. Chenoweth,Randolph,5927,
1954,general,State Senate,12,DEM,John B. Chenoweth,Webster,2970,
1954,general,State Senate,12,REP,Robert G. (Bob) Phillips,Totals,12827,
1954,general,State Senate,12,REP,Robert G. (Bob) Phillips,Braxton,2381,
1954,general,State Senate,12,REP,Robert G. (Bob) Phillips,Nicholas,2618,
1954,general,State Senate,12,REP,Robert G. (Bob) Phillips,Pendleton,1241,
1954,general,State Senate,12,REP,Robert G. (Bob) Phillips,Pocahontas,1648,
1954,general,State Senate,12,REP,Robert G. (Bob) Phillips,Randolph,3813,
1954,general,State Senate,12,REP,Robert G. (Bob) Phillips,Webster,1126,
1954,general,State Senate,13,DEM,Walter A. Holden,Totals,22276,TRUE
1954,general,State Senate,13,DEM,Walter A. Holden,Gilmer,2008,
1954,general,State Senate,13,DEM,Walter A. Holden,Harrison,16943,
1954,general,State Senate,13,DEM,Walter A. Holden,Lewis,3325,
1954,general,State Senate,13,REP,Joseph M. Low,Totals,17517,
1954,general,State Senate,13,REP,Joseph M. Low,Gilmer,1030,
1954,general,State Senate,13,REP,Joseph M. Low,Harrison,12772,
1954,general,State Senate,13,REP,Joseph M. Low,Lewis,3715,
1954,general,State Senate,14,DEM,Don K. Marchand,Totals,25663,TRUE
1954,general,State Senate,14,DEM,Don K. Marchand,Marion,15560,
1954,general,State Senate,14,DEM,Don K. Marchand,Monongalia,10103,
1954,general,State Senate,14,REP,Nicholas M. Homes,Totals,17912,
1954,general,State Senate,14,REP,Nicholas M. Homes,Marion,9485,
1954,general,State Senate,14,REP,Nicholas M. Homes,Monongalia,8427,
1954,general,State Senate,15,DEM,Walter H. Wolfe,Totals,14032,
1954,general,State Senate,15,DEM,Walter H. Wolfe,Barbour,3710,
1954,general,State Senate,15,DEM,Walter H. Wolfe,Grant,526,
1954,general,State Senate,15,DEM,Walter H. Wolfe,Preston,3094,
1954,general,State Senate,15,DEM,Walter H. Wolfe,Taylor,3080,
1954,general,State Senate,15,DEM,Walter H. Wolfe,Tucker,1844,
1954,general,State Senate,15,DEM,Walter H. Wolfe,Upshur,1778,
1954,general,State Senate,15,REP,Dayton R. Stemple,Totals,18991,TRUE
1954,general,State Senate,15,REP,Dayton R. Stemple,Barbour,3315,
1954,general,State Senate,15,REP,Dayton R. Stemple,Grant,2134,
1954,general,State Senate,15,REP,Dayton R. Stemple,Preston,5201,
1954,general,State Senate,15,REP,Dayton R. Stemple,Taylor,3046,
1954,general,State Senate,15,REP,Dayton R. Stemple,Tucker,1438,
1954,general,State Senate,15,REP,Dayton R. Stemple,Upshur,3857,
1954,general,State Senate,16,DEM,"Clarence E. Martin, Jr.",Totals,17926,TRUE
1954,general,State Senate,16,DEM,"Clarence E. Martin, Jr.",Berkeley,5845,
1954,general,State Senate,16,DEM,"Clarence E. Martin, Jr.",Hampshire,2123,
1954,general,State Senate,16,DEM,"Clarence E. Martin, Jr.",Hardy,1943,
1954,general,State Senate,16,DEM,"Clarence E. Martin, Jr.",Jefferson,2928,
1954,general,State Senate,16,DEM,"Clarence E. Martin, Jr.",Mineral,3950,
1954,general,State Senate,16,DEM,"Clarence E. Martin, Jr.",Morgan,1137,
