year,election,office,party,candidate,county,votes,winner
1954,general,U.S. Senate,DEM,Matthew M. Neely,Totals,324963,TRUE
1954,general,U.S. Senate,DEM,Matthew M. Neely,Barbour,3694,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Berkeley,4829,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Boone,6158,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Braxton,3672,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Brooke,5345,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Cabell,17922,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Calhoun,2001,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Clay,2496,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Doddridge,940,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Fayette,13166,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Gilmer,1916,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Grant,576,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Greenbrier,4421,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Hampshire,1670,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Hancock,6481,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Hardy,1816,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Harrison,16104,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Jackson,2217,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Jefferson,2446,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Kanawha,37501,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Lewis,2892,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Lincoln,4708,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Logan,11102,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Marion,15353,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Marshall,6953,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Mason,3153,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Mercer,10714,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Mineral,3729,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Mingo,8634,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Monongalia,9914,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Monroe,2442,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Morgan,1010,
1954,general,U.S. Senate,DEM,Matthew M. Neely,McDowell,15144,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Nicholas,3858,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Ohio,11984,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Pendleton,1880,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Pleasants,1348,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Pocahontas,2060,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Preston,3139,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Putnam,3865,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Raleigh,13250,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Randolph,5996,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Ritchie,1272,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Roane,2905,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Summers,3207,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Taylor,2874,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Tucker,1946,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Tyler,1201,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Upshur,1787,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Wayne,7376,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Webster,2839,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Wetzel,3823,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Wirt,1003,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Wood,10915,
1954,general,U.S. Senate,DEM,Matthew M. Neely,Wyoming,5316,
1954,general,U.S. Senate,REP,Tom Sweeney,Totals,268066,
1954,general,U.S. Senate,REP,Tom Sweeney,Barbour,3330,
1954,general,U.S. Senate,REP,Tom Sweeney,Berkeley,4366,
1954,general,U.S. Senate,REP,Tom Sweeney,Boone,2531,
1954,general,U.S. Senate,REP,Tom Sweeney,Braxton,2634,
1954,general,U.S. Senate,REP,Tom Sweeney,Brooke,3471,
1954,general,U.S. Senate,REP,Tom Sweeney,Cabell,18170,
1954,general,U.S. Senate,REP,Tom Sweeney,Calhoun,1461,
1954,general,U.S. Senate,REP,Tom Sweeney,Clay,1916,
1954,general,U.S. Senate,REP,Tom Sweeney,Doddridge,1897,
1954,general,U.S. Senate,REP,Tom Sweeney,Fayette,4924,
