year,election,office,party,candidate,county,votes,winner
1960,general,State Treasurer,DEM,John H. Kelly,Barbour,4137,
1960,general,State Treasurer,DEM,John H. Kelly,Berkeley,7809,
1960,general,State Treasurer,DEM,John H. Kelly,Boone,8276,
1960,general,State Treasurer,DEM,John H. Kelly,Braxton,4275,
1960,general,State Treasurer,DEM,John H. Kelly,Brooke,7842,
1960,general,State Treasurer,DEM,John H. Kelly,Cabell,21249,
1960,general,State Treasurer,DEM,John H. Kelly,Calhoun,2145,
1960,general,State Treasurer,DEM,John H. Kelly,Clay,2932,
1960,general,State Treasurer,DEM,John H. Kelly,Doddridge,1199,
1960,general,State Treasurer,DEM,John H. Kelly,Fayette,18497,
1960,general,State Treasurer,DEM,John H. Kelly,Gilmer,2290,
1960,general,State Treasurer,DEM,John H. Kelly,Grant,980,
1960,general,State Treasurer,DEM,John H. Kelly,Greenbrier,8522,
1960,general,State Treasurer,DEM,John H. Kelly,Hampshire,3138,
1960,general,State Treasurer,DEM,John H. Kelly,Hancock,11159,
1960,general,State Treasurer,DEM,John H. Kelly,Hardy,2661,
1960,general,State Treasurer,DEM,John H. Kelly,Harrison,22368,
1960,general,State Treasurer,DEM,John H. Kelly,Jackson,3873,
1960,general,State Treasurer,DEM,John H. Kelly,Jefferson,4527,
1960,general,State Treasurer,DEM,John H. Kelly,Kanawha,59746,
1960,general,State Treasurer,DEM,John H. Kelly,Lewis,4016,
1960,general,State Treasurer,DEM,John H. Kelly,Lincoln,5242,
1960,general,State Treasurer,DEM,John H. Kelly,Logan,16320,
1960,general,State Treasurer,DEM,John H. Kelly,Marion,18857,
1960,general,State Treasurer,DEM,John H. Kelly,Marshall,8990,
1960,general,State Treasurer,DEM,John H. Kelly,Mason,4852,
1960,general,State Treasurer,DEM,John H. Kelly,Mercer,17880,
1960,general,State Treasurer,DEM,John H. Kelly,Mineral,4466,
1960,general,State Treasurer,DEM,John H. Kelly,Mingo,11357,
1960,general,State Treasurer,DEM,John H. Kelly,Monongalia,13225,
1960,general,State Treasurer,DEM,John H. Kelly,Monroe,3030,
1960,general,State Treasurer,DEM,John H. Kelly,Morgan,1368,
1960,general,State Treasurer,DEM,John H. Kelly,McDowell,18716,
1960,general,State Treasurer,DEM,John H. Kelly,Nicholas,5943,
1960,general,State Treasurer,DEM,John H. Kelly,Ohio,16989,
1960,general,State Treasurer,DEM,John H. Kelly,Pendleton,2196,
1960,general,State Treasurer,DEM,John H. Kelly,Pleasants,1910,
1960,general,State Treasurer,DEM,John H. Kelly,Pocahontas,2869,
1960,general,State Treasurer,DEM,John H. Kelly,Preston,4251,
1960,general,State Treasurer,DEM,John H. Kelly,Putnam,5533,
1960,general,State Treasurer,DEM,John H. Kelly,Raleigh,20413,
1960,general,State Treasurer,DEM,John H. Kelly,Randolph,7743,
1960,general,State Treasurer,DEM,John H. Kelly,Ritchie,1494,
1960,general,State Treasurer,DEM,John H. Kelly,Roane,3389,
1960,general,State Treasurer,DEM,John H. Kelly,Summers,4609,
1960,general,State Treasurer,DEM,John H. Kelly,Taylor,3660,
1960,general,State Treasurer,DEM,John H. Kelly,Tucker,2197,
1960,general,State Treasurer,DEM,John H. Kelly,Tyler,1628,
1960,general,State Treasurer,DEM,John H. Kelly,Upshur,2698,
1960,general,State Treasurer,DEM,John H. Kelly,Wayne,9456,
1960,general,State Treasurer,DEM,John H. Kelly,Webster,3378,
1960,general,State Treasurer,DEM,John H. Kelly,Wetzel,4655,
1960,general,State Treasurer,DEM,John H. Kelly,Wirt,1142,
1960,general,State Treasurer,DEM,John H. Kelly,Wood,16963,
1960,general,State Treasurer,DEM,John H. Kelly,Wyoming,8313,
1960,general,State Treasurer,DEM,John H. Kelly,Totals,457373,TRUE
1960,general,State Treasurer,REP,Martin V. Chapman,Barbour,3469,
1960,general,State Treasurer,REP,Martin V. Chapman,Berkeley,6851,
1960,general,State Treasurer,REP,Martin V. Chapman,Boone,3588,
1960,general,State Treasurer,REP,Martin V. Chapman,Braxton,2611,
1960,general,State Treasurer,REP,Martin V. Chapman,Brooke,4652,
1960,general,State Treasurer,REP,Martin V. Chapman,Cabell,24704,
1960,general,State Treasurer,REP,Martin V. Chapman,Calhoun,1515,
1960,general,State Treasurer,REP,Martin V. Chapman,Clay,2189,
1960,general,State Treasurer,REP,Martin V. Chapman,Doddridge,2089,
1960,general,State Treasurer,REP,Martin V. Chapman,Fayette,6106,
1960,general,State Treasurer,REP,Martin V. Chapman,Gilmer,1364,
1960,general,State Treasurer,REP,Martin V. Chapman,Grant,2995,
1960,general,State Treasurer,REP,Martin V. Chapman,Greenbrier,5647,
