year,election,office,party,candidate,county,votes,winner
1960,general,U.S. Senate,,Cleo M. Jones,Barbour,0,
1960,general,U.S. Senate,,Cleo M. Jones,Berkeley,0,
1960,general,U.S. Senate,,Cleo M. Jones,Boone,0,
1960,general,U.S. Senate,,Cleo M. Jones,Braxton,0,
1960,general,U.S. Senate,,Cleo M. Jones,Brooke,0,
1960,general,U.S. Senate,,Cleo M. Jones,Cabell,0,
1960,general,U.S. Senate,,Cleo M. Jones,Calhoun,0,
1960,general,U.S. Senate,,Cleo M. Jones,Clay,0,
1960,general,U.S. Senate,,Cleo M. Jones,Doddridge,0,
1960,general,U.S. Senate,,Cleo M. Jones,Fayette,0,
1960,general,U.S. Senate,,Cleo M. Jones,Gilmer,0,
1960,general,U.S. Senate,,Cleo M. Jones,Grant,0,
1960,general,U.S. Senate,,Cleo M. Jones,Greenbrier,2,
1960,general,U.S. Senate,,Cleo M. Jones,Hampshire,0,
1960,general,U.S. Senate,,Cleo M. Jones,Hancock,0,
1960,general,U.S. Senate,,Cleo M. Jones,Hardy,0,
1960,general,U.S. Senate,,Cleo M. Jones,Harrison,0,
1960,general,U.S. Senate,,Cleo M. Jones,Jackson,0,
1960,general,U.S. Senate,,Cleo M. Jones,Jefferson,0,
1960,general,U.S. Senate,,Cleo M. Jones,Kanawha,0,
1960,general,U.S. Senate,,Cleo M. Jones,Lewis,0,
1960,general,U.S. Senate,,Cleo M. Jones,Lincoln,0,
1960,general,U.S. Senate,,Cleo M. Jones,Logan,0,
1960,general,U.S. Senate,,Cleo M. Jones,Marion,0,
1960,general,U.S. Senate,,Cleo M. Jones,Marshall,0,
1960,general,U.S. Senate,,Cleo M. Jones,Mason,0,
1960,general,U.S. Senate,,Cleo M. Jones,Mercer,0,
1960,general,U.S. Senate,,Cleo M. Jones,Mineral,0,
1960,general,U.S. Senate,,Cleo M. Jones,Mingo,0,
1960,general,U.S. Senate,,Cleo M. Jones,Monongalia,0,
1960,general,U.S. Senate,,Cleo M. Jones,Monroe,0,
1960,general,U.S. Senate,,Cleo M. Jones,Morgan,0,
