,office,district,candidate,party
0,STATE SENATE,1.0,EDWIN J BOWMAN,D
1,STATE SENATE,2.0,EDGELL,D
2,STATE SENATE,3.0,JIM BALL,D
3,STATE SENATE,3.0,J FRANK DEEM,R
4,STATE SENATE,4.0,OSHEL B CRAIGO,D
5,STATE SENATE,4.0,LISA D SMITH,R
6,STATE SENATE,5.0,EVAN H JENKINS,D
7,STATE SENATE,5.0,THOMAS F SCOTT,R
8,STATE SENATE,6.0,H TRUMAN CHAFIN,D
9,STATE SENATE,7.0,TRACY DEMPSEY,D
10,STATE SENATE,7.0,DOUG WALDRON,R
11,STATE SENATE,8.0,JOHN R MITCHELL JR,D
12,STATE SENATE,8.0,STEVE HARRISON,R
13,STATE SENATE,9.0,WILLIAM R BILL WOOTON,D
14,STATE SENATE,9.0,RUSS WEEKS,R
15,STATE SENATE,10.0,MARY PEARL COMPTON,D
16,STATE SENATE,10.0,JESSE O GUILLS JR,R
17,STATE SENATE,11.0,C RANDY WHITE,D
18,STATE SENATE,11.0,RICK RICE,R
19,STATE SENATE,12.0,JOE MINARD,D
20,STATE SENATE,13.0,MIKE OLIVIERO,D
21,STATE SENATE,13.0,TONI TAMPOYA,R
22,STATE SENATE,14.0,JAMES BAUGHMAN,D
23,STATE SENATE,14.0,SARAH MINEAR,R
24,STATE SENATE,14.0,JOHN R RICK BARTLETT,Constitution
25,STATE SENATE,15.0,WALT HELMICK,D
26,STATE SENATE,15.0,CHRIS DAVIS,R
27,STATE SENATE,15.0,KIT PATTEN,Mountain
28,STATE SENATE,16.0,JOHN UNGER,D
29,STATE SENATE,17.0,BROOKS MCCABE JR,D
30,STATE SENATE,17.0,PATRICK LANE,R
31,STATE SENATE,2.0,WRITE INS,
32,HOUSE OF DELEGATES,1.0,JOE DELONG,D
33,HOUSE OF DELEGATES,1.0,RANDY SWARTZMILLER,D
34,HOUSE OF DELEGATES,2.0,TIM ENNIS,D
35,HOUSE OF DELEGATES,2.0,JACK YOST,D
36,HOUSE OF DELEGATES,3.0,RICK ALTMAN,D
37,HOUSE OF DELEGATES,3.0,TAL HUTCHINS,D
38,HOUSE OF DELEGATES,3.0,CHRISTOPHER WAKIM,R
39,HOUSE OF DELEGATES,3.0,L GIL WHITE,R
40,HOUSE OF DELEGATES,4.0,KENNETH D TUCKER,D
41,HOUSE OF DELEGATES,4.0,SCOTT G VARNER,D
42,HOUSE OF DELEGATES,4.0,CODY J LUCEY,R
43,HOUSE OF DELEGATES,5.0,DAVE PETHTEL,D
44,HOUSE OF DELEGATES,5.0,DENZIL SLOAN,Constitution
45,HOUSE OF DELEGATES,6.0,WM ROGER ROMINE,R
46,HOUSE OF DELEGATES,7.0,PAUL D JANES,D
47,HOUSE OF DELEGATES,7.0,OTIS A LEGGETT,R
48,HOUSE OF DELEGATES,8.0,BECKY A SUTPHIN,D
49,HOUSE OF DELEGATES,8.0,E W BILL ANDERSON JR,R
50,HOUSE OF DELEGATES,9.0,KENT KENNY BROWN,D
51,HOUSE OF DELEGATES,9.0,LARRY BORDER,R
52,HOUSE OF DELEGATES,10.0,J D BEANE,D
53,HOUSE OF DELEGATES,10.0,JOHN BEARY,D
54,HOUSE OF DELEGATES,10.0,SHUAN BUTCHER,D
55,HOUSE OF DELEGATES,10.0,TOM AZINGER,R
56,HOUSE OF DELEGATES,10.0,JOHN N ELLEM,R
57,HOUSE OF DELEGATES,10.0,FRED GILLESPIE,R
58,HOUSE OF DELEGATES,11.0,WILLIAM BILL GROVES,D
59,HOUSE OF DELEGATES,11.0,BOB ASHLEY,R
60,HOUSE OF DELEGATES,12.0,CARROLL JETT,D
61,HOUSE OF DELEGATES,12.0,MITCH B CARMICHAEL,R
62,HOUSE OF DELEGATES,13.0,DALE F MARTIN,D
63,HOUSE OF DELEGATES,13.0,BRADY R PAXTON,D
64,HOUSE OF DELEGATES,13.0,JACK R MCLANE,R
65,HOUSE OF DELEGATES,14.0,JIM FERGUSON,D
66,HOUSE OF DELEGATES,14.0,MIKE HALL,R
67,HOUSE OF DELEGATES,14.0,PATTI EAGLOSKI SCHOEN,R
68,HOUSE OF DELEGATES,15.0,KEVIN J CRAIG,D
69,HOUSE OF DELEGATES,15.0,MARGARETTE R LEACH,D
70,HOUSE OF DELEGATES,15.0,JIM MORGAN,D
71,HOUSE OF DELEGATES,15.0,GREG C MILLER,R
72,HOUSE OF DELEGATES,15.0,PAULA L STEWART,R
73,HOUSE OF DELEGATES,16.0,SUSAN HUBBARD,D
74,HOUSE OF DELEGATES,16.0,KAREN N NANCE,D
75,HOUSE OF DELEGATES,16.0,DALE STEPHENS,D
76,HOUSE OF DELEGATES,16.0,GREG HOWARD,R
77,HOUSE OF DELEGATES,16.0,JODY G SMIRL,R
78,HOUSE OF DELEGATES,16.0,KELLI SOBONYA,R
79,HOUSE OF DELEGATES,17.0,DON PERDUE,D
80,HOUSE OF DELEGATES,17.0,RICHARD THOMPSON,D
81,HOUSE OF DELEGATES,17.0,JOHN M SMITH,R
82,HOUSE OF DELEGATES,18.0,EARNIE KUHN,D
83,HOUSE OF DELEGATES,19.0,GREG BUTCHER,D
84,HOUSE OF DELEGATES,19.0,JOE C FERRELL,D
85,HOUSE OF DELEGATES,19.0,LIDELLA W HRUTKAY,D
86,HOUSE OF DELEGATES,19.0,BILL WRIGHT,D
87,HOUSE OF DELEGATES,19.0,JIM MULLINS,R
88,HOUSE OF DELEGATES,19.0,GWEN RAMEY,R
89,HOUSE OF DELEGATES,19.0,BECKY ROMERO,R
90,HOUSE OF DELEGATES,19.0,DONNA HALSTEAD,Mountain
91,HOUSE OF DELEGATES,20.0,K STEVEN KOMINAR,D
92,HOUSE OF DELEGATES,21.0,HARRY KEITH WHITE,D
93,HOUSE OF DELEGATES,22.0,RICHARD BROWNING,D
94,HOUSE OF DELEGATES,22.0,W RICHARD RICK STATON,D
95,HOUSE OF DELEGATES,23.0,EMILY YEAGER,D
96,HOUSE OF DELEGATES,24.0,EUSTACE FREDERICK,D
97,HOUSE OF DELEGATES,24.0,DOUGLAS C QUESINBERRY,R
98,HOUSE OF DELEGATES,25.0,MARSHALL C LONG,D
99,HOUSE OF DELEGATES,25.0,MARK E WILLS,D
100,HOUSE OF DELEGATES,25.0,DONALD T CARUTH,R
101,HOUSE OF DELEGATES,25.0,KEVIN FLEMING,R
102,HOUSE OF DELEGATES,26.0,GERALD L CROSIER,D
103,HOUSE OF DELEGATES,26.0,KEVIN A PRIUTT,R
104,HOUSE OF DELEGATES,27.0,ROBERT S KISS,D
105,HOUSE OF DELEGATES,27.0,VIRGINIA MAHAN,D
