iteration,ind,old,new,office
0,0,ALAN B MOLLOHAN,ALAN MOLLOHAN,US HOUSE
0,1,MIKE OLIVERIO,MIKE OLIVIERO,STATE SENATE
0,2,PHIL CONLEY,CONLEY,HOUSE OF DELEGATES
0,3,CINDY FRICH,FRICH,HOUSE OF DELEGATES
0,4,BOB BEACH,BEACH,HOUSE OF DELEGATES
0,5,ROBERT D BEACH,BEACH,HOUSE OF DELEGATES
0,6,NANCY HOUSTON,HOUSTON,HOUSE OF DELEGATES
0,7,NANCY J HOUSTON,HOUSTON,HOUSE OF DELEGATES
0,8,GENE CLAYPOLE,CLAYPOLE,HOUSE OF DELEGATES
0,9,EUGENE GENE CLAYPOLE,CLAYPOLE,HOUSE OF DELEGATES
0,10,TOM O NEILL,O NEILL,HOUSE OF DELEGATES
0,11,BARBARA FLEISCHAUER,FLEISCHAUER,HOUSE OF DELEGATES
0,12,BARBARA EVANS FLEISCHAUER,FLEISCHAUER,HOUSE OF DELEGATES
0,13,JAMES A BAUGHMAN,JAMES BAUGHMAN,STATE SENATE
0,14,SARAH M MINEAR,SARAH MINEAR,STATE SENATE
0,15,LARRY J EDGELL,EDGELL,STATE SENATE
0,16,LARRY EDGELL,EDGELL,STATE SENATE
0,17,DONNA REID RENNER,DONNA RENNER,HOUSE OF DELEGATES
0,18,COLEMAN,TOM COLEMAN,HOUSE OF DELEGATES
0,19,A JAMES MANCHIN,JAMES MANCHIN,HOUSE OF DELEGATES
0,20,DENZIL W SLOAN,DENZIL SLOAN,HOUSE OF DELEGATES
