County,Prec,Dist,City,Reg,Cast,Obama
Monongalia,0001 Prec 40,Registered Voters,,Registered,,256
Monongalia,0001 Prec 40,Ballots Cast,,Ballots,,102
Monongalia,0001 Prec 40,U.S. Senate,,Jay Wolfe,REP,28
Monongalia,0001 Prec 40,U.S. Senate,,Jay Rockefeller ,DEM,73
Monongalia,0001 Prec 40,U.S. House,1,Alan Mollohan,DEM,86
Monongalia,0001 Prec 40,U.S. House,1,Write-ins,,1
Monongalia,0001 Prec 40,State Senate,2,Write-ins,,1
Monongalia,0001 Prec 40,State Senate,2,Larry Edgell,DEM,70
Monongalia,0001 Prec 40,House of Delegates,5,Dave Pethtel,DEM,80
Monongalia,0001 Prec 40,House of Delegates,5,Denzil Sloan,CON,5
Monongalia,0001 Prec 40,House of Delegates,,Write-ins,,1
Monongalia,0002 Prec 42,Registered Voters,,Registered,,405
Monongalia,0002 Prec 42,Ballots Cast,,Ballots,,165
Monongalia,0002 Prec 42,U.S. Senate,,Jay Wolfe,REP,57
Monongalia,0002 Prec 42,U.S. Senate,,Jay Rockefeller ,DEM,106
Monongalia,0002 Prec 42,U.S. House,1,Alan Mollohan,DEM,144
Monongalia,0002 Prec 42,U.S. House,2,Write-ins,,1
Monongalia,0002 Prec 42,State Senate,2,Edgell,DEM,119
Monongalia,0002 Prec 42,State Senate,2,Write-ins,,4
Monongalia,0002 Prec 42,House of Delegates,5,Dave Pethtel,DEM,148
Monongalia,0002 Prec 42,House of Delegates,5,Denzil Sloan,CON,6
Monongalia,0003 Prec 93,Registered Voters,,Registered,,6
Monongalia,0003 Prec 93,Ballots Cast,,Ballots,,4
Monongalia,0003 Prec 93,U.S. Senate,,Jay Wolfe,REP,2
Monongalia,0003 Prec 93,U.S. Senate,,Jay Rockefeller,DEM,2
Monongalia,0003 Prec 93,U.S. House,1,Alan Mollohan,DEM,2
Monongalia,0003 Prec 93,State Senate,2,Edgell,DEM,4
Monongalia,0003 Prec 93,House of Delegates,43,Chuck Mullet,REP,1
Monongalia,0003 Prec 93,House of Delegates,43,Donna Renner,REP,1
