candidate,office,district,party,county,precinct,votes,winner,
,Registered Voters,,,Upshur,Precinct 4,446,,
,Ballots Cast,,,Upshur,Precinct 4,258,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 4,137,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 4,99,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 4,18,,
Write-In,U.S. Senate,,,Upshur,Precinct 4,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 4,157,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 4,79,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 4,11,,
Write-In,U.S. House,2,,Upshur,Precinct 4,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 4,210,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 4,41,,
Write-In,State Senate,11,,Upshur,Precinct 4,1,,
Caleb Hanna,House of Delegates,44,REP,Upshur,Precinct 4,140,,
Dana L. Lynch,House of Delegates,44,DEM,Upshur,Precinct 4,95,,
Barbara Daniels ,House of Delegates,44,MTN,Upshur,Precinct 4,13,,
Write-In,House of Delegates,44,,Upshur,Precinct 4,0,,
,Registered Voters,,,Upshur,Precinct 6,609,,
,Ballots Cast,,,Upshur,Precinct 6,314,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 6,187,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 6,108,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 6,14,,
Write-In,U.S. Senate,,,Upshur,Precinct 6,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 6,204,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 6,85,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 6,6,,
Write-In,U.S. House,2,,Upshur,Precinct 6,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 6,261,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 6,44,,
Write-In,State Senate,11,,Upshur,Precinct 6,1,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 6,228,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 6,80,,
Write-In,House of Delegates,45,,Upshur,Precinct 6,0,,
,Registered Voters,,,Upshur,Precinct 7,133,,
,Ballots Cast,,,Upshur,Precinct 7,74,,
