candidate,office,district,party,county,precinct,votes,winner
,Registered Voters,,,Putnam,Precinct 1,804,
,Ballots Cast,,,Putnam,Precinct 1,414,
Patrick Morrisey,U.S. Senate,,REP,Putnam,Precinct 1,190,
Joseph Manchin III,U.S. Senate,,DEM,Putnam,Precinct 1,193,
Rusty Hollen,U.S. Senate,,LIB,Putnam,Precinct 1,15,
Alex X Mooney,U.S. House,2,REP,Putnam,Precinct 1,242,
Talley Sergent,U.S. House,2,DEM,Putnam,Precinct 1,139,
"Daniel P ""Danny"" Lutz Jr.",U.S. House,2,MTN,Putnam,Precinct 1,11,
Eric J. Tarr,State Senate,4,REP,Putnam,Precinct 1,,
Brian Prim,State Senate,4,DEM,Putnam,Precinct 1,,
Amy Nichole Grady,State Senate,4,NPA,Putnam,Precinct 1,,
E D Gaunch,State Senate,8,REP,Putnam,Precinct 1,257,
Richard Lindsay,State Senate,8,DEM,Putnam,Precinct 1,137,
Scott Cadle,House of Delegates,13,REP,Putnam,Precinct 1,183,
Joshua Kurt Higginbotham,House of Delegates,13,REP,Putnam,Precinct 1,270,
Scott Brewer,House of Delegates,13,DEM,Putnam,Precinct 1,139,
Todd Mullins,House of Delegates,13,IND,Putnam,Precinct 1,101,
Jim Butler,House of Delegates,14,REP,Putnam,Precinct 1,,
Brianne Solomon,House of Delegates,14,DEM,Putnam,Precinct 1,,
Geoff Foster,House of Delegates,15,REP,Putnam,Precinct 1,,
Casey Wade Horton,House of Delegates,15,DEM,Putnam,Precinct 1,,
"Theresa ""Tess"" Jackson",House of Delegates,15,NPA,Putnam,Precinct 1,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,REP,Putnam,Precinct 1,,
Zack Maynard,House of Delegates,22,REP,Putnam,Precinct 1,,
Bill Bryant,House of Delegates,22,dEM,Putnam,Precinct 1,,
Gary McCallister,House of Delegates,22,DEM,Putnam,Precinct 1,,
Jeff E Eldridge,House of Delegates,22,IND,Putnam,Precinct 1,,
Dianna Graves,House of Delegates,38,REP,Putnam,Precinct 1,,
Tom Tull,House of Delegates,38,DEM,Putnam,Precinct 1,,
,Registered Voters,,,Putnam,Precinct 2,578,
,Ballots Cast,,,Putnam,Precinct 2,292,
Patrick Morrisey,U.S. Senate,,REP,Putnam,Precinct 2,149,
Joseph Manchin III,U.S. Senate,,DEM,Putnam,Precinct 2,131,
Rusty Hollen,U.S. Senate,,LIB,Putnam,Precinct 2,6,
Alex X Mooney,U.S. House,2,REP,Putnam,Precinct 2,180,
Talley Sergent,U.S. House,2,DEM,Putnam,Precinct 2,102,
"Daniel P ""Danny"" Lutz Jr.",U.S. House,2,MTN,Putnam,Precinct 2,3,
Eric J. Tarr,State Senate,4,REP,Putnam,Precinct 2,,
Brian Prim,State Senate,4,DEM,Putnam,Precinct 2,,
Amy Nichole Grady,State Senate,4,NPA,Putnam,Precinct 2,,
E D Gaunch,State Senate,8,REP,Putnam,Precinct 2,172,
Richard Lindsay,State Senate,8,DEM,Putnam,Precinct 2,105,
Scott Cadle,House of Delegates,13,REP,Putnam,Precinct 2,146,
Joshua Kurt Higginbotham,House of Delegates,13,REP,Putnam,Precinct 2,176,
Scott Brewer,House of Delegates,13,DEM,Putnam,Precinct 2,101,
Todd Mullins,House of Delegates,13,IND,Putnam,Precinct 2,63,
Jim Butler,House of Delegates,14,REP,Putnam,Precinct 2,,
Brianne Solomon,House of Delegates,14,DEM,Putnam,Precinct 2,,
Geoff Foster,House of Delegates,15,REP,Putnam,Precinct 2,,
Casey Wade Horton,House of Delegates,15,DEM,Putnam,Precinct 2,,
"Theresa ""Tess"" Jackson",House of Delegates,15,NPA,Putnam,Precinct 2,,
"Joseph ""Joe"" Jeffries",House of Delegates,22,REP,Putnam,Precinct 2,,
Zack Maynard,House of Delegates,22,REP,Putnam,Precinct 2,,
Bill Bryant,House of Delegates,22,dEM,Putnam,Precinct 2,,
Gary McCallister,House of Delegates,22,DEM,Putnam,Precinct 2,,
Jeff E Eldridge,House of Delegates,22,IND,Putnam,Precinct 2,,
Dianna Graves,House of Delegates,38,REP,Putnam,Precinct 2,,
Tom Tull,House of Delegates,38,DEM,Putnam,Precinct 2,,
,Registered Voters,,,Putnam,Precinct 4,773,
,Ballots Cast,,,Putnam,Precinct 4,384,
Patrick Morrisey,U.S. Senate,,REP,Putnam,Precinct 4,164,
Joseph Manchin III,U.S. Senate,,DEM,Putnam,Precinct 4,198,
Rusty Hollen,U.S. Senate,,LIB,Putnam,Precinct 4,11,
Alex X Mooney,U.S. House,2,REP,Putnam,Precinct 4,205,
Talley Sergent,U.S. House,2,DEM,Putnam,Precinct 4,163,
"Daniel P ""Danny"" Lutz Jr.",U.S. House,2,MTN,Putnam,Precinct 4,6,
Eric J. Tarr,State Senate,4,REP,Putnam,Precinct 4,,
Brian Prim,State Senate,4,DEM,Putnam,Precinct 4,,
Amy Nichole Grady,State Senate,4,NPA,Putnam,Precinct 4,,
E D Gaunch,State Senate,8,REP,Putnam,Precinct 4,218,
Richard Lindsay,State Senate,8,DEM,Putnam,Precinct 4,153,
Scott Cadle,House of Delegates,13,REP,Putnam,Precinct 4,175,
Joshua Kurt Higginbotham,House of Delegates,13,REP,Putnam,Precinct 4,243,
Scott Brewer,House of Delegates,13,DEM,Putnam,Precinct 4,159,
