candidate,office,district,party,county,precinct,votes,early_voting,absentee,election_day
,Registered Voters,,,Pendleton,Precinct 1,202,,,
,Ballots Cast,,,Pendleton,Precinct 1,103,18,4,81
Patrick Morrisey,U.S. Senate,,REP,Pendleton,Precinct 1,60,8,0,52
Joseph Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 1,41,10,4,27
Rusty Hollen,U.S. Senate,,LIB,Pendleton,Precinct 1,2,0,0,2
Write In,U.S. Senate,,,Pendleton,Precinct 1,0,0,0,0
Alex X Mooney,U.S. House,2,REP,Pendleton,Precinct 1,73,10,1,62
Talley Sergent,U.S. House,2,DEM,Pendleton,Precinct 1,24,6,3,15
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Pendleton,Precinct 1,4,1,0,3
Write In,U.S. House,2,,Pendleton,Precinct 1,0,0,0,0
Bill Hamilton,State Senate,11,REP,Pendleton,Precinct 1,70,10,0,60
Laura M Finch,State Senate,11,DEM,Pendleton,Precinct 1,31,8,4,19
Write In,State Senate,11,,Pendleton,Precinct 1,0,0,0,0
Jon Hof,House of Delegates,55,REP,Pendleton,Precinct 1,45,7,0,38
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 1,57,11,4,42
Write In,House of Delegates,55,,Pendleton,Precinct 1,0,0,0,0
,Registered Voters,,,Pendleton,Precinct 2,513,,,
,Ballots Cast,,,Pendleton,Precinct 2,246,38,4,204
Patrick Morrisey,U.S. Senate,,REP,Pendleton,Precinct 2,140,18,3,119
Joseph Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 2,97,19,1,77
Rusty Hollen,U.S. Senate,,LIB,Pendleton,Precinct 2,8,1,0,7
Write In,U.S. Senate,,,Pendleton,Precinct 2,0,0,0,0
Alex X Mooney,U.S. House,2,REP,Pendleton,Precinct 2,152,21,3,128
Talley Sergent,U.S. House,2,DEM,Pendleton,Precinct 2,80,17,1,62
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Pendleton,Precinct 2,6,0,0,6
