county,precinct,office,district,candidate,party,votes,election_day,early_voting,absentee,absentee_ed,provisional
Monongalia,1,Registered Voters,,,,938,,,,,
Monongalia,2A,Registered Voters,,,,2824,,,,,
Monongalia,2B,Registered Voters,,,,2305,,,,,
Monongalia,10,Registered Voters,,,,3720,,,,,
Monongalia,13,Registered Voters,,,,3032,,,,,
Monongalia,16,Registered Voters,,,,1218,,,,,
Monongalia,23,Registered Voters,,,,2253,,,,,
Monongalia,25,Registered Voters,,,,1228,,,,,
Monongalia,26,Registered Voters,,,,820,,,,,
Monongalia,30,Registered Voters,,,,1301,,,,,
Monongalia,32,Registered Voters,,,,5526,,,,,
Monongalia,33,Registered Voters,,,,1060,,,,,
Monongalia,35,Registered Voters,,,,1226,,,,,
Monongalia,36,Registered Voters,,,,1476,,,,,
Monongalia,38,Registered Voters,,,,3778,,,,,
Monongalia,40,Registered Voters,,,,632,,,,,
Monongalia,41,Registered Voters,,,,197,,,,,
Monongalia,44,Registered Voters,,,,1134,,,,,
Monongalia,47,Registered Voters,,,,1357,,,,,
Monongalia,48,Registered Voters,,,,299,,,,,
Monongalia,51,Registered Voters,,,,629,,,,,
Monongalia,51M,Registered Voters,,,,91,,,,,
Monongalia,52,Registered Voters,,,,1703,,,,,
Monongalia,58,Registered Voters,,,,356,,,,,
Monongalia,59,Registered Voters,,,,1853,,,,,
Monongalia,61,Registered Voters,,,,2701,,,,,
Monongalia,62,Registered Voters,,,,1422,,,,,
Monongalia,63,Registered Voters,,,,1275,,,,,
Monongalia,64,Registered Voters,,,,1545,,,,,
Monongalia,67,Registered Voters,,,,782,,,,,
Monongalia,68,Registered Voters,,,,948,,,,,
Monongalia,71,Registered Voters,,,,2980,,,,,
Monongalia,74,Registered Voters,,,,619,,,,,
Monongalia,76,Registered Voters,,,,362,,,,,
Monongalia,77,Registered Voters,,,,2178,,,,,
Monongalia,78,Registered Voters,,,,2140,,,,,
Monongalia,79,Registered Voters,,,,1989,,,,,
Monongalia,81,Registered Voters,,,,3655,,,,,
Monongalia,82,Registered Voters,,,,1405,,,,,
Monongalia,83,Registered Voters,,,,2482,,,,,
Monongalia,86,Registered Voters,,,,1424,,,,,
Monongalia,Total,Registered Voters,,,,68863,,,,,
Monongalia,1,Ballots Cast,,,,521,206,310,5,0,0
