candidate,office,district,party,county,precinct,total votes
Barack Obama,President,,DEM,Taylor,Precinct 1,81
Keith Judd,President,,DEM,Taylor,Precinct 1,70
Sheirl Fletcher,U.S. Senate,,DEM,Taylor,Precinct 1,38
Joe Manchin III,U.S. Senate,,DEM,Taylor,Precinct 1,148
Sue Thorn,U.S. House,1,DEM,Taylor,Precinct 1,132
Earl Ray Tomblin,Governor,,DEM,Taylor,Precinct 1,150
Arne Moltis,Governor,,DEM,Taylor,Precinct 1,34
Natalie E. Tennant,Secretary of State,,DEM,Taylor,Precinct 1,166
Glen B. Gainer III,Auditor,,DEM,Taylor,Precinct 1,155
John D. Perdue,Treasurer,,DEM,Taylor,Precinct 1,156
Steve Miller,Commissioner of Agriculture,,DEM,Taylor,Precinct 1,62
Sally Shepherd,Commissioner of Agriculture,,DEM,Taylor,Precinct 1,25
Bobb Tabb,Commissioner of Agriculture,,DEM,Taylor,Precinct 1,5
Joe Messineo,Commissioner of Agriculture,,DEM,Taylor,Precinct 1,17
Walt Helmick,Commissioner of Agriculture,,DEM,Taylor,Precinct 1,60
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Taylor,Precinct 1,145
Bob Williams,State Senate,14,DEM,Taylor,Precinct 1,153
Tim Miley,House of Delegates,48,DEM,Taylor,Precinct 1,
Martin Shaffer,House of Delegates,48,DEM,Taylor,Precinct 1,
Ron Fragale,House of Delegates,48,DEM,Taylor,Precinct 1,
"Samuel J. ""Sam"" Cann",House of Delegates,48,DEM,Taylor,Precinct 1,
Richard J. Iaquinta,House of Delegates,48,DEM,Taylor,Precinct 1,
Mike Manypenny,House of Delegates,49,DEM,Taylor,Precinct 1,115
Francis W. Nestor,House of Delegates,49,DEM,Taylor,Precinct 1,61
Ron Paul,President,,REP,Taylor,Precinct 1,16
Mitt Romney,President,,REP,Taylor,Precinct 1,67
Newt Gingrich,President,,REP,Taylor,Precinct 1,5
"Charles ""Buddy"" Roemer",President,,REP,Taylor,Precinct 1,0
