candidate,office,district,party,county,precinct,total votes
Barack Obama,President ,,DEM,Lewis,Precinct 1,40
Keith Judd,President ,,DEM,Lewis,Precinct 1,15
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 1,52
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 1,9
William McCann,U.S. House,2,DEM,Lewis,Precinct 1,24
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 1,12
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 1,13
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 1,51
Arne Moltis,Governor,,DEM,Lewis,Precinct 1,9
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 1,54
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 1,53
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 1,53
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 1,13
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 1,8
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 1,8
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 1,1
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 1,26
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 1,47
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 1,55
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 1,58
Mitt Romney,President ,,REP,Lewis,Precinct 1,19
Newt Gingrich,President ,,REP,Lewis,Precinct 1,0
Rick Santorum,President ,,REP,Lewis,Precinct 1,3
Ron Paul,President ,,REP,Lewis,Precinct 1,3
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 1,1
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 1,22
Michael Davis,U.S. House,2,REP,Lewis,Precinct 1,6
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 1,0
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 1,19
Ralph William Clark,Governor,,REP,Lewis,Precinct 1,2
Bill Maloney,Governor,,REP,Lewis,Precinct 1,22
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 1,21
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 1,20
Mike Hall,Treasurer,,REP,Lewis,Precinct 1,14
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 1,6
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 1,19
Barack Obama,President ,,DEM,Lewis,Precinct 2,38
Keith Judd,President ,,DEM,Lewis,Precinct 2,18
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 2,54
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 2,10
William McCann,U.S. House,2,DEM,Lewis,Precinct 2,23
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 2,23
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 2,10
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 2,54
Arne Moltis,Governor,,DEM,Lewis,Precinct 2,5
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 2,52
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 2,49
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 2,47
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 2,15
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 2,5
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 2,9
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 2,3
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 2,20
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 2,51
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 2,49
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 2,51
Mitt Romney,President ,,REP,Lewis,Precinct 2,39
Newt Gingrich,President ,,REP,Lewis,Precinct 2,2
Rick Santorum,President ,,REP,Lewis,Precinct 2,9
Ron Paul,President ,,REP,Lewis,Precinct 2,2
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 2,1
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 2,51
Michael Davis,U.S. House,2,REP,Lewis,Precinct 2,7
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 2,1
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 2,44
Ralph William Clark,Governor,,REP,Lewis,Precinct 2,4
Bill Maloney,Governor,,REP,Lewis,Precinct 2,46
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 2,40
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 2,43
Mike Hall,Treasurer,,REP,Lewis,Precinct 2,32
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 2,14
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 2,41
Barack Obama,President ,,DEM,Lewis,Precinct 3,41
Keith Judd,President ,,DEM,Lewis,Precinct 3,30
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 3,73
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 3,6
William McCann,U.S. House,2,DEM,Lewis,Precinct 3,33
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 3,25
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 3,9
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 3,71
Arne Moltis,Governor,,DEM,Lewis,Precinct 3,10
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 3,70
