candidate,office,district,party,county,precinct,total votes
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 3,69
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 3,68
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 3,19
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 3,10
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 3,7
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 3,3
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 3,30
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 3,70
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 3,68
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 3,74
Mitt Romney,President ,,REP,Lewis,Precinct 3,32
Newt Gingrich,President ,,REP,Lewis,Precinct 3,2
Rick Santorum,President ,,REP,Lewis,Precinct 3,3
Ron Paul,President ,,REP,Lewis,Precinct 3,4
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 3,1
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 3,37
Michael Davis,U.S. House,2,REP,Lewis,Precinct 3,6
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 3,0
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 3,31
Ralph William Clark,Governor,,REP,Lewis,Precinct 3,7
Bill Maloney,Governor,,REP,Lewis,Precinct 3,33
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 3,30
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 3,30
Mike Hall,Treasurer,,REP,Lewis,Precinct 3,25
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 3,8
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 3,30
Barack Obama,President ,,DEM,Lewis,Precinct 4,20
Keith Judd,President ,,DEM,Lewis,Precinct 4,23
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 4,42
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 4,5
William McCann,U.S. House,2,DEM,Lewis,Precinct 4,19
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 4,13
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 4,6
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 4,36
Arne Moltis,Governor,,DEM,Lewis,Precinct 4,9
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 4,37
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 4,39
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 4,37
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 4,11
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 4,8
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 4,8
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 4,1
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 4,14
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 4,38
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 4,40
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 4,45
Mitt Romney,President ,,REP,Lewis,Precinct 4,27
Newt Gingrich,President ,,REP,Lewis,Precinct 4,5
Rick Santorum,President ,,REP,Lewis,Precinct 4,6
Ron Paul,President ,,REP,Lewis,Precinct 4,1
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 4,0
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 4,35
Michael Davis,U.S. House,2,REP,Lewis,Precinct 4,5
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 4,0
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 4,36
Ralph William Clark,Governor,,REP,Lewis,Precinct 4,6
Bill Maloney,Governor,,REP,Lewis,Precinct 4,28
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 4,23
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 4,24
Mike Hall,Treasurer,,REP,Lewis,Precinct 4,21
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 4,11
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 4,30
Barack Obama,President ,,DEM,Lewis,Precinct 5,39
Keith Judd,President ,,DEM,Lewis,Precinct 5,19
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 5,50
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 5,13
William McCann,U.S. House,2,DEM,Lewis,Precinct 5,26
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 5,17
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 5,9
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 5,55
Arne Moltis,Governor,,DEM,Lewis,Precinct 5,8
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 5,56
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 5,56
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 5,55
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 5,12
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 5,10
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 5,11
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 5,4
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 5,17
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 5,54
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 5,54
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 5,58
Mitt Romney,President ,,REP,Lewis,Precinct 5,48
Newt Gingrich,President ,,REP,Lewis,Precinct 5,4
Rick Santorum,President ,,REP,Lewis,Precinct 5,4
Ron Paul,President ,,REP,Lewis,Precinct 5,4
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 5,2
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 5,50
Michael Davis,U.S. House,2,REP,Lewis,Precinct 5,4
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 5,2
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 5,55
Ralph William Clark,Governor,,REP,Lewis,Precinct 5,9
Bill Maloney,Governor,,REP,Lewis,Precinct 5,51
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 5,45
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 5,39
Mike Hall,Treasurer,,REP,Lewis,Precinct 5,32
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 5,13
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 5,48
Barack Obama,President ,,DEM,Lewis,Precinct 6,32
Keith Judd,President ,,DEM,Lewis,Precinct 6,21
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 6,40
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 6,20
William McCann,U.S. House,2,DEM,Lewis,Precinct 6,19
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 6,21
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 6,12
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 6,49
Arne Moltis,Governor,,DEM,Lewis,Precinct 6,10
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 6,51
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 6,54
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 6,52
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 6,21
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 6,8
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 6,9
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 6,0
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 6,17
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 6,51
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 6,47
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 6,50
Mitt Romney,President ,,REP,Lewis,Precinct 6,25
Newt Gingrich,President ,,REP,Lewis,Precinct 6,5
Rick Santorum,President ,,REP,Lewis,Precinct 6,5
Ron Paul,President ,,REP,Lewis,Precinct 6,5
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 6,2
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 6,36
Michael Davis,U.S. House,2,REP,Lewis,Precinct 6,5
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 6,0
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 6,39
Ralph William Clark,Governor,,REP,Lewis,Precinct 6,8
Bill Maloney,Governor,,REP,Lewis,Precinct 6,28
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 6,31
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 6,26
Mike Hall,Treasurer,,REP,Lewis,Precinct 6,17
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 6,15
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 6,27
Barack Obama,President ,,DEM,Lewis,Precinct 7,66
Keith Judd,President ,,DEM,Lewis,Precinct 7,82
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 7,122
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 7,50
William McCann,U.S. House,2,DEM,Lewis,Precinct 7,93
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 7,28
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 7,27
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 7,141
Arne Moltis,Governor,,DEM,Lewis,Precinct 7,34
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 7,158
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 7,152
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 7,155
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 7,55
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 7,22
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 7,30
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 7,4
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 7,53
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 7,150
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 7,152
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 7,150
Mitt Romney,President ,,REP,Lewis,Precinct 7,58
Newt Gingrich,President ,,REP,Lewis,Precinct 7,6
Rick Santorum,President ,,REP,Lewis,Precinct 7,9
Ron Paul,President ,,REP,Lewis,Precinct 7,9
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 7,0
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 7,73
Michael Davis,U.S. House,2,REP,Lewis,Precinct 7,9
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 7,4
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 7,70
Ralph William Clark,Governor,,REP,Lewis,Precinct 7,16
Bill Maloney,Governor,,REP,Lewis,Precinct 7,61
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 7,62
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 7,61
Mike Hall,Treasurer,,REP,Lewis,Precinct 7,47
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 7,22
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 7,66
Barack Obama,President ,,DEM,Lewis,Precinct 8,63
Keith Judd,President ,,DEM,Lewis,Precinct 8,52
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 8,95
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 8,26
William McCann,U.S. House,2,DEM,Lewis,Precinct 8,48
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 8,26
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 8,19
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 8,104
Arne Moltis,Governor,,DEM,Lewis,Precinct 8,17
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 8,103
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 8,98
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 8,99
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 8,38
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 8,13
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 8,10
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 8,4
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 8,49
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 8,94
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 8,95
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 8,101
Mitt Romney,President ,,REP,Lewis,Precinct 8,81
Newt Gingrich,President ,,REP,Lewis,Precinct 8,7
Rick Santorum,President ,,REP,Lewis,Precinct 8,8
Ron Paul,President ,,REP,Lewis,Precinct 8,6
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 8,1
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 8,96
Michael Davis,U.S. House,2,REP,Lewis,Precinct 8,7
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 8,1
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 8,96
Ralph William Clark,Governor,,REP,Lewis,Precinct 8,19
Bill Maloney,Governor,,REP,Lewis,Precinct 8,77
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 8,74
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 8,73
Mike Hall,Treasurer,,REP,Lewis,Precinct 8,42
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 8,37
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 8,76
Barack Obama,President ,,DEM,Lewis,Precinct 9,33
Keith Judd,President ,,DEM,Lewis,Precinct 9,19
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 9,52
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 9,7
William McCann,U.S. House,2,DEM,Lewis,Precinct 9,24
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 9,13
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 9,8
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 9,47
Arne Moltis,Governor,,DEM,Lewis,Precinct 9,10
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 9,56
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 9,50
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 9,49
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 9,16
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 9,13
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 9,10
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 9,0
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 9,13
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 9,45
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 9,47
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 9,55
Mitt Romney,President ,,REP,Lewis,Precinct 9,18
Newt Gingrich,President ,,REP,Lewis,Precinct 9,5
Rick Santorum,President ,,REP,Lewis,Precinct 9,2
Ron Paul,President ,,REP,Lewis,Precinct 9,1
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 9,0
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 9,25
Michael Davis,U.S. House,2,REP,Lewis,Precinct 9,1
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 9,0
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 9,28
Ralph William Clark,Governor,,REP,Lewis,Precinct 9,4
Bill Maloney,Governor,,REP,Lewis,Precinct 9,22
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 9,16
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 9,18
Mike Hall,Treasurer,,REP,Lewis,Precinct 9,10
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 9,10
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 9,21
Barack Obama,President ,,DEM,Lewis,Precinct 10,64
Keith Judd,President ,,DEM,Lewis,Precinct 10,26
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 10,78
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 10,19
William McCann,U.S. House,2,DEM,Lewis,Precinct 10,40
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 10,22
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 10,20
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 10,86
Arne Moltis,Governor,,DEM,Lewis,Precinct 10,14
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 10,95
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 10,89
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 10,92
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 10,18
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 10,18
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 10,20
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 10,3
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 10,27
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 10,88
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 10,89
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 10,84
Mitt Romney,President ,,REP,Lewis,Precinct 10,63
Newt Gingrich,President ,,REP,Lewis,Precinct 10,4
Rick Santorum,President ,,REP,Lewis,Precinct 10,10
Ron Paul,President ,,REP,Lewis,Precinct 10,7
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 10,0
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 10,70
Michael Davis,U.S. House,2,REP,Lewis,Precinct 10,4
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 10,2
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 10,81
Ralph William Clark,Governor,,REP,Lewis,Precinct 10,14
Bill Maloney,Governor,,REP,Lewis,Precinct 10,68
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 10,55
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 10,54
Mike Hall,Treasurer,,REP,Lewis,Precinct 10,50
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 10,19
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 10,59
Barack Obama,President ,,DEM,Lewis,Precinct 11,27
Keith Judd,President ,,DEM,Lewis,Precinct 11,30
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 11,55
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 11,14
William McCann,U.S. House,2,DEM,Lewis,Precinct 11,27
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 11,13
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 11,11
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 11,51
Arne Moltis,Governor,,DEM,Lewis,Precinct 11,14
Natalie E. Tennant,Secretary of State ,,DEM,Lewis,Precinct 11,61
Glen B. Gainer III,Auditor,,DEM,Lewis,Precinct 11,52
John D. Perdue,Treasurer,,DEM,Lewis,Precinct 11,56
Steve Miller,Commissioner of Agriculture,,DEM,Lewis,Precinct 11,21
Joe Messineo,Commissioner of Agriculture,,DEM,Lewis,Precinct 11,6
Sally Shepherd ,Commissioner of Agriculture,,DEM,Lewis,Precinct 11,12
Bobb Tabb,Commissioner of Agriculture,,DEM,Lewis,Precinct 11,1
Walt Helmick,Commissioner of Agriculture,,DEM,Lewis,Precinct 11,19
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Lewis,Precinct 11,56
Doug Facemire,State Senate,12,DEM,Lewis,Precinct 11,57
Peggy Donaldson Smith,House of Delegates ,,DEM,Lewis,Precinct 11,52
Mitt Romney,President ,,REP,Lewis,Precinct 11,56
Newt Gingrich,President ,,REP,Lewis,Precinct 11,8
Rick Santorum,President ,,REP,Lewis,Precinct 11,3
Ron Paul,President ,,REP,Lewis,Precinct 11,5
"Charles ""Buddy"" Roemer",President ,,REP,Lewis,Precinct 11,2
John R. Raese,U.S. Senate,,REP,Lewis,Precinct 11,67
Michael Davis,U.S. House,2,REP,Lewis,Precinct 11,5
Jonathan Miller,U.S. House,2,REP,Lewis,Precinct 11,1
Shelley Moore Capito,U.S. House,2,REP,Lewis,Precinct 11,71
Ralph William Clark,Governor,,REP,Lewis,Precinct 11,11
Bill Maloney,Governor,,REP,Lewis,Precinct 11,58
Brian Savilla,Secretary of State ,,REP,Lewis,Precinct 11,62
Larry V. Faircloth,Auditor,,REP,Lewis,Precinct 11,60
Mike Hall,Treasurer,,REP,Lewis,Precinct 11,35
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Lewis,Precinct 11,21
Patrick Morrisey,Attorney General,,REP,Lewis,Precinct 11,60
Barack Obama,President ,,DEM,Lewis,Precinct 12,17
Keith Judd,President ,,DEM,Lewis,Precinct 12,25
Joe Manchin III,U.S. Senate,,DEM,Lewis,Precinct 12,42
Sheirl Fletcher,U.S. Senate,,DEM,Lewis,Precinct 12,6
William McCann,U.S. House,2,DEM,Lewis,Precinct 12,23
Howard Swint,U.S. House,2,DEM,Lewis,Precinct 12,8
Dugald Brown ,U.S. House,2,DEM,Lewis,Precinct 12,8
Earl Ray Tomblin,Governor,,DEM,Lewis,Precinct 12,34
Arne Moltis,Governor,,DEM,Lewis,Precinct 12,11
