candidate,office,district,party,county,precinct,total votes
Rick Santorum,President,,REP,Wirt,Precinct 1,7
Mitt Romney,President,,REP,Wirt,Precinct 1,28
"Charles ""Buddy"" Roemer",President,,REP,Wirt,Precinct 1,0
Newt Gingrich,President,,REP,Wirt,Precinct 1,9
Ron Paul,President,,REP,Wirt,Precinct 1,6
John R. Raese,U.S. Senate,,REP,Wirt,Precinct 1,36
Shelley Moore Capito,U.S. House,2,REP,Wirt,Precinct 1,44
Michael Davis,U.S. House,2,REP,Wirt,Precinct 1,4
Jonathan Miller,U.S. House,2,REP,Wirt,Precinct 1,3
Ralph William Clark,Governor,,REP,Wirt,Precinct 1,8
Bill Maloney,Governor,,REP,Wirt,Precinct 1,37
Brian Savilla,Secretary of State,,REP,Wirt,Precinct 1,40
Larry V. Faircloth,Auditor,,REP,Wirt,Precinct 1,39
Mike Hall,Treasurer,,REP,Wirt,Precinct 1,32
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Wirt,Precinct 1,13
Patrick Morrisey,Attorney General,,REP,Wirt,Precinct 1,40
Donna J. Boley,State Senate,3,REP,Wirt,Precinct 1,46
Anna Border,House of Delegates,,REP,Wirt,Precinct 1,47
Keith Judd,President,,DEM,Wirt,Precinct 1,32
Barack Obama,President,,DEM,Wirt,Precinct 1,18
Sheirl Fletcher,U.S. Senate,,DEM,Wirt,Precinct 1,8
Joe Manchin III,U.S. Senate,,DEM,Wirt,Precinct 1,51
Howard Swint,U.S. House,2,DEM,Wirt,Precinct 1,18
Odgalo Brown,U.S. House,2,DEM,Wirt,Precinct 1,5
William McCann,U.S. House,2,DEM,Wirt,Precinct 1,26
Earl Ray Tomblin,Governor,,DEM,Wirt,Precinct 1,44
Arne Moltis,Governor,,DEM,Wirt,Precinct 1,11
Natalie E. Tennant,Secretary of State,,DEM,Wirt,Precinct 1,55
Glen B. Gainer III,Auditor,,DEM,Wirt,Precinct 1,52
John D. Perdue,Treasurer,,DEM,Wirt,Precinct 1,51
Joe Messineo,Commissioner of Agriculture,,DEM,Wirt,Precinct 1,33
Bobb Tabb,Commissioner of Agriculture,,DEM,Wirt,Precinct 1,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Wirt,Precinct 1,5
Walt Helmick,Commissioner of Agriculture,,DEM,Wirt,Precinct 1,5
Steve Miller,Commissioner of Agriculture,,DEM,Wirt,Precinct 1,8
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Wirt,Precinct 1,51
Jim Marion,House of Delegates,,DEM,Wirt,Precinct 1,43
Rick Santorum,President,,REP,Wirt,Precinct 2,2
Mitt Romney,President,,REP,Wirt,Precinct 2,11
"Charles ""Buddy"" Roemer",President,,REP,Wirt,Precinct 2,0
Newt Gingrich,President,,REP,Wirt,Precinct 2,1
Ron Paul,President,,REP,Wirt,Precinct 2,2
John R. Raese,U.S. Senate,,REP,Wirt,Precinct 2,10
Shelley Moore Capito,U.S. House,2,REP,Wirt,Precinct 2,17
Michael Davis,U.S. House,2,REP,Wirt,Precinct 2,1
Jonathan Miller,U.S. House,2,REP,Wirt,Precinct 2,0
Ralph William Clark,Governor,,REP,Wirt,Precinct 2,2
Bill Maloney,Governor,,REP,Wirt,Precinct 2,14
Brian Savilla,Secretary of State,,REP,Wirt,Precinct 2,12
Larry V. Faircloth,Auditor,,REP,Wirt,Precinct 2,11
