candidate,office,district,party,county,precinct,total votes,early voting,election day
Keith Judd,President,,DEM,Jefferson,Precinct 2,12,3,9
Barack Obama,President,,DEM,Jefferson,Precinct 2,79,21,58
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 2,25,7,18
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 2,69,20,49
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 2,8,2,6
William McCann,U.S. House,2,DEM,Jefferson,Precinct 2,67,17,50
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 2,8,4,4
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 2,75,23,52
Arne Moltis,Governor,,DEM,Jefferson,Precinct 2,19,4,15
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 2,73,18,55
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 2,70,18,52
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 2,73,20,53
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 2,3,2,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 2,84,25,59
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 2,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 2,4,0,4
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 2,0,0,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 2,71,18,53
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 2,82,22,60
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 2,21,7,14
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 2,75,21,54
Ron Paul,President,,REP,Jefferson,Precinct 2,13,2,11
Newt Gingrich,President,,REP,Jefferson,Precinct 2,5,2,3
Mitt Romney,President,,REP,Jefferson,Precinct 2,29,7,22
Rick Santorum,President,,REP,Jefferson,Precinct 2,4,1,3
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 2,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 2,41,7,34
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 2,1,0,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 2,35,10,25
