candidate,office,district,party,county,precinct,votes
Mitt Romney ,President ,,REP,Fayette,Precinct 1,25
Ron Paul,President ,,REP,Fayette,Precinct 1,4
Rick Santorum,President ,,REP,Fayette,Precinct 1,5
Newt Gingrich ,President ,,REP,Fayette,Precinct 1,1
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 1,2
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 1,33
Bill Lester,U.S. House,3,REP,Fayette,Precinct 1,6
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 1,28
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 1,3
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 1,5
Bill Maloney,Governor,,REP,Fayette,Precinct 1,29
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 1,28
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 1,30
Mike Hall,Treasurer,,REP,Fayette,Precinct 1,24
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 1,8
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 1,32
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 1,1
Mitt Romney ,President ,,REP,Fayette,Precinct 4,37
Ron Paul,President ,,REP,Fayette,Precinct 4,8
Rick Santorum,President ,,REP,Fayette,Precinct 4,14
Newt Gingrich ,President ,,REP,Fayette,Precinct 4,8
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 4,1
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 4,61
Bill Lester,U.S. House,3,REP,Fayette,Precinct 4,11
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 4,54
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 4,3
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 4,14
Bill Maloney,Governor,,REP,Fayette,Precinct 4,52
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 4,58
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 4,55
Mike Hall,Treasurer,,REP,Fayette,Precinct 4,30
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 4,22
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 4,51
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 4,0
Mitt Romney ,President ,,REP,Fayette,Precinct 5,18
Ron Paul,President ,,REP,Fayette,Precinct 5,4
Rick Santorum,President ,,REP,Fayette,Precinct 5,2
Newt Gingrich ,President ,,REP,Fayette,Precinct 5,0
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 5,3
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 5,22
Bill Lester,U.S. House,3,REP,Fayette,Precinct 5,9
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 5,14
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 5,1
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 5,6
Bill Maloney,Governor,,REP,Fayette,Precinct 5,20
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 5,20
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 5,20
Mike Hall,Treasurer,,REP,Fayette,Precinct 5,14
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 5,8
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 5,22
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 5,0
Mitt Romney ,President ,,REP,Fayette,Precinct 8,27
Ron Paul,President ,,REP,Fayette,Precinct 8,6
Rick Santorum,President ,,REP,Fayette,Precinct 8,6
Newt Gingrich ,President ,,REP,Fayette,Precinct 8,5
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 8,0
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 8,36
Bill Lester,U.S. House,3,REP,Fayette,Precinct 8,12
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 8,25
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 8,4
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 8,12
Bill Maloney,Governor,,REP,Fayette,Precinct 8,25
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 8,27
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 8,26
Mike Hall,Treasurer,,REP,Fayette,Precinct 8,16
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 8,35
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 8,27
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 8,0
Mitt Romney ,President ,,REP,Fayette,Precinct 9,17
Ron Paul,President ,,REP,Fayette,Precinct 9,0
Rick Santorum,President ,,REP,Fayette,Precinct 9,6
Newt Gingrich ,President ,,REP,Fayette,Precinct 9,3
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 9,0
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 9,21
Bill Lester,U.S. House,3,REP,Fayette,Precinct 9,3
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 9,18
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 9,1
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 9,2
Bill Maloney,Governor,,REP,Fayette,Precinct 9,21
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 9,14
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 9,15
Mike Hall,Treasurer,,REP,Fayette,Precinct 9,10
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 9,8
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 9,14
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 9,0
Mitt Romney ,President ,,REP,Fayette,Precinct 10,17
Ron Paul,President ,,REP,Fayette,Precinct 10,4
Rick Santorum,President ,,REP,Fayette,Precinct 10,4
Newt Gingrich ,President ,,REP,Fayette,Precinct 10,4
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 10,0
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 10,25
Bill Lester,U.S. House,3,REP,Fayette,Precinct 10,6
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 10,14
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 10,5
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 10,5
Bill Maloney,Governor,,REP,Fayette,Precinct 10,20
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 10,21
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 10,20
Mike Hall,Treasurer,,REP,Fayette,Precinct 10,15
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 10,7
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 10,19
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 10,0
Mitt Romney ,President ,,REP,Fayette,Precinct 11,32
Ron Paul,President ,,REP,Fayette,Precinct 11,11
Rick Santorum,President ,,REP,Fayette,Precinct 11,1
Newt Gingrich ,President ,,REP,Fayette,Precinct 11,1
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 11,1
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 11,40
Bill Lester,U.S. House,3,REP,Fayette,Precinct 11,10
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 11,29
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 11,3
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 11,5
Bill Maloney,Governor,,REP,Fayette,Precinct 11,36
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 11,35
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 11,36
Mike Hall,Treasurer,,REP,Fayette,Precinct 11,22
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 11,12
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 11,36
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 11,0
Mitt Romney ,President ,,REP,Fayette,Precinct 12,16
Ron Paul,President ,,REP,Fayette,Precinct 12,6
Rick Santorum,President ,,REP,Fayette,Precinct 12,7
Newt Gingrich ,President ,,REP,Fayette,Precinct 12,1
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 12,1
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 12,26
Bill Lester,U.S. House,3,REP,Fayette,Precinct 12,10
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 12,18
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 12,2
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 12,5
Bill Maloney,Governor,,REP,Fayette,Precinct 12,25
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 12,27
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 12,26
Mike Hall,Treasurer,,REP,Fayette,Precinct 12,19
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 12,10
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 12,25
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 12,0
Mitt Romney ,President ,,REP,Fayette,Precinct 13,23
Ron Paul,President ,,REP,Fayette,Precinct 13,7
Rick Santorum,President ,,REP,Fayette,Precinct 13,3
Newt Gingrich ,President ,,REP,Fayette,Precinct 13,5
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 13,1
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 13,35
Bill Lester,U.S. House,3,REP,Fayette,Precinct 13,9
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 13,27
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 13,1
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 13,5
Bill Maloney,Governor,,REP,Fayette,Precinct 13,32
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 13,28
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 13,24
Mike Hall,Treasurer,,REP,Fayette,Precinct 13,16
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 13,14
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 13,25
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 13,0
Mitt Romney ,President ,,REP,Fayette,Precinct 15,25
Ron Paul,President ,,REP,Fayette,Precinct 15,7
Rick Santorum,President ,,REP,Fayette,Precinct 15,7
Newt Gingrich ,President ,,REP,Fayette,Precinct 15,2
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 15,0
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 15,29
Bill Lester,U.S. House,3,REP,Fayette,Precinct 15,12
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 15,23
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 15,1
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 15,7
Bill Maloney,Governor,,REP,Fayette,Precinct 15,30
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 15,34
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 15,33
Mike Hall,Treasurer,,REP,Fayette,Precinct 15,22
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 15,15
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 15,33
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 15,0
Mitt Romney ,President ,,REP,Fayette,Precinct 17,23
Ron Paul,President ,,REP,Fayette,Precinct 17,5
Rick Santorum,President ,,REP,Fayette,Precinct 17,4
Newt Gingrich ,President ,,REP,Fayette,Precinct 17,2
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 17,0
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 17,25
Bill Lester,U.S. House,3,REP,Fayette,Precinct 17,5
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 17,22
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 17,2
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 17,7
Bill Maloney,Governor,,REP,Fayette,Precinct 17,25
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 17,26
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 17,26
Mike Hall,Treasurer,,REP,Fayette,Precinct 17,21
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 17,10
Patrick Morrisey,Attorney General,,REP,Fayette,Precinct 17,29
Tighe C. Bullock ,House of Delegates,32,MTN,Fayette,Precinct 17,0
Mitt Romney ,President ,,REP,Fayette,Precinct 18,23
Ron Paul,President ,,REP,Fayette,Precinct 18,3
Rick Santorum,President ,,REP,Fayette,Precinct 18,3
Newt Gingrich ,President ,,REP,Fayette,Precinct 18,0
"Charles ""Buddy"" Roemer",President ,,REP,Fayette,Precinct 18,0
John R. Raese,U.S. Senate,,REP,Fayette,Precinct 18,19
Bill Lester,U.S. House,3,REP,Fayette,Precinct 18,6
Rick Snuffer,U.S. House,3,REP,Fayette,Precinct 18,14
Lee A. Bias,U.S. House,3,REP,Fayette,Precinct 18,1
Ralph Wiiliam Clark,Governor,,REP,Fayette,Precinct 18,6
Bill Maloney,Governor,,REP,Fayette,Precinct 18,15
Brian Savilla,Secretary of State,,REP,Fayette,Precinct 18,16
Larry V. Faircloth,Auditor,,REP,Fayette,Precinct 18,17
Mike Hall,Treasurer,,REP,Fayette,Precinct 18,12
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Fayette,Precinct 18,6
