candidate,office,district,party,county,precinct,total votes
,Registered Voters,,,Mingo,Precinct 1,692
,Registered Voters,,REP,Mingo,Precinct 1,59
,Registered Voters,,DEM,Mingo,Precinct 1,566
,Ballots Cast,,,Mingo,Precinct 1,190
,Ballots Cast,,REP,Mingo,Precinct 1,10
,Ballots Cast,,DEM,Mingo,Precinct 1,177
Barack Obama,President ,,DEM,Mingo,Precinct 1,49
Keith Judd,President ,,DEM,Mingo,Precinct 1,80
Sheirl Fletcher,US Senate,,DEM,Mingo,Precinct 1,13
Joe Manchin III,US Senate,,DEM,Mingo,Precinct 1,155
"Nick J. Rahall, II",US House,,DEM,Mingo,Precinct 1,150
Earl Ray Tomblin,Governor,,DEM,Mingo,Precinct 1,152
Arne Moltis,Governor,,DEM,Mingo,Precinct 1,11
Natalie E. Tennant,Secretary of State ,,DEM,Mingo,Precinct 1,136
Glen B. Gainer III,Auditor,,DEM,Mingo,Precinct 1,119
John D. Perdue,Treasurer,,DEM,Mingo,Precinct 1,125
Walt Helmick,Commissioner of Agriculture,,DEM,Mingo,Precinct 1,39
Bobb Tabb,Commissioner of Agriculture,,DEM,Mingo,Precinct 1,1
Sally Shepherd ,Commissioner of Agriculture,,DEM,Mingo,Precinct 1,45
Joe Messineo,Commissioner of Agriculture,,DEM,Mingo,Precinct 1,20
Steve Miller,Commissioner of Agriculture,,DEM,Mingo,Precinct 1,30
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Mingo,Precinct 1,141
Mark Wills,State Senate,6,DEM,Mingo,Precinct 1,49
"Michael ""Mike"" Mitchem ",State Senate,6,DEM,Mingo,Precinct 1,87
Art Kirkendoll,State Senate,7,DEM,Mingo,Precinct 1,
Sammy D. Dalton,State Senate,7,DEM,Mingo,Precinct 1,
Nathan Brown,House of Delegates,20,DEM,Mingo,Precinct 1,25
Justin J. Marcum,House of Delegates,20,DEM,Mingo,Precinct 1,121
Marvin Vernatter,House of Delegates,20,DEM,Mingo,Precinct 1,18
Harry Keith White,House of Delegates,21,DEM,Mingo,Precinct 1,
James C. Lusk,House of Delegates,21,DEM,Mingo,Precinct 1,
,Registered Voters,,,Mingo,Precinct 3,403
,Registered Voters,,REP,Mingo,Precinct 3,28
,Registered Voters,,DEM,Mingo,Precinct 3,338
