candidate,office,district,party,county,precinct,total votes
Keith Judd,President ,,DEM,Mineral,Precinct 1,24
Barack Obama,President ,,DEM,Mineral,Precinct 1,17
Joe Manchin III,US Senate,,DEM,Mineral,Precinct 1,39
Sheirl Fletcher,US Senate,,DEM,Mineral,Precinct 1,6
Sue Thorn,US House,1,DEM,Mineral,Precinct 1,32
Arne Moltis,Governor,,DEM,Mineral,Precinct 1,6
Earl Ray Tomblin,Governor,,DEM,Mineral,Precinct 1,38
Natalie E. Tennant,Secretary of State ,,DEM,Mineral,Precinct 1,31
Glen B. Gainer III,Auditor,,DEM,Mineral,Precinct 1,32
John D. Perdue,Treasurer,,DEM,Mineral,Precinct 1,36
Joe Messineo,Commissioner of Agriculture,,DEM,Mineral,Precinct 1,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Mineral,Precinct 1,3
Walt Helmick,Commissioner of Agriculture,,DEM,Mineral,Precinct 1,1
Sally Shepherd ,Commissioner of Agriculture,,DEM,Mineral,Precinct 1,2
Steve Miller,Commissioner of Agriculture,,DEM,Mineral,Precinct 1,34
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Mineral,Precinct 1,34
Bob Williams,State Senate,14,DEM,Mineral,Precinct 1,0
Jim Maybury ,House of Delegates ,56,DEM,Mineral,Precinct 1,34
"Joe Moreland, Jr. ",House of Delegates ,57,DEM,Mineral,Precinct 1,0
"Charles ""Buddy"" Roemer",President ,,REP,Mineral,Precinct 1,0
Newt Gingrich,President ,,REP,Mineral,Precinct 1,5
Ron Paul,President ,,REP,Mineral,Precinct 1,10
Mitt Romney,President ,,REP,Mineral,Precinct 1,75
Rick Santorum,President ,,REP,Mineral,Precinct 1,5
John R. Raese,US Senate,,REP,Mineral,Precinct 1,84
David B. McKinley ,US House,1,REP,Mineral,Precinct 1,84
Bill Maloney,Governor,,REP,Mineral,Precinct 1,75
Ralph William Clark,Governor,,REP,Mineral,Precinct 1,14
Brian Savilla,Secretary of State ,,REP,Mineral,Precinct 1,76
Larry V. Faircloth,Auditor,,REP,Mineral,Precinct 1,77
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Mineral,Precinct 1,44
Mike Hall,Treasurer,,REP,Mineral,Precinct 1,38
Patrick Morrisey,Attorney General,,REP,Mineral,Precinct 1,78
Craig P. Blair,State Senate,15,REP,Mineral,Precinct 1,74
Allen V. Evans,House of Delegates ,54,REP,Mineral,Precinct 1,0
Gary G. Howell,House of Delegates ,56,REP,Mineral,Precinct 1,70
"Robert ""Bob"" Harman",House of Delegates ,56,REP,Mineral,Precinct 1,23
Terry L. Craver,House of Delegates ,57,REP,Mineral,Precinct 1,0
Ruth Rowan ,House of Delegates ,57,REP,Mineral,Precinct 1,0
Keith Judd,President ,,DEM,Mineral,Precinct 2,40
Barack Obama,President ,,DEM,Mineral,Precinct 2,38
Joe Manchin III,US Senate,,DEM,Mineral,Precinct 2,71
Sheirl Fletcher,US Senate,,DEM,Mineral,Precinct 2,15
Sue Thorn,US House,1,DEM,Mineral,Precinct 2,65
Arne Moltis,Governor,,DEM,Mineral,Precinct 2,17
Earl Ray Tomblin,Governor,,DEM,Mineral,Precinct 2,68
Natalie E. Tennant,Secretary of State ,,DEM,Mineral,Precinct 2,65
Glen B. Gainer III,Auditor,,DEM,Mineral,Precinct 2,73
John D. Perdue,Treasurer,,DEM,Mineral,Precinct 2,69
Joe Messineo,Commissioner of Agriculture,,DEM,Mineral,Precinct 2,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Mineral,Precinct 2,2
Walt Helmick,Commissioner of Agriculture,,DEM,Mineral,Precinct 2,3
Sally Shepherd ,Commissioner of Agriculture,,DEM,Mineral,Precinct 2,2
Steve Miller,Commissioner of Agriculture,,DEM,Mineral,Precinct 2,71
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Mineral,Precinct 2,68
Bob Williams,State Senate,14,DEM,Mineral,Precinct 2,0
Jim Maybury ,House of Delegates ,56,DEM,Mineral,Precinct 2,73
"Joe Moreland, Jr. ",House of Delegates ,57,DEM,Mineral,Precinct 2,0
"Charles ""Buddy"" Roemer",President ,,REP,Mineral,Precinct 2,0
Newt Gingrich,President ,,REP,Mineral,Precinct 2,12
Ron Paul,President ,,REP,Mineral,Precinct 2,17
Mitt Romney,President ,,REP,Mineral,Precinct 2,96
Rick Santorum,President ,,REP,Mineral,Precinct 2,22
John R. Raese,US Senate,,REP,Mineral,Precinct 2,125
David B. McKinley ,US House,1,REP,Mineral,Precinct 2,122
Bill Maloney,Governor,,REP,Mineral,Precinct 2,112
Ralph William Clark,Governor,,REP,Mineral,Precinct 2,22
Brian Savilla,Secretary of State ,,REP,Mineral,Precinct 2,112
Larry V. Faircloth,Auditor,,REP,Mineral,Precinct 2,114
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Mineral,Precinct 2,68
Mike Hall,Treasurer,,REP,Mineral,Precinct 2,48
Patrick Morrisey,Attorney General,,REP,Mineral,Precinct 2,116
Craig P. Blair,State Senate,15,REP,Mineral,Precinct 2,112
Allen V. Evans,House of Delegates ,54,REP,Mineral,Precinct 2,0
Gary G. Howell,House of Delegates ,56,REP,Mineral,Precinct 2,116
"Robert ""Bob"" Harman",House of Delegates ,56,REP,Mineral,Precinct 2,33
Terry L. Craver,House of Delegates ,57,REP,Mineral,Precinct 2,0
Ruth Rowan ,House of Delegates ,57,REP,Mineral,Precinct 2,0
Keith Judd,President ,,DEM,Mineral,Precinct 3,11
Barack Obama,President ,,DEM,Mineral,Precinct 3,7
Joe Manchin III,US Senate,,DEM,Mineral,Precinct 3,15
Sheirl Fletcher,US Senate,,DEM,Mineral,Precinct 3,3
Sue Thorn,US House,1,DEM,Mineral,Precinct 3,10
Arne Moltis,Governor,,DEM,Mineral,Precinct 3,4
Earl Ray Tomblin,Governor,,DEM,Mineral,Precinct 3,13
Natalie E. Tennant,Secretary of State ,,DEM,Mineral,Precinct 3,11
Glen B. Gainer III,Auditor,,DEM,Mineral,Precinct 3,11
John D. Perdue,Treasurer,,DEM,Mineral,Precinct 3,11
Joe Messineo,Commissioner of Agriculture,,DEM,Mineral,Precinct 3,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Mineral,Precinct 3,0
Walt Helmick,Commissioner of Agriculture,,DEM,Mineral,Precinct 3,2
Sally Shepherd ,Commissioner of Agriculture,,DEM,Mineral,Precinct 3,1
Steve Miller,Commissioner of Agriculture,,DEM,Mineral,Precinct 3,11
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Mineral,Precinct 3,10
Bob Williams,State Senate,14,DEM,Mineral,Precinct 3,10
Jim Maybury ,House of Delegates ,56,DEM,Mineral,Precinct 3,0
"Joe Moreland, Jr. ",House of Delegates ,57,DEM,Mineral,Precinct 3,0
"Charles ""Buddy"" Roemer",President ,,REP,Mineral,Precinct 3,0
Newt Gingrich,President ,,REP,Mineral,Precinct 3,2
Ron Paul,President ,,REP,Mineral,Precinct 3,1
Mitt Romney,President ,,REP,Mineral,Precinct 3,24
Rick Santorum,President ,,REP,Mineral,Precinct 3,1
John R. Raese,US Senate,,REP,Mineral,Precinct 3,20
David B. McKinley ,US House,1,REP,Mineral,Precinct 3,21
Bill Maloney,Governor,,REP,Mineral,Precinct 3,20
Ralph William Clark,Governor,,REP,Mineral,Precinct 3,5
Brian Savilla,Secretary of State ,,REP,Mineral,Precinct 3,17
Larry V. Faircloth,Auditor,,REP,Mineral,Precinct 3,19
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Mineral,Precinct 3,11
Mike Hall,Treasurer,,REP,Mineral,Precinct 3,8
Patrick Morrisey,Attorney General,,REP,Mineral,Precinct 3,18
Craig P. Blair,State Senate,15,REP,Mineral,Precinct 3,0
Allen V. Evans,House of Delegates ,54,REP,Mineral,Precinct 3,23
Gary G. Howell,House of Delegates ,56,REP,Mineral,Precinct 3,0
"Robert ""Bob"" Harman",House of Delegates ,56,REP,Mineral,Precinct 3,0
Terry L. Craver,House of Delegates ,57,REP,Mineral,Precinct 3,0
Ruth Rowan ,House of Delegates ,57,REP,Mineral,Precinct 3,0
Keith Judd,President ,,DEM,Mineral,Precinct 4,26
Barack Obama,President ,,DEM,Mineral,Precinct 4,21
Joe Manchin III,US Senate,,DEM,Mineral,Precinct 4,50
Sheirl Fletcher,US Senate,,DEM,Mineral,Precinct 4,2
Sue Thorn,US House,1,DEM,Mineral,Precinct 4,41
Arne Moltis,Governor,,DEM,Mineral,Precinct 4,6
Earl Ray Tomblin,Governor,,DEM,Mineral,Precinct 4,46
Natalie E. Tennant,Secretary of State ,,DEM,Mineral,Precinct 4,42
Glen B. Gainer III,Auditor,,DEM,Mineral,Precinct 4,44
John D. Perdue,Treasurer,,DEM,Mineral,Precinct 4,45
Joe Messineo,Commissioner of Agriculture,,DEM,Mineral,Precinct 4,0
Bobb Tabb,Commissioner of Agriculture,,DEM,Mineral,Precinct 4,0
Walt Helmick,Commissioner of Agriculture,,DEM,Mineral,Precinct 4,0
Sally Shepherd ,Commissioner of Agriculture,,DEM,Mineral,Precinct 4,0
Steve Miller,Commissioner of Agriculture,,DEM,Mineral,Precinct 4,52
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Mineral,Precinct 4,43
Bob Williams,State Senate,14,DEM,Mineral,Precinct 4,0
Jim Maybury ,House of Delegates ,56,DEM,Mineral,Precinct 4,47
"Joe Moreland, Jr. ",House of Delegates ,57,DEM,Mineral,Precinct 4,0
"Charles ""Buddy"" Roemer",President ,,REP,Mineral,Precinct 4,0
Newt Gingrich,President ,,REP,Mineral,Precinct 4,7
Ron Paul,President ,,REP,Mineral,Precinct 4,5
Mitt Romney,President ,,REP,Mineral,Precinct 4,85
Rick Santorum,President ,,REP,Mineral,Precinct 4,14
John R. Raese,US Senate,,REP,Mineral,Precinct 4,100
David B. McKinley ,US House,1,REP,Mineral,Precinct 4,104
Bill Maloney,Governor,,REP,Mineral,Precinct 4,93
Ralph William Clark,Governor,,REP,Mineral,Precinct 4,14
Brian Savilla,Secretary of State ,,REP,Mineral,Precinct 4,91
Larry V. Faircloth,Auditor,,REP,Mineral,Precinct 4,92
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Mineral,Precinct 4,61
Mike Hall,Treasurer,,REP,Mineral,Precinct 4,35
Patrick Morrisey,Attorney General,,REP,Mineral,Precinct 4,84
Craig P. Blair,State Senate,15,REP,Mineral,Precinct 4,93
Allen V. Evans,House of Delegates ,54,REP,Mineral,Precinct 4,0
Gary G. Howell,House of Delegates ,56,REP,Mineral,Precinct 4,89
"Robert ""Bob"" Harman",House of Delegates ,56,REP,Mineral,Precinct 4,27
Terry L. Craver,House of Delegates ,57,REP,Mineral,Precinct 4,0
