candidate,office,district,party,county,precinct,total votes
Barack Obama,President ,,DEM,Summers,Precinct 1 - Forest Hill ,76
Keith Judd,President ,,DEM,Summers,Precinct 1 - Forest Hill ,58
Sheirl Fletcher,U.S. Senate,,DEM,Summers,Precinct 1 - Forest Hill ,28
Joe Manchin III,U.S. Senate,,DEM,Summers,Precinct 1 - Forest Hill ,122
"Nick J. Rahall, II",U.S. House,3,DEM,Summers,Precinct 1 - Forest Hill ,127
Arne Moltis,Governor,,DEM,Summers,Precinct 1 - Forest Hill ,25
Earl Ray Tomblin,Governor,,DEM,Summers,Precinct 1 - Forest Hill ,123
Natalie E. Tennant,Secretary of State ,,DEM,Summers,Precinct 1 - Forest Hill ,111
Glen B. Gainer III,Auditor,,DEM,Summers,Precinct 1 - Forest Hill ,106
John D. Perdue,Treasurer,,DEM,Summers,Precinct 1 - Forest Hill ,123
Walt Helmick,Commissioner of Agriculture,,DEM,Summers,Precinct 1 - Forest Hill ,54
Sally Shepherd ,Commissioner of Agriculture,,DEM,Summers,Precinct 1 - Forest Hill ,28
Joe Messineo,Commissioner of Agriculture,,DEM,Summers,Precinct 1 - Forest Hill ,6
Bobb Tabb,Commissioner of Agriculture,,DEM,Summers,Precinct 1 - Forest Hill ,5
Steve Miller,Commissioner of Agriculture,,DEM,Summers,Precinct 1 - Forest Hill ,42
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Summers,Precinct 1 - Forest Hill ,127
William R. Laird IV,State Senate,10,DEM,Summers,Precinct 1 - Forest Hill ,109
Jeffry A. Pritt (Monroe),House of Delegates,28,DEM,Summers,Precinct 1 - Forest Hill ,89
Wayne Williams (Raleigh),House of Delegates,28,DEM,Summers,Precinct 1 - Forest Hill ,27
Al Martine (Raleigh),House of Delegates,28,DEM,Summers,Precinct 1 - Forest Hill ,32
Greg A. Bailey (Raleigh),House of Delegates,28,DEM,Summers,Precinct 1 - Forest Hill ,38
Peter E. Bostic (Gbr),House of Delegates,42,DEM,Summers,Precinct 1 - Forest Hill ,
Steve Hunter (Gbr),House of Delegates,42,DEM,Summers,Precinct 1 - Forest Hill ,
"E. Lavoyd Morgan, Jr. (Gbr)",House of Delegates,42,DEM,Summers,Precinct 1 - Forest Hill ,
Glenn Singer (Gbr),House of Delegates,42,DEM,Summers,Precinct 1 - Forest Hill ,
"Charles ""Buddy"" Roemer",President ,,REP,Summers,Precinct 1 - Forest Hill ,1
Rick Santorum,President ,,REP,Summers,Precinct 1 - Forest Hill ,3
Newt Gingrich,President ,,REP,Summers,Precinct 1 - Forest Hill ,5
Ron Paul,President ,,REP,Summers,Precinct 1 - Forest Hill ,6
Mitt Romney,President ,,REP,Summers,Precinct 1 - Forest Hill ,37
John R. Raese,U.S. Senate,,REP,Summers,Precinct 1 - Forest Hill ,39
Rick Snuffer,U.S. House,3,REP,Summers,Precinct 1 - Forest Hill ,32
Lee A. Bias,U.S. House,3,REP,Summers,Precinct 1 - Forest Hill ,3
Bill Lester,U.S. House,3,REP,Summers,Precinct 1 - Forest Hill ,10
Ralph William Clark,Governor,,REP,Summers,Precinct 1 - Forest Hill ,9
Bill Maloney,Governor,,REP,Summers,Precinct 1 - Forest Hill ,39
Brian Savilla,Secretary of State ,,REP,Summers,Precinct 1 - Forest Hill ,38
Larry V. Faircloth,Auditor,,REP,Summers,Precinct 1 - Forest Hill ,38
Mike Hall,Treasurer,,REP,Summers,Precinct 1 - Forest Hill ,22
