candidate,office,district,party,county,precinct,total votes
Rick Santorum,President ,,REP,Wetzel,Precinct 4,4
Ron Paul,President ,,REP,Wetzel,Precinct 4,1
Mitt Romney,President ,,REP,Wetzel,Precinct 4,13
"Charles ""Buddy"" Roemer",President ,,REP,Wetzel,Precinct 4,0
Newt Gingrich,President ,,REP,Wetzel,Precinct 4,2
John R. Raese,US Senate,,REP,Wetzel,Precinct 4,13
David B. McKinley,US House,,REP,Wetzel,Precinct 4,17
Ralph William Clark,Governor,,REP,Wetzel,Precinct 4,1
Bill Maloney,Governor,,REP,Wetzel,Precinct 4,18
Brian Savilla,Secretary of State ,,REP,Wetzel,Precinct 4,14
Larry V. Faircloth,Auditor,,REP,Wetzel,Precinct 4,19
Mike Hall,Treasurer,,REP,Wetzel,Precinct 4,12
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Wetzel,Precinct 4,7
Patrick Morrisey,Attorney General,,REP,Wetzel,Precinct 4,15
Jeffrey V. Kessler,State Senate,2,REP,Wetzel,Precinct 4,124
Dave Pethtel,House of Delegates,,REP,Wetzel,Precinct 4,121
Barack Obama,President ,,DEM,Wetzel,Precinct 4,74
Keith Judd,President ,,DEM,Wetzel,Precinct 4,71
Joe Manchin III,US Senate,,DEM,Wetzel,Precinct 4,109
Sheirl Fletcher,US Senate,,DEM,Wetzel,Precinct 4,45
Sue Thorn,US House,3,DEM,Wetzel,Precinct 4,111
Earl Ray Tomblin,Governor,,DEM,Wetzel,Precinct 4,127
Arne Moltis,Governor,,DEM,Wetzel,Precinct 4,24
Natalie E. Tennant,Secretary of State ,,DEM,Wetzel,Precinct 4,125
Glen B. Gainer III,Auditor,,DEM,Wetzel,Precinct 4,120
John D. Perdue,Treasurer,,DEM,Wetzel,Precinct 4,122
Bobb Tabb,Commissioner of Agriculture,,DEM,Wetzel,Precinct 4,18
Sally Shepherd ,Commissioner of Agriculture,,DEM,Wetzel,Precinct 4,32
Walt Helmick,Commissioner of Agriculture,,DEM,Wetzel,Precinct 4,28
Steve Miller,Commissioner of Agriculture,,DEM,Wetzel,Precinct 4,34
Joe Messineo,Commissioner of Agriculture,,DEM,Wetzel,Precinct 4,29
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Wetzel,Precinct 4,126
Rick Santorum,President ,,REP,Wetzel,Precinct 5,1
Ron Paul,President ,,REP,Wetzel,Precinct 5,3
Mitt Romney,President ,,REP,Wetzel,Precinct 5,16
"Charles ""Buddy"" Roemer",President ,,REP,Wetzel,Precinct 5,0
Newt Gingrich,President ,,REP,Wetzel,Precinct 5,1
John R. Raese,US Senate,,REP,Wetzel,Precinct 5,16
David B. McKinley,US House,,REP,Wetzel,Precinct 5,19
Ralph William Clark,Governor,,REP,Wetzel,Precinct 5,3
Bill Maloney,Governor,,REP,Wetzel,Precinct 5,18
Brian Savilla,Secretary of State ,,REP,Wetzel,Precinct 5,14
Larry V. Faircloth,Auditor,,REP,Wetzel,Precinct 5,15
Mike Hall,Treasurer,,REP,Wetzel,Precinct 5,12
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Wetzel,Precinct 5,6
Patrick Morrisey,Attorney General,,REP,Wetzel,Precinct 5,14
Jeffrey V. Kessler,State Senate,2,REP,Wetzel,Precinct 5,29
Dave Pethtel,House of Delegates,,REP,Wetzel,Precinct 5,29
Barack Obama,President ,,DEM,Wetzel,Precinct 5,14
Keith Judd,President ,,DEM,Wetzel,Precinct 5,17
Joe Manchin III,US Senate,,DEM,Wetzel,Precinct 5,26
Sheirl Fletcher,US Senate,,DEM,Wetzel,Precinct 5,10
Sue Thorn,US House,3,DEM,Wetzel,Precinct 5,22
Earl Ray Tomblin,Governor,,DEM,Wetzel,Precinct 5,28
Arne Moltis,Governor,,DEM,Wetzel,Precinct 5,7
Natalie E. Tennant,Secretary of State ,,DEM,Wetzel,Precinct 5,30
Glen B. Gainer III,Auditor,,DEM,Wetzel,Precinct 5,23
John D. Perdue,Treasurer,,DEM,Wetzel,Precinct 5,26
Bobb Tabb,Commissioner of Agriculture,,DEM,Wetzel,Precinct 5,3
Sally Shepherd ,Commissioner of Agriculture,,DEM,Wetzel,Precinct 5,11
Walt Helmick,Commissioner of Agriculture,,DEM,Wetzel,Precinct 5,4
Steve Miller,Commissioner of Agriculture,,DEM,Wetzel,Precinct 5,9
Joe Messineo,Commissioner of Agriculture,,DEM,Wetzel,Precinct 5,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Wetzel,Precinct 5,26
Rick Santorum,President ,,REP,Wetzel,Precinct 10,10
Ron Paul,President ,,REP,Wetzel,Precinct 10,2
Mitt Romney,President ,,REP,Wetzel,Precinct 10,36
"Charles ""Buddy"" Roemer",President ,,REP,Wetzel,Precinct 10,1
Newt Gingrich,President ,,REP,Wetzel,Precinct 10,5
John R. Raese,US Senate,,REP,Wetzel,Precinct 10,42
David B. McKinley,US House,,REP,Wetzel,Precinct 10,46
Ralph William Clark,Governor,,REP,Wetzel,Precinct 10,13
Bill Maloney,Governor,,REP,Wetzel,Precinct 10,41
Brian Savilla,Secretary of State ,,REP,Wetzel,Precinct 10,45
Larry V. Faircloth,Auditor,,REP,Wetzel,Precinct 10,47
Mike Hall,Treasurer,,REP,Wetzel,Precinct 10,23
