candidate,office,district,party,county,precinct,total votes
,Registered Voters,,,Hampshire,Precinct 2,772
,Registered Voters,,DEM,Hampshire,Precinct 2,260
,Registered Voters,,REP,Hampshire,Precinct 2,250
,Ballots Cast,,,Hampshire,Precinct 2,130
,Ballots Cast,,DEM,Hampshire,Precinct 2,62
,Ballots Cast,,REP,Hampshire,Precinct 2,65
Keith Judd,President ,,DEM,Hampshire,Precinct 2,20
Barack Obama,President ,,DEM,Hampshire,Precinct 2,21
Joe Manchin III,US Senate,,DEM,Hampshire,Precinct 2,54
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 2,6
Dugald Brown,US House,2,DEM,Hampshire,Precinct 2,29
Howard Swint,US House,2,DEM,Hampshire,Precinct 2,2
William McCann,US House,2,DEM,Hampshire,Precinct 2,22
Earl Ray Tomblin,Governor,,DEM,Hampshire,Precinct 2,54
Arne Moltis,Governor,,DEM,Hampshire,Precinct 2,6
Natalie E. Tennant,Secretary of State ,,DEM,Hampshire,Precinct 2,47
Glen B. Gainer III,Auditor,,DEM,Hampshire,Precinct 2,46
John D. Perdue,Treasurer,,DEM,Hampshire,Precinct 2,48
Walt Helmick,Commissioner of Agriculture,,DEM,Hampshire,Precinct 2,17
Steve Miller,Commissioner of Agriculture,,DEM,Hampshire,Precinct 2,41
Joe Messineo,Commissioner of Agriculture,,DEM,Hampshire,Precinct 2,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Hampshire,Precinct 2,0
Sally Shepherd ,Commissioner of Agriculture,,DEM,Hampshire,Precinct 2,2
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Hampshire,Precinct 2,45
Joe Moreland Jr.,House of Delegate,,DEM,Hampshire,Precinct 2,
Ron Paul,President ,,REP,Hampshire,Precinct 2,3
Rick Santorum,President ,,REP,Hampshire,Precinct 2,7
Newt Gingrich,President ,,REP,Hampshire,Precinct 2,2
"Charles ""Buddy"" Roemer",President ,,REP,Hampshire,Precinct 2,0
Mitt Romney,President ,,REP,Hampshire,Precinct 2,51
John R. Raese,US Senate,,REP,Hampshire,Precinct 2,55
Michael Davis,US House,2,REP,Hampshire,Precinct 2,9
Jonathan Miller,US House,2,REP,Hampshire,Precinct 2,9
Shelley Moore Capito,US House,2,REP,Hampshire,Precinct 2,46
Bill Maloney,Governor,,REP,Hampshire,Precinct 2,49
Ralph William Clark,Governor,,REP,Hampshire,Precinct 2,8
Brian Savilla,Secretary of State ,,REP,Hampshire,Precinct 2,48
Larry V. Faircloth,Auditor,,REP,Hampshire,Precinct 2,47
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Hampshire,Precinct 2,29
Mike Hall,Treasurer,,REP,Hampshire,Precinct 2,18
Patrick Morrisey,Attorney General,,REP,Hampshire,Precinct 2,50
Craig P. Blair,State Senate,15,REP,Hampshire,Precinct 2,50
Ruth Rowan,House of Delegates,57,REP,Hampshire,Precinct 2,
Terry L. Craver,House of Delegates,57,REP,Hampshire,Precinct 2,
Daryl E. Cowles ,House of Delegates,,REP,Hampshire,Precinct 2,52
,Registered Voters,,,Hampshire,Precinct 4,1071
,Registered Voters,,DEM,Hampshire,Precinct 4,335
,Registered Voters,,REP,Hampshire,Precinct 4,397
,Ballots Cast,,,Hampshire,Precinct 4,229
,Ballots Cast,,DEM,Hampshire,Precinct 4,120
,Ballots Cast,,REP,Hampshire,Precinct 4,107
Keith Judd,President ,,DEM,Hampshire,Precinct 4,40
Barack Obama,President ,,DEM,Hampshire,Precinct 4,61
Joe Manchin III,US Senate,,DEM,Hampshire,Precinct 4,94
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 4,17
Dugald Brown,US House,2,DEM,Hampshire,Precinct 4,47
Howard Swint,US House,2,DEM,Hampshire,Precinct 4,6
William McCann,US House,2,DEM,Hampshire,Precinct 4,37
Earl Ray Tomblin,Governor,,DEM,Hampshire,Precinct 4,90
Arne Moltis,Governor,,DEM,Hampshire,Precinct 4,19
Natalie E. Tennant,Secretary of State ,,DEM,Hampshire,Precinct 4,90
Glen B. Gainer III,Auditor,,DEM,Hampshire,Precinct 4,85
John D. Perdue,Treasurer,,DEM,Hampshire,Precinct 4,89
Walt Helmick,Commissioner of Agriculture,,DEM,Hampshire,Precinct 4,38
Steve Miller,Commissioner of Agriculture,,DEM,Hampshire,Precinct 4,55
Joe Messineo,Commissioner of Agriculture,,DEM,Hampshire,Precinct 4,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Hampshire,Precinct 4,7
Sally Shepherd ,Commissioner of Agriculture,,DEM,Hampshire,Precinct 4,5
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Hampshire,Precinct 4,85
Joe Moreland Jr.,House of Delegate,,DEM,Hampshire,Precinct 4,
Ron Paul,President ,,REP,Hampshire,Precinct 4,11
Rick Santorum,President ,,REP,Hampshire,Precinct 4,9
Newt Gingrich,President ,,REP,Hampshire,Precinct 4,7
"Charles ""Buddy"" Roemer",President ,,REP,Hampshire,Precinct 4,1
Mitt Romney,President ,,REP,Hampshire,Precinct 4,73
John R. Raese,US Senate,,REP,Hampshire,Precinct 4,86
Michael Davis,US House,2,REP,Hampshire,Precinct 4,4
Jonathan Miller,US House,2,REP,Hampshire,Precinct 4,23
Shelley Moore Capito,US House,2,REP,Hampshire,Precinct 4,76
Bill Maloney,Governor,,REP,Hampshire,Precinct 4,67
Ralph William Clark,Governor,,REP,Hampshire,Precinct 4,27
Brian Savilla,Secretary of State ,,REP,Hampshire,Precinct 4,78
Larry V. Faircloth,Auditor,,REP,Hampshire,Precinct 4,79
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Hampshire,Precinct 4,47
Mike Hall,Treasurer,,REP,Hampshire,Precinct 4,38
Patrick Morrisey,Attorney General,,REP,Hampshire,Precinct 4,80
Craig P. Blair,State Senate,15,REP,Hampshire,Precinct 4,80
Ruth Rowan,House of Delegates,57,REP,Hampshire,Precinct 4,
Terry L. Craver,House of Delegates,57,REP,Hampshire,Precinct 4,
Daryl E. Cowles ,House of Delegates,,REP,Hampshire,Precinct 4,81
,Registered Voters,,,Hampshire,Precinct 5,176
,Registered Voters,,DEM,Hampshire,Precinct 5,45
,Registered Voters,,REP,Hampshire,Precinct 5,83
,Ballots Cast,,,Hampshire,Precinct 5,45
,Ballots Cast,,DEM,Hampshire,Precinct 5,14
,Ballots Cast,,REP,Hampshire,Precinct 5,30
Keith Judd,President ,,DEM,Hampshire,Precinct 5,4
Barack Obama,President ,,DEM,Hampshire,Precinct 5,8
Joe Manchin III,US Senate,,DEM,Hampshire,Precinct 5,6
Sheirl Fletcher,US Senate,,DEM,Hampshire,Precinct 5,6
Dugald Brown,US House,2,DEM,Hampshire,Precinct 5,8
Howard Swint,US House,2,DEM,Hampshire,Precinct 5,1
