candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Cabell,PCT 1 - CENTRAL CITY ELEM,1304
,Registered Voters,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,297
,Registered Voters,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,761
,Ballots Cast,,,Cabell,PCT 1 - CENTRAL CITY ELEM,276
,Ballots Cast,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,65
,Ballots Cast,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,204
"Charles ""Buddy"" Roemer",President,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,0
Mitt Romney,President,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,41
Rick Santorum,President,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,11
Newt Gingrich,President,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,2
Ron Paul,President,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,10
John R. Raese,U.S. Senate,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,56
Bill Lester,U.S. House,3,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,2
Lee A. Bias,U.S. House,3,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,31
Rick Snuffer,U.S. House,3,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,25
Bill Maloney,Governor,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,52
Ralph William Clark,Governor,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,9
Brian Savilla,Secretary of State,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,48
Larry V. Faircloth,Auditor,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,48
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,28
Mike Hall,Treasurer,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,27
Patrick Morrisey,Attorney General,,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,47
Joyce W. Holland,House of Delegates,17,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,34
Michael Ankrom,House of Delegates,17,REP,Cabell,PCT 1 - CENTRAL CITY ELEM,38
Barack Obama,President,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,126
Keith Judd,President,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,55
Sheirl Fletcher,U.S. Senate,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,30
Joe Manchin III,U.S. Senate,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,163
"Nick J. Rahall, II",U.S. House,3,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,172
Earl Ray Tomblin,Governor,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,172
Arne Moltis,Governor,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,24
Natalie E. Tennant,Secretary of State,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,167
Glen B. Gainer III,Auditor,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,153
John D. Perdue,Treasurer,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,155
Joe Messineo,Commissioner of Agriculture,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,26
Walt Helmick,Commissioner of Agriculture,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,46
Bobb Tabb,Commissioner of Agriculture,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,4
Sally Shepherd,Commissioner of Agriculture,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,58
Steve Miller,Commissioner of Agriculture,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,33
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,157
"Robert H. ""Bob"" Plymale",State Senate,5,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,165
Dale Stephens,House of Delegates,17,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,138
Doug Reynolds,House of Delegates,17,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,136
Robert Alexander,House of Delegates,17,DEM,Cabell,PCT 1 - CENTRAL CITY ELEM,35
,Registered Voters,,,Cabell,PCT 2 - CENTRAL CITY ELEM,591
,Registered Voters,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,128
,Registered Voters,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,345
,Ballots Cast,,,Cabell,PCT 2 - CENTRAL CITY ELEM,80
,Ballots Cast,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,23
,Ballots Cast,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,53
"Charles ""Buddy"" Roemer",President,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,0
Mitt Romney,President,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,18
Rick Santorum,President,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,1
Newt Gingrich,President,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,1
Ron Paul,President,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,3
John R. Raese,U.S. Senate,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,17
Bill Lester,U.S. House,3,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,1
Lee A. Bias,U.S. House,3,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,14
Rick Snuffer,U.S. House,3,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,4
Bill Maloney,Governor,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,18
Ralph William Clark,Governor,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,2
Brian Savilla,Secretary of State,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,15
Larry V. Faircloth,Auditor,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,14
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,7
Mike Hall,Treasurer,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,9
Patrick Morrisey,Attorney General,,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,15
Joyce W. Holland,House of Delegates,17,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,12
Michael Ankrom,House of Delegates,17,REP,Cabell,PCT 2 - CENTRAL CITY ELEM,10
Barack Obama,President,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,35
Keith Judd,President,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,14
Sheirl Fletcher,U.S. Senate,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,7
Joe Manchin III,U.S. Senate,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,39
"Nick J. Rahall, II",U.S. House,3,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,39
Earl Ray Tomblin,Governor,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,40
Arne Moltis,Governor,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,12
Natalie E. Tennant,Secretary of State,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,38
Glen B. Gainer III,Auditor,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,28
John D. Perdue,Treasurer,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,32
Joe Messineo,Commissioner of Agriculture,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,8
Walt Helmick,Commissioner of Agriculture,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,8
Bobb Tabb,Commissioner of Agriculture,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,4
Sally Shepherd,Commissioner of Agriculture,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,12
Steve Miller,Commissioner of Agriculture,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,10
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,39
"Robert H. ""Bob"" Plymale",State Senate,5,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,32
Dale Stephens,House of Delegates,17,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,33
Doug Reynolds,House of Delegates,17,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,29
Robert Alexander,House of Delegates,17,DEM,Cabell,PCT 2 - CENTRAL CITY ELEM,9
,Registered Voters,,,Cabell,PCT 3 - DEPT OF TRANS (DMV),1090
,Registered Voters,,REP,Cabell,PCT 3 - DEPT OF TRANS (DMV),273
,Registered Voters,,DEM,Cabell,PCT 3 - DEPT OF TRANS (DMV),598
