candidate,office,district,party,county,precinct,total votes
,Registered Voters,,DEM,Kanawha,Precinct 103,394
,Ballots Cast,,DEM,Kanawha,Precinct 103,124
Keith Judd,President ,,DEM,Kanawha,Precinct 103,39
Barack Obama,President ,,DEM,Kanawha,Precinct 103,70
Sheirl Fletcher,U.S. Senate,,DEM,Kanawha,Precinct 103,21
Joe Manchin III,U.S. Senate,,DEM,Kanawha,Precinct 103,92
William McCann,U.S. House,2,DEM,Kanawha,Precinct 103,11
Dugald Brown,U.S. House,2,DEM,Kanawha,Precinct 103,7
Howard Swint,U.S. House,2,DEM,Kanawha,Precinct 103,73
Earl Ray Tomblin,Governor,,DEM,Kanawha,Precinct 103,94
Arne Moltis,Governor,,DEM,Kanawha,Precinct 103,21
Natalie E. Tennant,Secretary of State ,,DEM,Kanawha,Precinct 103,107
Glen B. Gainer III,Auditor,,DEM,Kanawha,Precinct 103,98
John D. Perdue,Treasurer,,DEM,Kanawha,Precinct 103,99
Steve Miller,Commissioner of Agriculture,,DEM,Kanawha,Precinct 103,16
Bobb Tabb,Commissioner of Agriculture,,DEM,Kanawha,Precinct 103,2
Joe Messineo,Commissioner of Agriculture,,DEM,Kanawha,Precinct 103,5
Walt Helmick,Commissioner of Agriculture,,DEM,Kanawha,Precinct 103,23
Sally Shepherd ,Commissioner of Agriculture,,DEM,Kanawha,Precinct 103,55
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Kanawha,Precinct 103,106
Joshua R. Martin,State Senate,8,DEM,Kanawha,Precinct 103,
Jennifer Scragg Karr,State Senate,8,DEM,Kanawha,Precinct 103,
Corey Palumbo,State Senate,17,DEM,Kanawha,Precinct 103,94
,Registered Voters,,REP,Kanawha,Precinct 103,64
,Ballots Cast,,REP,Kanawha,Precinct 103,15
Rick Santorum,President ,,REP,Kanawha,Precinct 103,1
"Charles ""Buddy"" Roemer",President ,,REP,Kanawha,Precinct 103,1
Newt Gingrich,President ,,REP,Kanawha,Precinct 103,3
Ron Paul,President ,,REP,Kanawha,Precinct 103,1
Mitt Romney,President ,,REP,Kanawha,Precinct 103,9
John R. Raese,U.S. Senate,,REP,Kanawha,Precinct 103,11
Shelley Moore Capito,U.S. House,2,REP,Kanawha,Precinct 103,14
Michael Davis,U.S. House,2,REP,Kanawha,Precinct 103,0
Jonathan Miller,U.S. House,2,REP,Kanawha,Precinct 103,0
Bill Maloney,Governor,,REP,Kanawha,Precinct 103,14
Ralph William Clark,Governor,,REP,Kanawha,Precinct 103,0
Brian Savilla,Secretary of State ,,REP,Kanawha,Precinct 103,10
Larry V. Faircloth,Auditor,,REP,Kanawha,Precinct 103,10
Mike Hall,Treasurer,,REP,Kanawha,Precinct 103,10
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Kanawha,Precinct 103,2
Patrick Morrisey,Attorney General,,REP,Kanawha,Precinct 103,10
Chris Walters,State Senate,8,REP,Kanawha,Precinct 103,
,Registered Voters,,DEM,Kanawha,Precinct 105,355
,Ballots Cast,,DEM,Kanawha,Precinct 105,122
Keith Judd,President ,,DEM,Kanawha,Precinct 105,30
Barack Obama,President ,,DEM,Kanawha,Precinct 105,73
Sheirl Fletcher,U.S. Senate,,DEM,Kanawha,Precinct 105,32
Joe Manchin III,U.S. Senate,,DEM,Kanawha,Precinct 105,80
William McCann,U.S. House,2,DEM,Kanawha,Precinct 105,10
Dugald Brown,U.S. House,2,DEM,Kanawha,Precinct 105,3
Howard Swint,U.S. House,2,DEM,Kanawha,Precinct 105,84
Earl Ray Tomblin,Governor,,DEM,Kanawha,Precinct 105,82
Arne Moltis,Governor,,DEM,Kanawha,Precinct 105,29
Natalie E. Tennant,Secretary of State ,,DEM,Kanawha,Precinct 105,99
Glen B. Gainer III,Auditor,,DEM,Kanawha,Precinct 105,90
John D. Perdue,Treasurer,,DEM,Kanawha,Precinct 105,93
Steve Miller,Commissioner of Agriculture,,DEM,Kanawha,Precinct 105,22
Bobb Tabb,Commissioner of Agriculture,,DEM,Kanawha,Precinct 105,2
Joe Messineo,Commissioner of Agriculture,,DEM,Kanawha,Precinct 105,9
Walt Helmick,Commissioner of Agriculture,,DEM,Kanawha,Precinct 105,25
Sally Shepherd ,Commissioner of Agriculture,,DEM,Kanawha,Precinct 105,49
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Kanawha,Precinct 105,89
Joshua R. Martin,State Senate,8,DEM,Kanawha,Precinct 105,
Jennifer Scragg Karr,State Senate,8,DEM,Kanawha,Precinct 105,
Corey Palumbo,State Senate,17,DEM,Kanawha,Precinct 105,84
,Registered Voters,,REP,Kanawha,Precinct 105,80
,Ballots Cast,,REP,Kanawha,Precinct 105,28
Rick Santorum,President ,,REP,Kanawha,Precinct 105,3
"Charles ""Buddy"" Roemer",President ,,REP,Kanawha,Precinct 105,0
Newt Gingrich,President ,,REP,Kanawha,Precinct 105,2
Ron Paul,President ,,REP,Kanawha,Precinct 105,2
Mitt Romney,President ,,REP,Kanawha,Precinct 105,20
John R. Raese,U.S. Senate,,REP,Kanawha,Precinct 105,19
Shelley Moore Capito,U.S. House,2,REP,Kanawha,Precinct 105,24
