iteration,ind,old,new,office
0,0,BRIAN J SAVILLA,BRIAN SAVILLA,SECRETARY OF STATE
0,1,DARRELL MCGRAW,DARRELL V MCGRAW JR,ATTORNEY GENERAL
0,2,NATALIE TENNANT,NATALIE E TENNANT,SECRETARY OF STATE
0,3,WILLIAM ROGER ROMINE,WM ROGER ROMINE,STATE HOUSE
