candidate,office,district,party,county,precinct,total votes
Joe Manchin III,U.S. Senate,,DEM,Mercer,Precinct 15,44
Sheirl Fletcher,U.S. Senate,,DEM,Mercer,Precinct 15,9
Nick J. Rahall II,U.S. House,3,DEM,Mercer,Precinct 15,51
Arne Moltis,Governor,,DEM,Mercer,Precinct 15,5
Earl Ray Tomblin,Governor,,DEM,Mercer,Precinct 15,48
Natalie E. Tennant,Secretary of State ,,DEM,Mercer,Precinct 15,46
Glen B. Gainer III,Auditor,,DEM,Mercer,Precinct 15,46
John D. Perdue,Treasurer,,DEM,Mercer,Precinct 15,46
Sally Shepherd ,Commissioner of Agriculture,,DEM,Mercer,Precinct 15,21
Steve Miller,Commissioner of Agriculture,,DEM,Mercer,Precinct 15,10
Joe Messineo,Commissioner of Agriculture,,DEM,Mercer,Precinct 15,5
Walt Helmick,Commissioner of Agriculture,,DEM,Mercer,Precinct 15,9
Bobb Tabb,Commissioner of Agriculture,,DEM,Mercer,Precinct 15,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Mercer,Precinct 15,50
"Michael ""Mike"" Mithem",State Senate,6,DEM,Mercer,Precinct 15,8
Mark Wills,State Senate,6,DEM,Mercer,Precinct 15,44
Linda Goode Phillips,House of Delegates,25,DEM,Mercer,Precinct 15,
Lyle Cottle,House of Delegates,25,DEM,Mercer,Precinct 15,
Ed Evans,House of Delegates,26,DEM,Mercer,Precinct 15,
Clif Moore,House of Delegates,26,DEM,Mercer,Precinct 15,
Edwin Ray Vanover,House of Delegates,26,DEM,Mercer,Precinct 15,
Greg Ball,House of Delegates,27,DEM,Mercer,Precinct 15,15
Ryan J. Flanigan,House of Delegates,27,DEM,Mercer,Precinct 15,44
Stephen Akers,House of Delegates,27,DEM,Mercer,Precinct 15,14
Billy Morefield,House of Delegates,27,DEM,Mercer,Precinct 15,16
Pete Sternloff,House of Delegates,27,DEM,Mercer,Precinct 15,24
Mitt Romney,President ,,REP,Mercer,Precinct 20,22
Ron Paul,President ,,REP,Mercer,Precinct 20,2
Newt Gingrich,President ,,REP,Mercer,Precinct 20,1
Rick Santorum,President ,,REP,Mercer,Precinct 20,2
"Charles ""Buddy"" Roemer",President ,,REP,Mercer,Precinct 20,0
John R. Raese,U.S. Senate,,REP,Mercer,Precinct 20,16
Bill Lester,U.S. House,3,REP,Mercer,Precinct 20,7
Lee A. Bias,U.S. House,3,REP,Mercer,Precinct 20,2
Rick Snuffer,U.S. House,3,REP,Mercer,Precinct 20,13
Ralph William Clark,Governor,,REP,Mercer,Precinct 20,5
Bill Maloney,Governor,,REP,Mercer,Precinct 20,19
Brian Savilla,Secretary of State ,,REP,Mercer,Precinct 20,22
Larry V. Faircloth,Auditor,,REP,Mercer,Precinct 20,22
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Mercer,Precinct 20,9
Mike Hall,Treasurer,,REP,Mercer,Precinct 20,13
Patrick Morrisey,Attorney General,,REP,Mercer,Precinct 20,23
Bill Cole,State Senate,6,REP,Mercer,Precinct 20,26
Joe Ellington,House of Delegates,27,REP,Mercer,Precinct 20,14
Marty Gearheart,House of Delegates,27,REP,Mercer,Precinct 20,23
John H. Shott ,House of Delegates,27,REP,Mercer,Precinct 20,21
Barack Obama,President ,,DEM,Mercer,Precinct 20,73
Keith Judd,President ,,DEM,Mercer,Precinct 20,20
Joe Manchin III,U.S. Senate,,DEM,Mercer,Precinct 20,80
Sheirl Fletcher,U.S. Senate,,DEM,Mercer,Precinct 20,13
Nick J. Rahall II,U.S. House,3,DEM,Mercer,Precinct 20,90
Arne Moltis,Governor,,DEM,Mercer,Precinct 20,21
Earl Ray Tomblin,Governor,,DEM,Mercer,Precinct 20,70
Natalie E. Tennant,Secretary of State ,,DEM,Mercer,Precinct 20,79
Glen B. Gainer III,Auditor,,DEM,Mercer,Precinct 20,79
John D. Perdue,Treasurer,,DEM,Mercer,Precinct 20,79
Sally Shepherd ,Commissioner of Agriculture,,DEM,Mercer,Precinct 20,42
Steve Miller,Commissioner of Agriculture,,DEM,Mercer,Precinct 20,13
Joe Messineo,Commissioner of Agriculture,,DEM,Mercer,Precinct 20,12
Walt Helmick,Commissioner of Agriculture,,DEM,Mercer,Precinct 20,16
Bobb Tabb,Commissioner of Agriculture,,DEM,Mercer,Precinct 20,4
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Mercer,Precinct 20,88
"Michael ""Mike"" Mithem",State Senate,6,DEM,Mercer,Precinct 20,12
Mark Wills,State Senate,6,DEM,Mercer,Precinct 20,78
Linda Goode Phillips,House of Delegates,25,DEM,Mercer,Precinct 20,
Lyle Cottle,House of Delegates,25,DEM,Mercer,Precinct 20,
Ed Evans,House of Delegates,26,DEM,Mercer,Precinct 20,
Clif Moore,House of Delegates,26,DEM,Mercer,Precinct 20,
Edwin Ray Vanover,House of Delegates,26,DEM,Mercer,Precinct 20,
Greg Ball,House of Delegates,27,DEM,Mercer,Precinct 20,33
Ryan J. Flanigan,House of Delegates,27,DEM,Mercer,Precinct 20,54
Stephen Akers,House of Delegates,27,DEM,Mercer,Precinct 20,19
Billy Morefield,House of Delegates,27,DEM,Mercer,Precinct 20,38
Pete Sternloff,House of Delegates,27,DEM,Mercer,Precinct 20,58
Mitt Romney,President ,,REP,Mercer,Precinct 27,41
Ron Paul,President ,,REP,Mercer,Precinct 27,3
Newt Gingrich,President ,,REP,Mercer,Precinct 27,2
Rick Santorum,President ,,REP,Mercer,Precinct 27,5
"Charles ""Buddy"" Roemer",President ,,REP,Mercer,Precinct 27,0
John R. Raese,U.S. Senate,,REP,Mercer,Precinct 27,43
