candidate,office,district,party,county,precinct,total votes
Rick Santorum,President ,,REP,Ritchie,Precinct 1,7
"Charles ""Buddy"" Roemer",President ,,REP,Ritchie,Precinct 1,2
Mitt Romney,President ,,REP,Ritchie,Precinct 1,72
Ron Paul,President ,,REP,Ritchie,Precinct 1,23
Newt Gingrich,President ,,REP,Ritchie,Precinct 1,13
John R. Raese,U.S. Senate,,REP,Ritchie,Precinct 1,87
David B. McKinley,U.S. House,1,REP,Ritchie,Precinct 1,81
Ralph William Clark,Governor,,REP,Ritchie,Precinct 1,23
Bill Maloney,Governor,,REP,Ritchie,Precinct 1,79
Brian Savilla,Secretary of State ,,REP,Ritchie,Precinct 1,78
Larry V. Faircloth,Auditor,,REP,Ritchie,Precinct 1,80
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Ritchie,Precinct 1,45
Mike Hall,Treasurer,,REP,Ritchie,Precinct 1,47
Patrick Morrisey,Attorney General,,REP,Ritchie,Precinct 1,84
"Lynwood ""Woody"" Ireland",House of Delegates,7,REP,Ritchie,Precinct 1,111
Keith Judd,President ,,DEM,Ritchie,Precinct 1,22
Barack Obama,President ,,DEM,Ritchie,Precinct 1,23
Joe Manchin III,U.S. Senate,,DEM,Ritchie,Precinct 1,46
Sheirl Fletcher,U.S. Senate,,DEM,Ritchie,Precinct 1,6
Sue Thorn,U.S. House,1,DEM,Ritchie,Precinct 1,34
Earl Ray Tomblin,Governor,,DEM,Ritchie,Precinct 1,44
Arne Moltis,Governor,,DEM,Ritchie,Precinct 1,7
Natalie E. Tennant,Secretary of State ,,DEM,Ritchie,Precinct 1,40
Glen B. Gainer III,Auditor,,DEM,Ritchie,Precinct 1,43
John D. Perdue,Treasurer,,DEM,Ritchie,Precinct 1,39
Joe Messineo,Commissioner of Agriculture,,DEM,Ritchie,Precinct 1,12
Sally Shepherd ,Commissioner of Agriculture,,DEM,Ritchie,Precinct 1,10
Steve Miller,Commissioner of Agriculture,,DEM,Ritchie,Precinct 1,8
