candidate,office,district,party,county,precinct,total votes
,Registered Voters,,,Logan,Precinct 1,1074
,Registered Voters,,REP,Logan,Precinct 1,55
,Registered Voters,,DEM,Logan,Precinct 1,939
,Ballots Cast,,,Logan,Precinct 1,361
,Ballots Cast,,REP,Logan,Precinct 1,12
,Ballots Cast,,DEM,Logan,Precinct 1,349
Rick Santorum,President ,,REP,Logan,Precinct 1,3
"Charles ""Buddy"" Roemer",President ,,REP,Logan,Precinct 1,1
Newt Gingrich,President ,,REP,Logan,Precinct 1,0
Ron Paul,President ,,REP,Logan,Precinct 1,0
Mitt Romney,President ,,REP,Logan,Precinct 1,7
John R. Raese,U.S. Senate,,REP,Logan,Precinct 1,12
Lee A. Bias,U.S. House,3,REP,Logan,Precinct 1,8
Rick Snuffer,U.S. House,3,REP,Logan,Precinct 1,2
Bill Lester,U.S. House,3,REP,Logan,Precinct 1,0
Ralph William Clark,Governor,,REP,Logan,Precinct 1,3
Bill Maloney,Governor,,REP,Logan,Precinct 1,7
Brian Savilla,Secretary of State ,,REP,Logan,Precinct 1,6
Larry V. Faircloth,Auditor,,REP,Logan,Precinct 1,8
"Stephen R. ""Steve"" Connoll",Treasurer,,REP,Logan,Precinct 1,5
Mike Hall,Treasurer,,REP,Logan,Precinct 1,4
Patrick Morrisey,Attorney General,,REP,Logan,Precinct 1,8
Mike Baisden,House of Delegates,20,REP,Logan,Precinct 1,
Phil Amick,House of Delegates,20,REP,Logan,Precinct 1,
Diane Shafer,House of Delegates,20,REP,Logan,Precinct 1,
Gary L. Johngrass,House of Delegates,22,REP,Logan,Precinct 1,
Michel G. Moffatt,House of Delegates,22,REP,Logan,Precinct 1,
Barack Obama,President ,,DEM,Logan,Precinct 1,128
Keith Judd,President ,,DEM,Logan,Precinct 1,122
Joe Manchin III,U.S. Senate,,DEM,Logan,Precinct 1,282
Sheirl Fletcher,U.S. Senate,,DEM,Logan,Precinct 1,37
"Nick J. Rahall, II",U.S. House,,DEM,Logan,Precinct 1,252
Earl Ray Tomblin,Governor,,DEM,Logan,Precinct 1,308
Arne Moltis,Governor,,DEM,Logan,Precinct 1,24
Natalie E. Tennant,Secretary of State ,,DEM,Logan,Precinct 1,203
Glen B. Gainer III,Auditor,,DEM,Logan,Precinct 1,174
John D. Perdue,Treasurer,,DEM,Logan,Precinct 1,208
Steve Miller,Commissioner of Agriculture,,DEM,Logan,Precinct 1,53
Joe Messineo,Commissioner of Agriculture,,DEM,Logan,Precinct 1,36
Bobb Tabb,Commissioner of Agriculture,,DEM,Logan,Precinct 1,3
Walt Helmick,Commissioner of Agriculture,,DEM,Logan,Precinct 1,101
Sally Shepherd ,Commissioner of Agriculture,,DEM,Logan,Precinct 1,59
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Logan,Precinct 1,236
Sammy D. Dalton,State Senate,7,DEM,Logan,Precinct 1,221
