year,election,party,office,district,candidate,county,votes,winner
2006,general,D,House of Delegates,1,Joe DeLong,Totals,6575,1
2006,general,D,House of Delegates,1,Joe DeLong,Brooke,416,
2006,general,D,House of Delegates,1,Joe DeLong,Hancock,6159,
2006,general,D,House of Delegates,1,Randy Swartzmiller,Totals,6493,1
2006,general,D,House of Delegates,1,Randy Swartzmiller,Brooke,332,
2006,general,D,House of Delegates,1,Randy Swartzmiller,Hancock,6161,
2006,general,D,House of Delegates,2,Tim Ennis,Totals,5371,1
2006,general,D,House of Delegates,2,Tim Ennis,Brooke,3870,
2006,general,D,House of Delegates,2,Tim Ennis,Ohio,1501,
2006,general,D,House of Delegates,2,Jack Yost,Totals,5438,1
2006,general,D,House of Delegates,2,Jack Yost,Brooke,3796,
2006,general,D,House of Delegates,2,Jack Yost,Ohio,1642,
2006,general,R,House of Delegates,2,Eric C. Jack,Totals,2482,
2006,general,R,House of Delegates,2,Eric C. Jack,Brooke,976,
2006,general,R,House of Delegates,2,Eric C. Jack,Ohio,1504,
2006,general,R,House of Delegates,2,Jo Lynn Kraina,Totals,2787,
2006,general,R,House of Delegates,2,Jo Lynn Kraina,Brooke,1688,
2006,general,R,House of Delegates,2,Jo Lynn Kraina,Ohio,1099,
2006,general,D,House of Delegates,3,Orphy Klempa,Totals,5108,1
2006,general,D,House of Delegates,3,Orphy Klempa,Ohio,5108,
2006,general,D,House of Delegates,3,Tal Hutchins,Totals,4927,1
2006,general,D,House of Delegates,3,Tal Hutchins,Ohio,4927,
2006,general,R,House of Delegates,3,Scott Reed,Totals,4276,
2006,general,R,House of Delegates,3,Scott Reed,Ohio,4276,
2006,general,R,House of Delegates,3,L. Gil White,Totals,4367,
2006,general,R,House of Delegates,3,L. Gil White,Ohio,4367,
2006,general,D,House of Delegates,4,Kenneth D. Tucker,Totals,5019,1
2006,general,D,House of Delegates,4,Kenneth D. Tucker,Marshall,4973,
2006,general,D,House of Delegates,4,Kenneth D. Tucker,Ohio,46,
2006,general,D,House of Delegates,4,Scott G. Varner,Totals,7835,1
2006,general,D,House of Delegates,4,Scott G. Varner,Marshall,7785,
2006,general,D,House of Delegates,4,Scott G. Varner,Ohio,50,
2006,general,R,House of Delegates,4,Ronald Morris,Totals,4966,
2006,general,R,House of Delegates,4,Ronald Morris,Marshall,4951,
2006,general,R,House of Delegates,4,Ronald Morris,Ohio,15,
2006,general,D,House of Delegates,5,Dave Pethtel,Totals,3859,1
2006,general,D,House of Delegates,5,Dave Pethtel,Monongalia,247,
2006,general,D,House of Delegates,5,Dave Pethtel,Wetzel,3612,
2006,general,R,House of Delegates,6,Wm. Roger Romine,Totals,3440,1
2006,general,R,House of Delegates,6,Wm. Roger Romine,Doddridge,1328,
2006,general,R,House of Delegates,6,Wm. Roger Romine,Tyler,1962,
2006,general,R,House of Delegates,6,Wm. Roger Romine,Wetzel,150,
2006,general,D,House of Delegates,7,Paul D. Janes,Totals,1886,
2006,general,D,House of Delegates,7,Paul D. Janes,Pleasants,1043,
2006,general,D,House of Delegates,7,Paul D. Janes,Ritchie,843,
2006,general,R,House of Delegates,7,"Lynwood ""Woody"" Ireland",Totals,2516,1
2006,general,R,House of Delegates,7,"Lynwood ""Woody"" Ireland",Pleasants,896,
2006,general,R,House of Delegates,7,"Lynwood ""Woody"" Ireland",Ritchie,1620,
2006,general,R,House of Delegates,8,"E. W. ""Bill"" Anderson, Jr.",Totals,3623,1
2006,general,R,House of Delegates,8,"E. W. ""Bill"" Anderson, Jr.",Wood,3623,
2006,general,D,House of Delegates,9,Jim Marion,Totals,2089,
2006,general,D,House of Delegates,9,Jim Marion,Wirt,653,
2006,general,D,House of Delegates,9,Jim Marion,Wood,1436,
2006,general,R,House of Delegates,9,Larry Border,Totals,2485,1
2006,general,R,House of Delegates,9,Larry Border,Wirt,660,
2006,general,R,House of Delegates,9,Larry Border,Wood,1825,
2006,general,D,House of Delegates,10,J. D. Beane,Totals,8450,1
