year,election,office,party,district,candidate,county,votes,winner
2002,general,House of Delegates,D,1,Joe DeLong,Totals,4752,1
2002,general,House of Delegates,D,1,Joe DeLong,Brooke,345,
2002,general,House of Delegates,D,1,Joe DeLong,Hancock,4407,
2002,general,House of Delegates,D,1,Randy Swartzmiller,Totals,4696,1
2002,general,House of Delegates,D,1,Randy Swartzmiller,Brooke,296,
2002,general,House of Delegates,D,1,Randy Swartzmiller,Hancock,4400,
2002,general,House of Delegates,D,2,Tim Ennis,Totals,5044,1
2002,general,House of Delegates,D,2,Tim Ennis,Brooke,3480,
2002,general,House of Delegates,D,2,Tim Ennis,Ohio,1564,
2002,general,House of Delegates,D,2,Jack Yost,Totals,4955,1
2002,general,House of Delegates,D,2,Jack Yost,Brooke,3320,
2002,general,House of Delegates,D,2,Jack Yost,Ohio,1635,
2002,general,House of Delegates,D,3,Rick Altman,Totals,2754,
2002,general,House of Delegates,D,3,Rick Altman,Ohio,2754,
2002,general,House of Delegates,D,3,Tal Hutchins,Totals,4185,
2002,general,House of Delegates,D,3,Tal Hutchins,Ohio,4185,
2002,general,House of Delegates,R,3,Christopher Wakim,Totals,4339,1
2002,general,House of Delegates,R,3,Christopher Wakim,Ohio,4339,
2002,general,House of Delegates,R,3,L. Gil White,Totals,4618,1
2002,general,House of Delegates,R,3,L. Gil White,Ohio,4618,
2002,general,House of Delegates,D,4,Kenneth D. Tucker,Totals,5102,1
2002,general,House of Delegates,D,4,Kenneth D. Tucker,Marshall,5062,
2002,general,House of Delegates,D,4,Kenneth D. Tucker,Ohio,40,
2002,general,House of Delegates,D,4,Scott G. Varner,Totals,6515,1
2002,general,House of Delegates,D,4,Scott G. Varner,Marshall,6467,
2002,general,House of Delegates,D,4,Scott G. Varner,Ohio,48,
2002,general,House of Delegates,R,4,Cody J. Lucey,Totals,3711,
2002,general,House of Delegates,R,4,Cody J. Lucey,Marshall,3697,
2002,general,House of Delegates,R,4,Cody J. Lucey,Ohio,14,
2002,general,House of Delegates,D,5,Dave Pethtel,Totals,3023,1
2002,general,House of Delegates,D,5,Dave Pethtel,Monongalia,228,
2002,general,House of Delegates,D,5,Dave Pethtel,Wetzel,2795,
2002,general,House of Delegates,Constitution,5,Denzil W. Sloan,Totals,433,
2002,general,House of Delegates,Constitution,5,Denzil W. Sloan,Monongalia,11,
2002,general,House of Delegates,Constitution,5,Denzil W. Sloan,Wetzel,422,
2002,general,House of Delegates,R,6,Wm. Roger Romine,Totals,3323,1
2002,general,House of Delegates,R,6,Wm. Roger Romine,Doddridge,1569,
2002,general,House of Delegates,R,6,Wm. Roger Romine,Tyler,1645,
2002,general,House of Delegates,R,6,Wm. Roger Romine,Wetzel,109,
2002,general,House of Delegates,D,7,Paul D. Janes,Totals,1487,
2002,general,House of Delegates,D,7,Paul D. Janes,Pleasants,757,
2002,general,House of Delegates,D,7,Paul D. Janes,Ritchie,730,
2002,general,House of Delegates,R,7,Otis A. Leggett,Totals,3226,1
2002,general,House of Delegates,R,7,Otis A. Leggett,Pleasants,1227,
2002,general,House of Delegates,R,7,Otis A. Leggett,Ritchie,1999,
2002,general,House of Delegates,D,8,Becky A. Sutphin,Totals,1327,
2002,general,House of Delegates,D,8,Becky A. Sutphin,Wood,1327,
2002,general,House of Delegates,R,8,"E. W. ""Bill"" Anderson, Jr.",Totals,3282,1
2002,general,House of Delegates,R,8,"E. W. ""Bill"" Anderson, Jr.",Wood,3282,
2002,general,House of Delegates,D,9,"Kent ""Kenny"" Brown",Totals,1944,
2002,general,House of Delegates,D,9,"Kent ""Kenny"" Brown",Wirt,66,
2002,general,House of Delegates,D,9,"Kent ""Kenny"" Brown",Wood,1178,
2002,general,House of Delegates,R,9,Larry Border,Totals,2639,1
2002,general,House of Delegates,R,9,Larry Border,Wirt,830,
2002,general,House of Delegates,R,9,Larry Border,Wood,1809,
2002,general,House of Delegates,D,10,J. D. Beane,Totals,7726,1
2002,general,House of Delegates,D,10,J. D. Beane,Wood,7726,
2002,general,House of Delegates,D,10,John Beary,Totals,4661,
2002,general,House of Delegates,D,10,John Beary,Wood,4661,
2002,general,House of Delegates,D,10,Shuan Butcher,Totals,4172,
2002,general,House of Delegates,D,10,Shuan Butcher,Wood,4172,
2002,general,House of Delegates,R,10,Tom Azinger,Totals,7537,1
2002,general,House of Delegates,R,10,Tom Azinger,Wood,7537,
2002,general,House of Delegates,R,10,John N. Ellem,Totals,6976,1
2002,general,House of Delegates,R,10,John N. Ellem,Wood,6976,
2002,general,House of Delegates,R,10,Fred Gillespie,Totals,6700,
2002,general,House of Delegates,R,10,Fred Gillespie,Wood,6700,
2002,general,House of Delegates,D,11,"William ""Bill"" Groves",Totals,1567,
2002,general,House of Delegates,D,11,"William ""Bill"" Groves",Jackson,194,
2002,general,House of Delegates,D,11,"William ""Bill"" Groves",Roane,1373,
2002,general,House of Delegates,R,11,Bob Ashley,Totals,3417,1
2002,general,House of Delegates,R,11,Bob Ashley,Jackson,431,
2002,general,House of Delegates,R,11,Bob Ashley,Roane,2986,
2002,general,House of Delegates,D,12,Carroll Jett,Totals,2059,
2002,general,House of Delegates,D,12,Carroll Jett,Jackson,2059,
2002,general,House of Delegates,R,12,Mitch B. Carmichael,Totals,3969,1
2002,general,House of Delegates,R,12,Mitch B. Carmichael,Jackson,3969,
2002,general,House of Delegates,D,13,Dale F. Martin,Totals,5424,1
2002,general,House of Delegates,D,13,Dale F. Martin,Jackson,1013,
2002,general,House of Delegates,D,13,Dale F. Martin,Mason,1849,
2002,general,House of Delegates,D,13,Dale F. Martin,Putnam,2562,
2002,general,House of Delegates,D,13,Brady R. Paxton,Totals,6231,1
2002,general,House of Delegates,D,13,Brady R. Paxton,Jackson,1200,
2002,general,House of Delegates,D,13,Brady R. Paxton,Mason,2087,
2002,general,House of Delegates,D,13,Brady R. Paxton,Putnam,2944,
2002,general,House of Delegates,R,13,Jack R McLane,Totals,5325,
2002,general,House of Delegates,R,13,Jack R McLane,Jackson,895,
2002,general,House of Delegates,R,13,Jack R McLane,Mason,1484,
2002,general,House of Delegates,R,13,Jack R McLane,Putnam,2946,
2002,general,House of Delegates,D,14,Jim Ferguson,Totals,6783,
2002,general,House of Delegates,D,14,Jim Ferguson,Mason,2289,
2002,general,House of Delegates,D,14,Jim Ferguson,Putnam,4494,
2002,general,House of Delegates,R,14,Mike Hall,Totals,5858,1
2002,general,House of Delegates,R,14,Mike Hall,Mason,1585,
2002,general,House of Delegates,R,14,Mike Hall,Putnam,4273,
2002,general,House of Delegates,R,14,Patti Eagloski Schoen,Totals,5029,1
2002,general,House of Delegates,R,14,Patti Eagloski Schoen,Mason,2039,
2002,general,House of Delegates,R,14,Patti Eagloski Schoen,Putnam,2990,
2002,general,House of Delegates,D,15,Kevin J. Craig,Totals,7186,1
2002,general,House of Delegates,D,15,Kevin J. Craig,Cabell,6660,
2002,general,House of Delegates,D,15,Kevin J. Craig,Lincoln,526,
2002,general,House of Delegates,D,15,Margarette R Leach,Totals,5649,1
2002,general,House of Delegates,D,15,Margarette R Leach,Cabell,5105,
2002,general,House of Delegates,D,15,Margarette R Leach,Lincoln,544,
2002,general,House of Delegates,D,15,Jim Morgan,Totals,5954,1
2002,general,House of Delegates,D,15,Jim Morgan,Cabell,5450,
2002,general,House of Delegates,D,15,Jim Morgan,Lincoln,504,
2002,general,House of Delegates,R,15,Greg C. Miller,Totals,4185,
2002,general,House of Delegates,R,15,Greg C. Miller,Cabell,3941,
2002,general,House of Delegates,R,15,Greg C. Miller,Lincoln,244,
2002,general,House of Delegates,R,15,Paula L. Stewart,Totals,4097,
2002,general,House of Delegates,R,15,Paula L. Stewart,Cabell,3863,
2002,general,House of Delegates,R,15,Paula L. Stewart,Lincoln,234,
2002,general,House of Delegates,D,16,Susan Hubbard,Totals,5446,
2002,general,House of Delegates,D,16,Susan Hubbard,Cabell,4837,
2002,general,House of Delegates,D,16,Susan Hubbard,Lincoln,609,
2002,general,House of Delegates,D,16,Karen N. Nance,Totals,4366,
2002,general,House of Delegates,D,16,Karen N. Nance,Cabell,3945,
2002,general,House of Delegates,D,16,Karen N. Nance,Lincoln,421,
2002,general,House of Delegates,D,16,Dale Stephens,Totals,6124,
2002,general,House of Delegates,D,16,Dale Stephens,Cabell,5200,
2002,general,House of Delegates,D,16,Dale Stephens,Lincoln,924,
2002,general,House of Delegates,R,16,Greg Howard,Totals,6450,1
2002,general,House of Delegates,R,16,Greg Howard,Cabell,5881,
2002,general,House of Delegates,R,16,Greg Howard,Lincoln,569,
2002,general,House of Delegates,R,16,Jody G. Smirl,Totals,6415,1
2002,general,House of Delegates,R,16,Jody G. Smirl,Cabell,5873,
2002,general,House of Delegates,R,16,Jody G. Smirl,Lincoln,542,
2002,general,House of Delegates,R,16,Kelli Sobonya,Totals,7099,1
2002,general,House of Delegates,R,16,Kelli Sobonya,Cabell,6417,
2002,general,House of Delegates,R,16,Kelli Sobonya,Lincoln,682,
2002,general,House of Delegates,D,17,Don Perdue,Totals,4876,1
2002,general,House of Delegates,D,17,Don Perdue,Wayne,4876,
2002,general,House of Delegates,D,17,Richard Thompson,Totals,4880,1
2002,general,House of Delegates,D,17,Richard Thompson,Wayne,4880,
2002,general,House of Delegates,R,17,John M. Smith,Totals,2149,
2002,general,House of Delegates,R,17,John M. Smith,Wayne,2149,
2002,general,House of Delegates,D,18,Earnie Kuhn,Totals,3445,1
2002,general,House of Delegates,D,18,Earnie Kuhn,Boone,3445,
2002,general,House of Delegates,D,19,Greg Butcher,Totals,8619,1
2002,general,House of Delegates,D,19,Greg Butcher,Boone,1004,
2002,general,House of Delegates,D,19,Greg Butcher,Lincoln,2277,
2002,general,House of Delegates,D,19,Greg Butcher,Logan,4685,
2002,general,House of Delegates,D,19,Greg Butcher,Putnam,653,
2002,general,House of Delegates,D,19,Joe C. Ferrell,Totals,7580,1
2002,general,House of Delegates,D,19,Joe C. Ferrell,Boone,792,
2002,general,House of Delegates,D,19,Joe C. Ferrell,Lincoln,2260,
2002,general,House of Delegates,D,19,Joe C. Ferrell,Logan,3800,
2002,general,House of Delegates,D,19,Joe C. Ferrell,Putnam,728,
2002,general,House of Delegates,D,19,Lidella W. Hrutkay,Totals,8131,1
2002,general,House of Delegates,D,19,Lidella W. Hrutkay,Boone,761,
2002,general,House of Delegates,D,19,Lidella W. Hrutkay,Lincoln,1979,
2002,general,House of Delegates,D,19,Lidella W. Hrutkay,Logan,4869,
2002,general,House of Delegates,D,19,Lidella W. Hrutkay,Putnam,522,
2002,general,House of Delegates,D,19,Bill Wright,Totals,8145,1
2002,general,House of Delegates,D,19,Bill Wright,Boone,803,
2002,general,House of Delegates,D,19,Bill Wright,Lincoln,2597,
