year,election,office,party,candidate,county,votes,winner
2000,primary,Attorney General,D,Darrell McGraw,Barbour,"2,028",
2000,primary,Attorney General,D,Darrell McGraw,Berkeley,"4,063",
2000,primary,Attorney General,D,Darrell McGraw,Boone,"5,279",
2000,primary,Attorney General,D,Darrell McGraw,Braxton,"2,879",
2000,primary,Attorney General,D,Darrell McGraw,Brooke,"3,895",
2000,primary,Attorney General,D,Darrell McGraw,Cabell,"8,397",
2000,primary,Attorney General,D,Darrell McGraw,Calhoun,"1,045",
2000,primary,Attorney General,D,Darrell McGraw,Clay,"2,061",
2000,primary,Attorney General,D,Darrell McGraw,Doddridge,416,
2000,primary,Attorney General,D,Darrell McGraw,Fayette,"7,042",
2000,primary,Attorney General,D,Darrell McGraw,Gilmer,"1,491",
2000,primary,Attorney General,D,Darrell McGraw,Grant,260,
2000,primary,Attorney General,D,Darrell McGraw,Greenbrier,"4,483",
2000,primary,Attorney General,D,Darrell McGraw,Hampshire,"1,788",
2000,primary,Attorney General,D,Darrell McGraw,Hancock,"5,639",
2000,primary,Attorney General,D,Darrell McGraw,Hardy,"1,451",
2000,primary,Attorney General,D,Darrell McGraw,Harrison,"10,276",
2000,primary,Attorney General,D,Darrell McGraw,Jackson,"3,278",
2000,primary,Attorney General,D,Darrell McGraw,Jefferson,"2,803",
2000,primary,Attorney General,D,Darrell McGraw,Kanawha,"21,047",
2000,primary,Attorney General,D,Darrell McGraw,Lewis,"1,797",
2000,primary,Attorney General,D,Darrell McGraw,Lincoln,"3,467",
2000,primary,Attorney General,D,Darrell McGraw,Logan,"7,505",
2000,primary,Attorney General,D,Darrell McGraw,Marion,"10,356",
2000,primary,Attorney General,D,Darrell McGraw,Marshall,"4,579",
2000,primary,Attorney General,D,Darrell McGraw,Mason,"4,396",
2000,primary,Attorney General,D,Darrell McGraw,McDowell,"4,274",
2000,primary,Attorney General,D,Darrell McGraw,Mercer,"7,827",
2000,primary,Attorney General,D,Darrell McGraw,Mineral,"2,077",
2000,primary,Attorney General,D,Darrell McGraw,Mingo,"4,862",
2000,primary,Attorney General,D,Darrell McGraw,Monongalia,"7,386",
2000,primary,Attorney General,D,Darrell McGraw,Monroe,"1,896",
2000,primary,Attorney General,D,Darrell McGraw,Morgan,899,
2000,primary,Attorney General,D,Darrell McGraw,Nicholas,"4,062",
2000,primary,Attorney General,D,Darrell McGraw,Ohio,"5,840",
2000,primary,Attorney General,D,Darrell McGraw,Pendleton,"1,021",
2000,primary,Attorney General,D,Darrell McGraw,Pleasants,"1,034",
2000,primary,Attorney General,D,Darrell McGraw,Pocahontas,"1,446",
2000,primary,Attorney General,D,Darrell McGraw,Preston,"2,638",
2000,primary,Attorney General,D,Darrell McGraw,Putnam,"5,031",
2000,primary,Attorney General,D,Darrell McGraw,Raleigh,"8,084",
2000,primary,Attorney General,D,Darrell McGraw,Randolph,"4,357",
2000,primary,Attorney General,D,Darrell McGraw,Ritchie,666,
2000,primary,Attorney General,D,Darrell McGraw,Roane,"1,810",
2000,primary,Attorney General,D,Darrell McGraw,Summers,"2,559",
2000,primary,Attorney General,D,Darrell McGraw,Taylor,"2,341",
2000,primary,Attorney General,D,Darrell McGraw,Tucker,"1,256",
2000,primary,Attorney General,D,Darrell McGraw,Tyler,731,
2000,primary,Attorney General,D,Darrell McGraw,Upshur,"1,613",
2000,primary,Attorney General,D,Darrell McGraw,Wayne,"5,878",
2000,primary,Attorney General,D,Darrell McGraw,Webster,"2,204",
2000,primary,Attorney General,D,Darrell McGraw,Wetzel,"2,806",
2000,primary,Attorney General,D,Darrell McGraw,Wirt,852,
2000,primary,Attorney General,D,Darrell McGraw,Wood,"6,021",
2000,primary,Attorney General,D,Darrell McGraw,Wyoming,"3,878",
2000,primary,Attorney General,D,Darrell McGraw,Totals,"217,070",1
