year,election,office,district,party,candidate,county,votes,winner
2004,primary,State Senate,1,D,Frank M. Gaudio,Totals,7559,
2004,primary,State Senate,1,D,Frank M. Gaudio,Brooke,2746,
2004,primary,State Senate,1,D,Frank M. Gaudio,Hancock,3650,
2004,primary,State Senate,1,D,Frank M. Gaudio,Ohio,1163,
2004,primary,State Senate,1,D,Tal Hutchins,Totals,8494,1
2004,primary,State Senate,1,D,Tal Hutchins,Brooke,1857,
2004,primary,State Senate,1,D,Tal Hutchins,Hancock,1705,
2004,primary,State Senate,1,D,Tal Hutchins,Ohio,4932,
2004,primary,State Senate,1,R,Andy McKenzie,Totals,6007,1
2004,primary,State Senate,1,R,Andy McKenzie,Brooke,1026,
2004,primary,State Senate,1,R,Andy McKenzie,Hancock,1396,
2004,primary,State Senate,1,R,Andy McKenzie,Ohio,3585,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Totals,13523,1
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Calhoun,1010,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Doddridge,463,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Marion,769,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Marshall,5449,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Monongalia,735,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Ohio,529,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Ritchie,581,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Tyler,845,
2004,primary,State Senate,2,D,Jeffrey V. Kessler,Wetzel,3142,
2004,primary,State Senate,2,R,Russ Snyder,Totals,6924,1
2004,primary,State Senate,2,R,Russ Snyder,Calhoun,277,
2004,primary,State Senate,2,R,Russ Snyder,Doddridge,1116,
2004,primary,State Senate,2,R,Russ Snyder,Marion,236,
2004,primary,State Senate,2,R,Russ Snyder,Marshall,2082,
2004,primary,State Senate,2,R,Russ Snyder,Monongalia,292,
2004,primary,State Senate,2,R,Russ Snyder,Ohio,147,
2004,primary,State Senate,2,R,Russ Snyder,Ritchie,922,
2004,primary,State Senate,2,R,Russ Snyder,Tyler,1145,
2004,primary,State Senate,2,R,Russ Snyder,Wetzel,707,
2004,primary,State Senate,3,R,Donna J. Boley,Totals,8949,1
2004,primary,State Senate,3,R,Donna J. Boley,Pleasants,654,
2004,primary,State Senate,3,R,Donna J. Boley,Roane,643,
2004,primary,State Senate,3,R,Donna J. Boley,Wirt,500,
2004,primary,State Senate,3,R,Donna J. Boley,Wood,7152,
2004,primary,State Senate,4,D,David Mullins,Totals,12567,1
2004,primary,State Senate,4,D,David Mullins,Jackson,3239,
2004,primary,State Senate,4,D,David Mullins,Mason,3445,
2004,primary,State Senate,4,D,David Mullins,Putnam,5193,
2004,primary,State Senate,4,D,David Mullins,Roane,690,
2004,primary,State Senate,4,R,Jenny Scholl,Totals,4298,
2004,primary,State Senate,4,R,Jenny Scholl,Jackson,1590,
2004,primary,State Senate,4,R,Jenny Scholl,Mason,615,
2004,primary,State Senate,4,R,Jenny Scholl,Putnam,1876,
2004,primary,State Senate,4,R,Jenny Scholl,Roane,217,
2004,primary,State Senate,4,R,Karen Facemyer,Totals,7193,1
2004,primary,State Senate,4,R,Karen Facemyer,Jackson,1939,
2004,primary,State Senate,4,R,Karen Facemyer,Mason,1822,
2004,primary,State Senate,4,R,Karen Facemyer,Putnam,3006,
2004,primary,State Senate,4,R,Karen Facemyer,Roane,426,
2004,primary,State Senate,5,D,"Robert H. ""Bob"" Plymale",Totals,10791,1
2004,primary,State Senate,5,D,"Robert H. ""Bob"" Plymale",Cabell,9720,
2004,primary,State Senate,5,D,"Robert H. ""Bob"" Plymale",Wayne,1071,
2004,primary,State Senate,5,R,Stephen L. Hall,Totals,5022,1
2004,primary,State Senate,5,R,Stephen L. Hall,Cabell,4657,
2004,primary,State Senate,5,R,Stephen L. Hall,Wayne,365,
2004,primary,State Senate,6,D,John Pat Fanning,Totals,13629,1
2004,primary,State Senate,6,D,John Pat Fanning,McDowell,4275,
2004,primary,State Senate,6,D,John Pat Fanning,Mercer,2258,
2004,primary,State Senate,6,D,John Pat Fanning,Mingo,4955,
2004,primary,State Senate,6,D,John Pat Fanning,Wayne,1827,
2004,primary,State Senate,6,D,John Pat Fanning,Wyoming,314,
2004,primary,State Senate,6,R,Jacob T. (Jake) Potter,Totals,1678,1
2004,primary,State Senate,6,R,Jacob T. (Jake) Potter,McDowell,211,
2004,primary,State Senate,6,R,Jacob T. (Jake) Potter,Mercer,596,
2004,primary,State Senate,6,R,Jacob T. (Jake) Potter,Mingo,332,
2004,primary,State Senate,6,R,Jacob T. (Jake) Potter,Wayne,512,
2004,primary,State Senate,6,R,Jacob T. (Jake) Potter,Wyoming,27,
2004,primary,State Senate,7,D,Bruce E. (Becky) Hobbs,Totals,3955,
2004,primary,State Senate,7,D,Bruce E. (Becky) Hobbs,Boone,1226,
2004,primary,State Senate,7,D,Bruce E. (Becky) Hobbs,Lincoln,757,
2004,primary,State Senate,7,D,Bruce E. (Becky) Hobbs,Logan,1488,
2004,primary,State Senate,7,D,Bruce E. (Becky) Hobbs,Wayne,484,
2004,primary,State Senate,7,D,Earl Ray Tomblin,Totals,17194,1
2004,primary,State Senate,7,D,Earl Ray Tomblin,Boone,4883,
2004,primary,State Senate,7,D,Earl Ray Tomblin,Lincoln,3673,
2004,primary,State Senate,7,D,Earl Ray Tomblin,Logan,6572,
2004,primary,State Senate,7,D,Earl Ray Tomblin,Wayne,2066,
2004,primary,State Senate,7,R,Billy Marcum,Totals,1806,1
2004,primary,State Senate,7,R,Billy Marcum,Boone,442,
2004,primary,State Senate,7,R,Billy Marcum,Lincoln,628,
2004,primary,State Senate,7,R,Billy Marcum,Logan,337,
2004,primary,State Senate,7,R,Billy Marcum,Wayne,399,
2004,primary,State Senate,9,D,"Billy Wayne Bailey, Jr.",Totals,9658,1
2004,primary,State Senate,9,D,"Billy Wayne Bailey, Jr.",Raleigh,6845,
2004,primary,State Senate,9,D,"Billy Wayne Bailey, Jr.",Wyoming,2813,
2004,primary,State Senate,9,R,Jack E. Fincham,Totals,3366,1
2004,primary,State Senate,9,R,Jack E. Fincham,Raleigh,2739,
2004,primary,State Senate,9,R,Jack E. Fincham,Wyoming,627,
2004,primary,State Senate,10,D,Anita Skeens Caldwell,Totals,8710,1
2004,primary,State Senate,10,D,Anita Skeens Caldwell,Fayette,205,
2004,primary,State Senate,10,D,Anita Skeens Caldwell,Greenbrier,2886,
