year,election,office,party,county,candidate,votes,winner
2004,primary,Secretary of State,D,Barbour,Donna J. Acord,69,
2004,primary,Secretary of State,D,Berkeley,Donna J. Acord,256,
2004,primary,Secretary of State,D,Boone,Donna J. Acord,155,
2004,primary,Secretary of State,D,Braxton,Donna J. Acord,89,
2004,primary,Secretary of State,D,Brooke,Donna J. Acord,162,
2004,primary,Secretary of State,D,Cabell,Donna J. Acord,312,
2004,primary,Secretary of State,D,Calhoun,Donna J. Acord,17,
2004,primary,Secretary of State,D,Clay,Donna J. Acord,57,
2004,primary,Secretary of State,D,Doddridge,Donna J. Acord,12,
2004,primary,Secretary of State,D,Fayette,Donna J. Acord,290,
2004,primary,Secretary of State,D,Gilmer,Donna J. Acord,45,
2004,primary,Secretary of State,D,Grant,Donna J. Acord,14,
2004,primary,Secretary of State,D,Greenbrier,Donna J. Acord,378,
2004,primary,Secretary of State,D,Hampshire,Donna J. Acord,234,
2004,primary,Secretary of State,D,Hancock,Donna J. Acord,215,
2004,primary,Secretary of State,D,Hardy,Donna J. Acord,79,
2004,primary,Secretary of State,D,Harrison,Donna J. Acord,192,
2004,primary,Secretary of State,D,Jackson,Donna J. Acord,231,
2004,primary,Secretary of State,D,Jefferson,Donna J. Acord,280,
2004,primary,Secretary of State,D,Kanawha,Donna J. Acord,624,
2004,primary,Secretary of State,D,Lewis,Donna J. Acord,44,
2004,primary,Secretary of State,D,Lincoln,Donna J. Acord,29,
2004,primary,Secretary of State,D,Logan,Donna J. Acord,287,
2004,primary,Secretary of State,D,Marion,Donna J. Acord,290,
2004,primary,Secretary of State,D,Marshall,Donna J. Acord,193,
2004,primary,Secretary of State,D,Mason,Donna J. Acord,253,
2004,primary,Secretary of State,D,McDowell,Donna J. Acord,71,
2004,primary,Secretary of State,D,Mercer,Donna J. Acord,550,
2004,primary,Secretary of State,D,Mineral,Donna J. Acord,131,
2004,primary,Secretary of State,D,Mingo,Donna J. Acord,179,
2004,primary,Secretary of State,D,Monongalia,Donna J. Acord,41,
2004,primary,Secretary of State,D,Monroe,Donna J. Acord,86,
2004,primary,Secretary of State,D,Morgan,Donna J. Acord,44,
2004,primary,Secretary of State,D,Nicholas,Donna J. Acord,64,
2004,primary,Secretary of State,D,Ohio,Donna J. Acord,153,
2004,primary,Secretary of State,D,Pendleton,Donna J. Acord,57,
2004,primary,Secretary of State,D,Pleasants,Donna J. Acord,25,
2004,primary,Secretary of State,D,Pocahontas,Donna J. Acord,68,
2004,primary,Secretary of State,D,Preston,Donna J. Acord,65,
2004,primary,Secretary of State,D,Putnam,Donna J. Acord,91,
2004,primary,Secretary of State,D,Raleigh,Donna J. Acord,1197,
2004,primary,Secretary of State,D,Randolph,Donna J. Acord,338,
2004,primary,Secretary of State,D,Ritchie,Donna J. Acord,22,
2004,primary,Secretary of State,D,Roane,Donna J. Acord,37,
2004,primary,Secretary of State,D,Summers,Donna J. Acord,198,
2004,primary,Secretary of State,D,Taylor,Donna J. Acord,56,
2004,primary,Secretary of State,D,Tucker,Donna J. Acord,34,
2004,primary,Secretary of State,D,Tyler,Donna J. Acord,24,
