year,election,office,party,district,candidate,county,votes,winner
2004,general,Secretary of State,D,,Ken Hechler,Totals,347780,
2004,general,Secretary of State,D,,Ken Hechler,Barbour,3372,
2004,general,Secretary of State,D,,Ken Hechler,Berkeley,12852,
2004,general,Secretary of State,D,,Ken Hechler,Boone,6157,
2004,general,Secretary of State,D,,Ken Hechler,Braxton,3234,
2004,general,Secretary of State,D,,Ken Hechler,Brooke,5774,
2004,general,Secretary of State,D,,Ken Hechler,Cabell,17652,
2004,general,Secretary of State,D,,Ken Hechler,Calhoun,1530,
2004,general,Secretary of State,D,,Ken Hechler,Clay,2252,
2004,general,Secretary of State,D,,Ken Hechler,Doddridge,1080,
2004,general,Secretary of State,D,,Ken Hechler,Fayette,9518,
2004,general,Secretary of State,D,,Ken Hechler,Gilmer,1558,
2004,general,Secretary of State,D,,Ken Hechler,Grant,1354,
2004,general,Secretary of State,D,,Ken Hechler,Greenbrier,6291,
2004,general,Secretary of State,D,,Ken Hechler,Hampshire,3370,
2004,general,Secretary of State,D,,Ken Hechler,Hancock,5801,
2004,general,Secretary of State,D,,Ken Hechler,Hardy,2249,
2004,general,Secretary of State,D,,Ken Hechler,Harrison,14307,
2004,general,Secretary of State,D,,Ken Hechler,Jackson,5604,
2004,general,Secretary of State,D,,Ken Hechler,Jefferson,9009,
2004,general,Secretary of State,D,,Ken Hechler,Kanawha,38162,
2004,general,Secretary of State,D,,Ken Hechler,Lewis,3303,
2004,general,Secretary of State,D,,Ken Hechler,Lincoln,4497,
2004,general,Secretary of State,D,,Ken Hechler,Logan,8080,
2004,general,Secretary of State,D,,Ken Hechler,Marion,12239,
2004,general,Secretary of State,D,,Ken Hechler,Marshall,6961,
2004,general,Secretary of State,D,,Ken Hechler,Mason,5986,
2004,general,Secretary of State,D,,Ken Hechler,McDowell,5083,
2004,general,Secretary of State,D,,Ken Hechler,Mercer,10247,
2004,general,Secretary of State,D,,Ken Hechler,Mineral,4721,
2004,general,Secretary of State,D,,Ken Hechler,Mingo,7177,
2004,general,Secretary of State,D,,Ken Hechler,Monongalia,15714,
2004,general,Secretary of State,D,,Ken Hechler,Monroe,2852,
2004,general,Secretary of State,D,,Ken Hechler,Morgan,2460,
2004,general,Secretary of State,D,,Ken Hechler,Nicholas,5212,
2004,general,Secretary of State,D,,Ken Hechler,Ohio,8662,
2004,general,Secretary of State,D,,Ken Hechler,Pendleton,1775,
2004,general,Secretary of State,D,,Ken Hechler,Pleasants,1651,
2004,general,Secretary of State,D,,Ken Hechler,Pocahontas,1887,
2004,general,Secretary of State,D,,Ken Hechler,Preston,5123,
2004,general,Secretary of State,D,,Ken Hechler,Putnam,9197,
2004,general,Secretary of State,D,,Ken Hechler,Raleigh,12325,
2004,general,Secretary of State,D,,Ken Hechler,Randolph,5979,
2004,general,Secretary of State,D,,Ken Hechler,Ritchie,1558,
2004,general,Secretary of State,D,,Ken Hechler,Roane,2688,
2004,general,Secretary of State,D,,Ken Hechler,Summers,2765,
2004,general,Secretary of State,D,,Ken Hechler,Taylor,2993,
2004,general,Secretary of State,D,,Ken Hechler,Tucker,1856,
2004,general,Secretary of State,D,,Ken Hechler,Tyler,1771,
2004,general,Secretary of State,D,,Ken Hechler,Upshur,3755,
2004,general,Secretary of State,D,,Ken Hechler,Wayne,9583,
2004,general,Secretary of State,D,,Ken Hechler,Webster,2386,
2004,general,Secretary of State,D,,Ken Hechler,Wetzel,3882,
2004,general,Secretary of State,D,,Ken Hechler,Wirt,1238,
2004,general,Secretary of State,D,,Ken Hechler,Wood,16311,
2004,general,Secretary of State,D,,Ken Hechler,Wyoming,4737,
2004,general,Secretary of State,R,,Betty Ireland,Totals,375024,1
2004,general,Secretary of State,R,,Betty Ireland,Barbour,2857,
2004,general,Secretary of State,R,,Betty Ireland,Berkeley,19408,
2004,general,Secretary of State,R,,Betty Ireland,Boone,3854,
2004,general,Secretary of State,R,,Betty Ireland,Braxton,2110,
2004,general,Secretary of State,R,,Betty Ireland,Brooke,4546,
2004,general,Secretary of State,R,,Betty Ireland,Cabell,19008,
2004,general,Secretary of State,R,,Betty Ireland,Calhoun,1297,
2004,general,Secretary of State,R,,Betty Ireland,Clay,1697,
2004,general,Secretary of State,R,,Betty Ireland,Doddridge,2004,
2004,general,Secretary of State,R,,Betty Ireland,Fayette,7016,
2004,general,Secretary of State,R,,Betty Ireland,Gilmer,1160,
2004,general,Secretary of State,R,,Betty Ireland,Grant,3020,
2004,general,Secretary of State,R,,Betty Ireland,Greenbrier,7750,
2004,general,Secretary of State,R,,Betty Ireland,Hampshire,4122,
2004,general,Secretary of State,R,,Betty Ireland,Hancock,6085,
2004,general,Secretary of State,R,,Betty Ireland,Hardy,2393,
2004,general,Secretary of State,R,,Betty Ireland,Harrison,15278,
2004,general,Secretary of State,R,,Betty Ireland,Jackson,7395,
2004,general,Secretary of State,R,,Betty Ireland,Jefferson,10003,
2004,general,Secretary of State,R,,Betty Ireland,Kanawha,47768,
2004,general,Secretary of State,R,,Betty Ireland,Lewis,3453,
2004,general,Secretary of State,R,,Betty Ireland,Lincoln,3556,
2004,general,Secretary of State,R,,Betty Ireland,Logan,5522,
2004,general,Secretary of State,R,,Betty Ireland,Marion,11402,
2004,general,Secretary of State,R,,Betty Ireland,Marshall,7597,
2004,general,Secretary of State,R,,Betty Ireland,Mason,5750,
2004,general,Secretary of State,R,,Betty Ireland,McDowell,1929,
2004,general,Secretary of State,R,,Betty Ireland,Mercer,11547,
2004,general,Secretary of State,R,,Betty Ireland,Mineral,6106,
2004,general,Secretary of State,R,,Betty Ireland,Mingo,3193,
2004,general,Secretary of State,R,,Betty Ireland,Monongalia,16478,
2004,general,Secretary of State,R,,Betty Ireland,Monroe,2899,
2004,general,Secretary of State,R,,Betty Ireland,Morgan,3633,
2004,general,Secretary of State,R,,Betty Ireland,Nicholas,4828,
2004,general,Secretary of State,R,,Betty Ireland,Ohio,10821,
2004,general,Secretary of State,R,,Betty Ireland,Pendleton,1300,
2004,general,Secretary of State,R,,Betty Ireland,Pleasants,1604,
2004,general,Secretary of State,R,,Betty Ireland,Pocahontas,1847,
2004,general,Secretary of State,R,,Betty Ireland,Preston,6236,
2004,general,Secretary of State,R,,Betty Ireland,Putnam,15477,
2004,general,Secretary of State,R,,Betty Ireland,Raleigh,17414,
2004,general,Secretary of State,R,,Betty Ireland,Randolph,5188,
2004,general,Secretary of State,R,,Betty Ireland,Ritchie,2480,
2004,general,Secretary of State,R,,Betty Ireland,Roane,3312,
2004,general,Secretary of State,R,,Betty Ireland,Summers,2566,
2004,general,Secretary of State,R,,Betty Ireland,Taylor,3372,
2004,general,Secretary of State,R,,Betty Ireland,Tucker,1577,
2004,general,Secretary of State,R,,Betty Ireland,Tyler,2322,
2004,general,Secretary of State,R,,Betty Ireland,Upshur,5243,
2004,general,Secretary of State,R,,Betty Ireland,Wayne,7055,
2004,general,Secretary of State,R,,Betty Ireland,Webster,1210,
2004,general,Secretary of State,R,,Betty Ireland,Wetzel,2991,
2004,general,Secretary of State,R,,Betty Ireland,Wirt,1229,
2004,general,Secretary of State,R,,Betty Ireland,Wood,21660,
2004,general,Secretary of State,R,,Betty Ireland,Wyoming,3456,
