year,election,office,party,candidate,county,votes,winner
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Barbour,"2,092",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Berkeley,"4,399",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Boone,"5,370",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Braxton,"3,119",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Brooke,"3,850",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Cabell,"8,939",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Calhoun,"1,157",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Clay,"2,130",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Doddridge,457,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Fayette,"7,002",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Gilmer,"1,648",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Grant,283,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Greenbrier,"4,762",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Hampshire,"2,005",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Hancock,"5,436",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Hardy,"1,772",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Harrison,"11,512",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Jackson,"3,480",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Jefferson,"2,979",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Kanawha,"23,844",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Lewis,"1,879",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Lincoln,"3,504",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Logan,"5,147",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Marion,"10,713",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Marshall,"4,594",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mason,"4,662",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,McDowell,"3,933",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mercer,"7,569",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mineral,"2,195",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mingo,"4,480",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Monongalia,"7,736",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Monroe,"1,968",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Morgan,853,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Nicholas,"4,228",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Ohio,"5,962",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Pendleton,"1,156",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Pleasants,"1,113",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Pocahontas,"1,491",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Preston,"2,973",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Putnam,"5,712",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Raleigh,"8,496",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Randolph,"4,598",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Ritchie,704,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Roane,"1,936",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Summers,"2,622",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Taylor,"2,379",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Tucker,"1,376",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Tyler,763,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Upshur,"1,706",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wayne,"5,654",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Webster,"2,294",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wetzel,"2,945",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wirt,941,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wood,"6,565",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wyoming,"3,717",
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Totals,"224,800",1
