year,election,office,party,district,candidate,county,votes,winner
2000,primary,State Senate,D,1,Walter Bish,Totals,8774,1
2000,primary,State Senate,D,1,Walter Bish,Brooke,2926,
2000,primary,State Senate,D,1,Walter Bish,Hancock,5011,
2000,primary,State Senate,D,1,Walter Bish,Ohio,837,
2000,primary,State Senate,D,1,Tal Hutchins,Totals,8588,
2000,primary,State Senate,D,1,Tal Hutchins,Brooke,1621,
2000,primary,State Senate,D,1,Tal Hutchins,Hancock,1728,
2000,primary,State Senate,D,1,Tal Hutchins,Ohio,5239,
2000,primary,State Senate,R,1,Andy McKenzie,Totals,5324,1
2000,primary,State Senate,R,1,Andy McKenzie,Brooke,859,
2000,primary,State Senate,R,1,Andy McKenzie,Hancock,1230,
2000,primary,State Senate,R,1,Andy McKenzie,Ohio,3235,
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Totals,11206,1
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Doddridge,396,
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Marion,393,
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Marshall,4983,
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Ohio,1065,
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Ritchie,624,
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Tyler,743,
2000,primary,State Senate,D,2,Jeffrey V. Kessler,Wetzel,3002,
2000,primary,State Senate,R,2,Larry Tighe,Totals,6089,1
2000,primary,State Senate,R,2,Larry Tighe,Doddridge,891,
2000,primary,State Senate,R,2,Larry Tighe,Marion,132,
2000,primary,State Senate,R,2,Larry Tighe,Marshall,1746,
2000,primary,State Senate,R,2,Larry Tighe,Ohio,269,
2000,primary,State Senate,R,2,Larry Tighe,Ritchie,1116,
2000,primary,State Senate,R,2,Larry Tighe,Tyler,1230,
2000,primary,State Senate,R,2,Larry Tighe,Wetzel,705,
2000,primary,State Senate,D,3,Louis F. Flade,Totals,7909,1
2000,primary,State Senate,D,3,Louis F. Flade,Calhoun,922,
2000,primary,State Senate,D,3,Louis F. Flade,Pleasants,820,
2000,primary,State Senate,D,3,Louis F. Flade,Wirt,770,
2000,primary,State Senate,D,3,Louis F. Flade,Wood,5397,
2000,primary,State Senate,R,3,Donna J. Boley,Totals,8235,1
2000,primary,State Senate,R,3,Donna J. Boley,Calhoun,366,
2000,primary,State Senate,R,3,Donna J. Boley,Pleasants,722,
2000,primary,State Senate,R,3,Donna J. Boley,Wirt,538,
2000,primary,State Senate,R,3,Donna J. Boley,Wood,6609,
2000,primary,State Senate,D,4,"Robert L. ""Bob"" Dittmar",Totals,8182,1
2000,primary,State Senate,D,4,"Robert L. ""Bob"" Dittmar",Jackson,1994,
2000,primary,State Senate,D,4,"Robert L. ""Bob"" Dittmar",Mason,1826,
2000,primary,State Senate,D,4,"Robert L. ""Bob"" Dittmar",Putnam,3016,
2000,primary,State Senate,D,4,"Robert L. ""Bob"" Dittmar",Roane,1346,
2000,primary,State Senate,D,4,Kay Goodwin,Totals,3482,
2000,primary,State Senate,D,4,Kay Goodwin,Jackson,1406,
2000,primary,State Senate,D,4,Kay Goodwin,Mason,366,
2000,primary,State Senate,D,4,Kay Goodwin,Putnam,1229,
2000,primary,State Senate,D,4,Kay Goodwin,Roane,481,
2000,primary,State Senate,D,4,Randall A. Taylor,Totals,4716,
2000,primary,State Senate,D,4,Randall A. Taylor,Jackson,395,
2000,primary,State Senate,D,4,Randall A. Taylor,Mason,2680,
2000,primary,State Senate,D,4,Randall A. Taylor,Putnam,1428,
2000,primary,State Senate,D,4,Randall A. Taylor,Roane,213,
2000,primary,State Senate,R,4,Karen Facemyer,Totals,9876,1
2000,primary,State Senate,R,4,Karen Facemyer,Jackson,2988,
2000,primary,State Senate,R,4,Karen Facemyer,Mason,2384,
2000,primary,State Senate,R,4,Karen Facemyer,Putnam,3295,
2000,primary,State Senate,R,4,Karen Facemyer,Roane,1209,
2000,primary,State Senate,D,5,"Robert H. ""Bob"" Plymale",Totals,8801,1
2000,primary,State Senate,D,5,"Robert H. ""Bob"" Plymale",Cabell,8331,
2000,primary,State Senate,D,5,"Robert H. ""Bob"" Plymale",Wayne,470,
2000,primary,State Senate,D,6,John Pat Fanning,Totals,13435,1
2000,primary,State Senate,D,6,John Pat Fanning,McDowell,4605,
2000,primary,State Senate,D,6,John Pat Fanning,Mercer,298,
2000,primary,State Senate,D,6,John Pat Fanning,Mingo,5735,
2000,primary,State Senate,D,6,John Pat Fanning,Wayne,2797,
2000,primary,State Senate,D,7,Earl Ray Tomblin,Totals,18259,1
2000,primary,State Senate,D,7,Earl Ray Tomblin,Boone,5172,
2000,primary,State Senate,D,7,Earl Ray Tomblin,Lincoln,3409,
2000,primary,State Senate,D,7,Earl Ray Tomblin,Logan,8004,
2000,primary,State Senate,D,7,Earl Ray Tomblin,Wayne,1674,
2000,primary,State Senate,D,8,Art Ashley,Totals,9623,
2000,primary,State Senate,D,8,Art Ashley,Kanawha,9623,
2000,primary,State Senate,D,8,Mark Hunt,Totals,19206,1
2000,primary,State Senate,D,8,Mark Hunt,Kanawha,19206,
2000,primary,State Senate,R,8,Vic Sprouse,Totals,11196,1
2000,primary,State Senate,R,8,Vic Sprouse,Kanawha,11196,
2000,primary,State Senate,D,9,"Billy Wayne Bailey, Jr.",Totals,11950,1
2000,primary,State Senate,D,9,"Billy Wayne Bailey, Jr.",Raleigh,7944,
2000,primary,State Senate,D,9,"Billy Wayne Bailey, Jr.",Wyoming,4006,
2000,primary,State Senate,D,10,Homer K. Ball,Totals,5165,
2000,primary,State Senate,D,10,Homer K. Ball,Fayette,969,
2000,primary,State Senate,D,10,Homer K. Ball,Mercer,2348,
2000,primary,State Senate,D,10,Homer K. Ball,Monroe,806,
2000,primary,State Senate,D,10,Homer K. Ball,Summers,1042,
2000,primary,State Senate,D,10,Anita Skeens,Totals,8179,1
2000,primary,State Senate,D,10,Anita Skeens,Fayette,1472,
2000,primary,State Senate,D,10,Anita Skeens,Mercer,4269,
2000,primary,State Senate,D,10,Anita Skeens,Monroe,963,
2000,primary,State Senate,D,10,Anita Skeens,Summers,1475,
2000,primary,State Senate,D,10,Norris Kantor,Totals,3904,
2000,primary,State Senate,D,10,Norris Kantor,Fayette,557,
2000,primary,State Senate,D,10,Norris Kantor,Mercer,2473,
2000,primary,State Senate,D,10,Norris Kantor,Monroe,362,
2000,primary,State Senate,D,10,Norris Kantor,Summers,512,
2000,primary,State Senate,D,11,Mr. Shirley Love,Totals,17099,1
2000,primary,State Senate,D,11,Mr. Shirley Love,Clay,2028,
2000,primary,State Senate,D,11,Mr. Shirley Love,Fayette,4128,
2000,primary,State Senate,D,11,Mr. Shirley Love,Greenbrier,4525,
2000,primary,State Senate,D,11,Mr. Shirley Love,Nicholas,4164,
2000,primary,State Senate,D,11,Mr. Shirley Love,Webster,2254,
2000,primary,State Senate,D,11-unexpired term,Mark Burnette,Totals,8042,1
2000,primary,State Senate,D,11-unexpired term,Mark Burnette,Clay,305,
2000,primary,State Senate,D,11-unexpired term,Mark Burnette,Fayette,1754,
2000,primary,State Senate,D,11-unexpired term,Mark Burnette,Greenbrier,3188,
2000,primary,State Senate,D,11-unexpired term,Mark Burnette,Nicholas,1827,
2000,primary,State Senate,D,11-unexpired term,Mark Burnette,Webster,968,
2000,primary,State Senate,D,11-unexpired term,James G. Dawson,Totals,7218,
2000,primary,State Senate,D,11-unexpired term,James G. Dawson,Clay,2029,
2000,primary,State Senate,D,11-unexpired term,James G. Dawson,Fayette,2093,
2000,primary,State Senate,D,11-unexpired term,James G. Dawson,Greenbrier,960,
2000,primary,State Senate,D,11-unexpired term,James G. Dawson,Nicholas,1533,
2000,primary,State Senate,D,11-unexpired term,James G. Dawson,Webster,603,
2000,primary,State Senate,R,11-unexpired term,Hiram Lewis,Totals,2673,1
2000,primary,State Senate,R,11-unexpired term,Hiram Lewis,Clay,370,
2000,primary,State Senate,R,11-unexpired term,Hiram Lewis,Fayette,499,
2000,primary,State Senate,R,11-unexpired term,Hiram Lewis,Greenbrier,962,
2000,primary,State Senate,R,11-unexpired term,Hiram Lewis,Nicholas,718,
2000,primary,State Senate,R,11-unexpired term,Hiram Lewis,Webster,124,
2000,primary,State Senate,D,12,Bill Sharpe,Totals,17123,1
2000,primary,State Senate,D,12,Bill Sharpe,Braxton,2813,
2000,primary,State Senate,D,12,Bill Sharpe,Gilmer,1564,
2000,primary,State Senate,D,12,Bill Sharpe,Harrison,11037,
2000,primary,State Senate,D,12,Bill Sharpe,Lewis,1709,
2000,primary,State Senate,D,13,"Roman W. Prezioso, Jr.",Totals,15447,1
2000,primary,State Senate,D,13,"Roman W. Prezioso, Jr.",Marion,10254,
2000,primary,State Senate,D,13,"Roman W. Prezioso, Jr.",Monongalia,5193,
2000,primary,State Senate,D,14,Jon Blair Hunter,Totals,12202,1
2000,primary,State Senate,D,14,Jon Blair Hunter,Barbour,1874,
2000,primary,State Senate,D,14,Jon Blair Hunter,Grant,68,
2000,primary,State Senate,D,14,Jon Blair Hunter,Mineral,1739,
2000,primary,State Senate,D,14,Jon Blair Hunter,Monongalia,2113,
2000,primary,State Senate,D,14,Jon Blair Hunter,Preston,2822,
2000,primary,State Senate,D,14,Jon Blair Hunter,Taylor,2267,
2000,primary,State Senate,D,14,Jon Blair Hunter,Tucker,1319,
2000,primary,State Senate,R,14,Robert D. Harman,Totals,8177,1
2000,primary,State Senate,R,14,Robert D. Harman,Barbour,1087,
2000,primary,State Senate,R,14,Robert D. Harman,Grant,317,
2000,primary,State Senate,R,14,Robert D. Harman,Mineral,1622,
2000,primary,State Senate,R,14,Robert D. Harman,Monongalia,837,
2000,primary,State Senate,R,14,Robert D. Harman,Preston,2839,
2000,primary,State Senate,R,14,Robert D. Harman,Taylor,943,
2000,primary,State Senate,R,14,Robert D. Harman,Tucker,532,
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Totals,33,1
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Barbour,6,
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Grant,1,
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Mineral,0,
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Monongalia,15,
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Preston,10,
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Taylor,1,
2000,primary,State Senate,Libertarian,14,"John R. ""Rick"" Bartlett",Tucker,0,
2000,primary,State Senate,D,15,Dave Rao,Totals,3542,
2000,primary,State Senate,D,15,Dave Rao,Grant,34,
2000,primary,State Senate,D,15,Dave Rao,Hampshire,470,
2000,primary,State Senate,D,15,Dave Rao,Hardy,284,
