year,election,office,party,district,candidate,county,votes,winner
2000,general,U.S. Senate,D,,Robert C. Byrd,Totals,469215,1
2000,general,U.S. Senate,D,,Robert C. Byrd,Barbour,4698,
2000,general,U.S. Senate,D,,Robert C. Byrd,Berkeley,12857,
2000,general,U.S. Senate,D,,Robert C. Byrd,Boone,7824,
2000,general,U.S. Senate,D,,Robert C. Byrd,Braxton,4051,
2000,general,U.S. Senate,D,,Robert C. Byrd,Brooke,6719,
2000,general,U.S. Senate,D,,Robert C. Byrd,Cabell,23559,
2000,general,U.S. Senate,D,,Robert C. Byrd,Calhoun,1981,
2000,general,U.S. Senate,D,,Robert C. Byrd,Clay,2827,
2000,general,U.S. Senate,D,,Robert C. Byrd,Doddridge,2003,
2000,general,U.S. Senate,D,,Robert C. Byrd,Fayette,11098,
2000,general,U.S. Senate,D,,Robert C. Byrd,Gilmer,2085,
2000,general,U.S. Senate,D,,Robert C. Byrd,Grant,2480,
2000,general,U.S. Senate,D,,Robert C. Byrd,Greenbrier,9750,
2000,general,U.S. Senate,D,,Robert C. Byrd,Hampshire,3925,
2000,general,U.S. Senate,D,,Robert C. Byrd,Hancock,9520,
2000,general,U.S. Senate,D,,Robert C. Byrd,Hardy,3259,
2000,general,U.S. Senate,D,,Robert C. Byrd,Harrison,22041,
2000,general,U.S. Senate,D,,Robert C. Byrd,Jackson,8337,
2000,general,U.S. Senate,D,,Robert C. Byrd,Jefferson,8648,
2000,general,U.S. Senate,D,,Robert C. Byrd,Kanawha,51885,
2000,general,U.S. Senate,D,,Robert C. Byrd,Lewis,4965,
2000,general,U.S. Senate,D,,Robert C. Byrd,Lincoln,5693,
2000,general,U.S. Senate,D,,Robert C. Byrd,Logan,10401,
2000,general,U.S. Senate,D,,Robert C. Byrd,Marion,18708,
2000,general,U.S. Senate,D,,Robert C. Byrd,Marshall,8925,
2000,general,U.S. Senate,D,,Robert C. Byrd,Mason,8686,
2000,general,U.S. Senate,D,,Robert C. Byrd,McDowell,6370,
2000,general,U.S. Senate,D,,Robert C. Byrd,Mercer,12071,
2000,general,U.S. Senate,D,,Robert C. Byrd,Mineral,7167,
2000,general,U.S. Senate,D,,Robert C. Byrd,Mingo,7809,
2000,general,U.S. Senate,D,,Robert C. Byrd,Monongalia,21321,
2000,general,U.S. Senate,D,,Robert C. Byrd,Monroe,3745,
2000,general,U.S. Senate,D,,Robert C. Byrd,Morgan,3155,
2000,general,U.S. Senate,D,,Robert C. Byrd,Nicholas,6835,
2000,general,U.S. Senate,D,,Robert C. Byrd,Ohio,12460,
2000,general,U.S. Senate,D,,Robert C. Byrd,Pendleton,2260,
2000,general,U.S. Senate,D,,Robert C. Byrd,Pleasants,2435,
2000,general,U.S. Senate,D,,Robert C. Byrd,Pocahontas,2718,
2000,general,U.S. Senate,D,,Robert C. Byrd,Preston,8040,
2000,general,U.S. Senate,D,,Robert C. Byrd,Putnam,12813,
2000,general,U.S. Senate,D,,Robert C. Byrd,Raleigh,18166,
2000,general,U.S. Senate,D,,Robert C. Byrd,Randolph,7513,
2000,general,U.S. Senate,D,,Robert C. Byrd,Ritchie,2759,
2000,general,U.S. Senate,D,,Robert C. Byrd,Roane,4069,
2000,general,U.S. Senate,D,,Robert C. Byrd,Summers,3651,
2000,general,U.S. Senate,D,,Robert C. Byrd,Taylor,4627,
2000,general,U.S. Senate,D,,Robert C. Byrd,Tucker,2718,
2000,general,U.S. Senate,D,,Robert C. Byrd,Tyler,2939,
2000,general,U.S. Senate,D,,Robert C. Byrd,Upshur,5562,
2000,general,U.S. Senate,D,,Robert C. Byrd,Wayne,10953,
2000,general,U.S. Senate,D,,Robert C. Byrd,Webster,2847,
2000,general,U.S. Senate,D,,Robert C. Byrd,Wetzel,4508,
2000,general,U.S. Senate,D,,Robert C. Byrd,Wirt,1683,
2000,general,U.S. Senate,D,,Robert C. Byrd,Wood,25007,
2000,general,U.S. Senate,D,,Robert C. Byrd,Wyoming,6089,
2000,general,U.S. Senate,R,,David T. Gallaher,Totals,121635,
2000,general,U.S. Senate,R,,David T. Gallaher,Barbour,1123,
2000,general,U.S. Senate,R,,David T. Gallaher,Berkeley,6344,
2000,general,U.S. Senate,R,,David T. Gallaher,Boone,1057,
2000,general,U.S. Senate,R,,David T. Gallaher,Braxton,797,
2000,general,U.S. Senate,R,,David T. Gallaher,Brooke,1261,
2000,general,U.S. Senate,R,,David T. Gallaher,Cabell,6618,
2000,general,U.S. Senate,R,,David T. Gallaher,Calhoun,506,
2000,general,U.S. Senate,R,,David T. Gallaher,Clay,620,
2000,general,U.S. Senate,R,,David T. Gallaher,Doddridge,698,
2000,general,U.S. Senate,R,,David T. Gallaher,Fayette,2112,
2000,general,U.S. Senate,R,,David T. Gallaher,Gilmer,460,
2000,general,U.S. Senate,R,,David T. Gallaher,Grant,1419,
2000,general,U.S. Senate,R,,David T. Gallaher,Greenbrier,2440,
2000,general,U.S. Senate,R,,David T. Gallaher,Hampshire,1850,
2000,general,U.S. Senate,R,,David T. Gallaher,Hancock,1976,
2000,general,U.S. Senate,R,,David T. Gallaher,Hardy,917,
2000,general,U.S. Senate,R,,David T. Gallaher,Harrison,3684,
2000,general,U.S. Senate,R,,David T. Gallaher,Jackson,2690,
2000,general,U.S. Senate,R,,David T. Gallaher,Jefferson,3481,
2000,general,U.S. Senate,R,,David T. Gallaher,Kanawha,15140,
2000,general,U.S. Senate,R,,David T. Gallaher,Lewis,899,
2000,general,U.S. Senate,R,,David T. Gallaher,Lincoln,1440,
2000,general,U.S. Senate,R,,David T. Gallaher,Logan,1426,
2000,general,U.S. Senate,R,,David T. Gallaher,Marion,2813,
2000,general,U.S. Senate,R,,David T. Gallaher,Marshall,2255,
2000,general,U.S. Senate,R,,David T. Gallaher,Mason,2033,
2000,general,U.S. Senate,R,,David T. Gallaher,McDowell,519,
2000,general,U.S. Senate,R,,David T. Gallaher,Mercer,4159,
2000,general,U.S. Senate,R,,David T. Gallaher,Mineral,2321,
2000,general,U.S. Senate,R,,David T. Gallaher,Mingo,1059,
2000,general,U.S. Senate,R,,David T. Gallaher,Monongalia,4360,
2000,general,U.S. Senate,R,,David T. Gallaher,Monroe,1202,
2000,general,U.S. Senate,R,,David T. Gallaher,Morgan,1765,
2000,general,U.S. Senate,R,,David T. Gallaher,Nicholas,1438,
2000,general,U.S. Senate,R,,David T. Gallaher,Ohio,3187,
2000,general,U.S. Senate,R,,David T. Gallaher,Pendleton,711,
2000,general,U.S. Senate,R,,David T. Gallaher,Pleasants,601,
2000,general,U.S. Senate,R,,David T. Gallaher,Pocahontas,569,
2000,general,U.S. Senate,R,,David T. Gallaher,Preston,1982,
2000,general,U.S. Senate,R,,David T. Gallaher,Putnam,5192,
2000,general,U.S. Senate,R,,David T. Gallaher,Raleigh,4769,
2000,general,U.S. Senate,R,,David T. Gallaher,Randolph,1567,
2000,general,U.S. Senate,R,,David T. Gallaher,Ritchie,874,
2000,general,U.S. Senate,R,,David T. Gallaher,Roane,1267,
2000,general,U.S. Senate,R,,David T. Gallaher,Summers,830,
2000,general,U.S. Senate,R,,David T. Gallaher,Taylor,983,
2000,general,U.S. Senate,R,,David T. Gallaher,Tucker,511,
2000,general,U.S. Senate,R,,David T. Gallaher,Tyler,803,
2000,general,U.S. Senate,R,,David T. Gallaher,Upshur,1601,
2000,general,U.S. Senate,R,,David T. Gallaher,Wayne,2855,
2000,general,U.S. Senate,R,,David T. Gallaher,Webster,347,
2000,general,U.S. Senate,R,,David T. Gallaher,Wetzel,1109,
2000,general,U.S. Senate,R,,David T. Gallaher,Wirt,530,
2000,general,U.S. Senate,R,,David T. Gallaher,Wood,7374,
2000,general,U.S. Senate,R,,David T. Gallaher,Wyoming,1091,
2000,general,U.S. Senate,Libertarian,,John Whelan,Totals,12627,
2000,general,U.S. Senate,Libertarian,,John Whelan,Barbour,71,
2000,general,U.S. Senate,Libertarian,,John Whelan,Berkeley,363,
2000,general,U.S. Senate,Libertarian,,John Whelan,Boone,124,
2000,general,U.S. Senate,Libertarian,,John Whelan,Braxton,50,
2000,general,U.S. Senate,Libertarian,,John Whelan,Brooke,133,
2000,general,U.S. Senate,Libertarian,,John Whelan,Cabell,721,
2000,general,U.S. Senate,Libertarian,,John Whelan,Calhoun,63,
2000,general,U.S. Senate,Libertarian,,John Whelan,Clay,61,
2000,general,U.S. Senate,Libertarian,,John Whelan,Doddridge,60,
2000,general,U.S. Senate,Libertarian,,John Whelan,Fayette,241,
2000,general,U.S. Senate,Libertarian,,John Whelan,Gilmer,89,
2000,general,U.S. Senate,Libertarian,,John Whelan,Grant,40,
2000,general,U.S. Senate,Libertarian,,John Whelan,Greenbrier,355,
2000,general,U.S. Senate,Libertarian,,John Whelan,Hampshire,133,
2000,general,U.S. Senate,Libertarian,,John Whelan,Hancock,209,
2000,general,U.S. Senate,Libertarian,,John Whelan,Hardy,47,
2000,general,U.S. Senate,Libertarian,,John Whelan,Harrison,462,
2000,general,U.S. Senate,Libertarian,,John Whelan,Jackson,238,
2000,general,U.S. Senate,Libertarian,,John Whelan,Jefferson,257,
2000,general,U.S. Senate,Libertarian,,John Whelan,Kanawha,1526,
2000,general,U.S. Senate,Libertarian,,John Whelan,Lewis,197,
2000,general,U.S. Senate,Libertarian,,John Whelan,Lincoln,149,
2000,general,U.S. Senate,Libertarian,,John Whelan,Logan,137,
2000,general,U.S. Senate,Libertarian,,John Whelan,Marion,310,
2000,general,U.S. Senate,Libertarian,,John Whelan,Marshall,234,
2000,general,U.S. Senate,Libertarian,,John Whelan,Mason,323,
2000,general,U.S. Senate,Libertarian,,John Whelan,McDowell,211,
2000,general,U.S. Senate,Libertarian,,John Whelan,Mercer,366,
2000,general,U.S. Senate,Libertarian,,John Whelan,Mineral,151,
2000,general,U.S. Senate,Libertarian,,John Whelan,Mingo,62,
2000,general,U.S. Senate,Libertarian,,John Whelan,Monongalia,938,
2000,general,U.S. Senate,Libertarian,,John Whelan,Monroe,118,
2000,general,U.S. Senate,Libertarian,,John Whelan,Morgan,46,
2000,general,U.S. Senate,Libertarian,,John Whelan,Nicholas,163,
2000,general,U.S. Senate,Libertarian,,John Whelan,Ohio,363,
2000,general,U.S. Senate,Libertarian,,John Whelan,Pendleton,26,
2000,general,U.S. Senate,Libertarian,,John Whelan,Pleasants,36,
2000,general,U.S. Senate,Libertarian,,John Whelan,Pocahontas,74,
2000,general,U.S. Senate,Libertarian,,John Whelan,Preston,228,
2000,general,U.S. Senate,Libertarian,,John Whelan,Putnam,349,
2000,general,U.S. Senate,Libertarian,,John Whelan,Raleigh,752,
2000,general,U.S. Senate,Libertarian,,John Whelan,Randolph,220,
2000,general,U.S. Senate,Libertarian,,John Whelan,Ritchie,84,
2000,general,U.S. Senate,Libertarian,,John Whelan,Roane,125,
2000,general,U.S. Senate,Libertarian,,John Whelan,Summers,131,
2000,general,U.S. Senate,Libertarian,,John Whelan,Taylor,79,
2000,general,U.S. Senate,Libertarian,,John Whelan,Tucker,57,
2000,general,U.S. Senate,Libertarian,,John Whelan,Tyler,78,
2000,general,U.S. Senate,Libertarian,,John Whelan,Upshur,123,
2000,general,U.S. Senate,Libertarian,,John Whelan,Wayne,151,
2000,general,U.S. Senate,Libertarian,,John Whelan,Webster,58,
2000,general,U.S. Senate,Libertarian,,John Whelan,Wetzel,78,
2000,general,U.S. Senate,Libertarian,,John Whelan,Wirt,31,
2000,general,U.S. Senate,Libertarian,,John Whelan,Wood,714,
2000,general,U.S. Senate,Libertarian,,John Whelan,Wyoming,222,
