year,election,office,party,county,candidate,votes,winner
2004,primary,Commissioner of Agriculture,D,Barbour,Gus R. Douglass,2025,
2004,primary,Commissioner of Agriculture,D,Berkeley,Gus R. Douglass,4193,
2004,primary,Commissioner of Agriculture,D,Boone,Gus R. Douglass,5296,
2004,primary,Commissioner of Agriculture,D,Braxton,Gus R. Douglass,2691,
2004,primary,Commissioner of Agriculture,D,Brooke,Gus R. Douglass,4090,
2004,primary,Commissioner of Agriculture,D,Cabell,Gus R. Douglass,9276,
2004,primary,Commissioner of Agriculture,D,Calhoun,Gus R. Douglass,1183,
2004,primary,Commissioner of Agriculture,D,Clay,Gus R. Douglass,2045,
2004,primary,Commissioner of Agriculture,D,Doddridge,Gus R. Douglass,519,
2004,primary,Commissioner of Agriculture,D,Fayette,Gus R. Douglass,6359,
2004,primary,Commissioner of Agriculture,D,Gilmer,Gus R. Douglass,1462,
2004,primary,Commissioner of Agriculture,D,Grant,Gus R. Douglass,297,
2004,primary,Commissioner of Agriculture,D,Greenbrier,Gus R. Douglass,4837,
2004,primary,Commissioner of Agriculture,D,Hampshire,Gus R. Douglass,2039,
2004,primary,Commissioner of Agriculture,D,Hancock,Gus R. Douglass,4556,
2004,primary,Commissioner of Agriculture,D,Hardy,Gus R. Douglass,1701,
2004,primary,Commissioner of Agriculture,D,Harrison,Gus R. Douglass,10842,
2004,primary,Commissioner of Agriculture,D,Jackson,Gus R. Douglass,3337,
2004,primary,Commissioner of Agriculture,D,Jefferson,Gus R. Douglass,3710,
2004,primary,Commissioner of Agriculture,D,Kanawha,Gus R. Douglass,22677,
2004,primary,Commissioner of Agriculture,D,Lewis,Gus R. Douglass,2255,
2004,primary,Commissioner of Agriculture,D,Lincoln,Gus R. Douglass,3572,
2004,primary,Commissioner of Agriculture,D,Logan,Gus R. Douglass,4713,
2004,primary,Commissioner of Agriculture,D,Marion,Gus R. Douglass,9791,
2004,primary,Commissioner of Agriculture,D,Marshall,Gus R. Douglass,4967,
2004,primary,Commissioner of Agriculture,D,Mason,Gus R. Douglass,3926,
2004,primary,Commissioner of Agriculture,D,McDowell,Gus R. Douglass,3617,
2004,primary,Commissioner of Agriculture,D,Mercer,Gus R. Douglass,6804,
2004,primary,Commissioner of Agriculture,D,Mineral,Gus R. Douglass,2401,
2004,primary,Commissioner of Agriculture,D,Mingo,Gus R. Douglass,4923,
2004,primary,Commissioner of Agriculture,D,Monongalia,Gus R. Douglass,7563,
2004,primary,Commissioner of Agriculture,D,Monroe,Gus R. Douglass,1782,
2004,primary,Commissioner of Agriculture,D,Morgan,Gus R. Douglass,714,
2004,primary,Commissioner of Agriculture,D,Nicholas,Gus R. Douglass,4014,
2004,primary,Commissioner of Agriculture,D,Ohio,Gus R. Douglass,5440,
2004,primary,Commissioner of Agriculture,D,Pendleton,Gus R. Douglass,1354,
2004,primary,Commissioner of Agriculture,D,Pleasants,Gus R. Douglass,1111,
2004,primary,Commissioner of Agriculture,D,Pocahontas,Gus R. Douglass,1342,
2004,primary,Commissioner of Agriculture,D,Preston,Gus R. Douglass,2613,
2004,primary,Commissioner of Agriculture,D,Putnam,Gus R. Douglass,5878,
2004,primary,Commissioner of Agriculture,D,Raleigh,Gus R. Douglass,7945,
2004,primary,Commissioner of Agriculture,D,Randolph,Gus R. Douglass,4477,
2004,primary,Commissioner of Agriculture,D,Ritchie,Gus R. Douglass,643,
2004,primary,Commissioner of Agriculture,D,Roane,Gus R. Douglass,1732,
2004,primary,Commissioner of Agriculture,D,Summers,Gus R. Douglass,2095,
2004,primary,Commissioner of Agriculture,D,Taylor,Gus R. Douglass,2241,
2004,primary,Commissioner of Agriculture,D,Tucker,Gus R. Douglass,1252,
2004,primary,Commissioner of Agriculture,D,Tyler,Gus R. Douglass,868,
2004,primary,Commissioner of Agriculture,D,Upshur,Gus R. Douglass,1899,
2004,primary,Commissioner of Agriculture,D,Wayne,Gus R. Douglass,4979,
2004,primary,Commissioner of Agriculture,D,Webster,Gus R. Douglass,2270,
2004,primary,Commissioner of Agriculture,D,Wetzel,Gus R. Douglass,3233,
2004,primary,Commissioner of Agriculture,D,Wirt,Gus R. Douglass,903,
2004,primary,Commissioner of Agriculture,D,Wood,Gus R. Douglass,7319,
2004,primary,Commissioner of Agriculture,D,Wyoming,Gus R. Douglass,3298,
2004,primary,Commissioner of Agriculture,D,Totals,Gus R. Douglass,217069,1
2004,primary,Commissioner of Agriculture,R,Barbour,Lawrence T. Beckerle,388,
2004,primary,Commissioner of Agriculture,R,Berkeley,Lawrence T. Beckerle,700,
2004,primary,Commissioner of Agriculture,R,Boone,Lawrence T. Beckerle,219,
2004,primary,Commissioner of Agriculture,R,Braxton,Lawrence T. Beckerle,284,
2004,primary,Commissioner of Agriculture,R,Brooke,Lawrence T. Beckerle,240,
2004,primary,Commissioner of Agriculture,R,Cabell,Lawrence T. Beckerle,2006,
2004,primary,Commissioner of Agriculture,R,Calhoun,Lawrence T. Beckerle,156,
2004,primary,Commissioner of Agriculture,R,Clay,Lawrence T. Beckerle,302,
2004,primary,Commissioner of Agriculture,R,Doddridge,Lawrence T. Beckerle,479,
2004,primary,Commissioner of Agriculture,R,Fayette,Lawrence T. Beckerle,774,
2004,primary,Commissioner of Agriculture,R,Gilmer,Lawrence T. Beckerle,166,
2004,primary,Commissioner of Agriculture,R,Grant,Lawrence T. Beckerle,226,
2004,primary,Commissioner of Agriculture,R,Greenbrier,Lawrence T. Beckerle,950,
2004,primary,Commissioner of Agriculture,R,Hampshire,Lawrence T. Beckerle,68,
2004,primary,Commissioner of Agriculture,R,Hancock,Lawrence T. Beckerle,341,
2004,primary,Commissioner of Agriculture,R,Hardy,Lawrence T. Beckerle,21,
2004,primary,Commissioner of Agriculture,R,Harrison,Lawrence T. Beckerle,1321,
2004,primary,Commissioner of Agriculture,R,Jackson,Lawrence T. Beckerle,1056,
2004,primary,Commissioner of Agriculture,R,Jefferson,Lawrence T. Beckerle,440,
2004,primary,Commissioner of Agriculture,R,Kanawha,Lawrence T. Beckerle,4599,
2004,primary,Commissioner of Agriculture,R,Lewis,Lawrence T. Beckerle,685,
2004,primary,Commissioner of Agriculture,R,Lincoln,Lawrence T. Beckerle,262,
2004,primary,Commissioner of Agriculture,R,Logan,Lawrence T. Beckerle,100,
2004,primary,Commissioner of Agriculture,R,Marion,Lawrence T. Beckerle,781,
2004,primary,Commissioner of Agriculture,R,Marshall,Lawrence T. Beckerle,714,
2004,primary,Commissioner of Agriculture,R,Mason,Lawrence T. Beckerle,751,
2004,primary,Commissioner of Agriculture,R,McDowell,Lawrence T. Beckerle,87,
2004,primary,Commissioner of Agriculture,R,Mercer,Lawrence T. Beckerle,882,
2004,primary,Commissioner of Agriculture,R,Mineral,Lawrence T. Beckerle,176,
2004,primary,Commissioner of Agriculture,R,Mingo,Lawrence T. Beckerle,124,
2004,primary,Commissioner of Agriculture,R,Monongalia,Lawrence T. Beckerle,1071,
2004,primary,Commissioner of Agriculture,R,Monroe,Lawrence T. Beckerle,372,
2004,primary,Commissioner of Agriculture,R,Morgan,Lawrence T. Beckerle,117,
2004,primary,Commissioner of Agriculture,R,Nicholas,Lawrence T. Beckerle,894,
2004,primary,Commissioner of Agriculture,R,Ohio,Lawrence T. Beckerle,1039,
2004,primary,Commissioner of Agriculture,R,Pendleton,Lawrence T. Beckerle,38,
2004,primary,Commissioner of Agriculture,R,Pleasants,Lawrence T. Beckerle,173,
2004,primary,Commissioner of Agriculture,R,Pocahontas,Lawrence T. Beckerle,377,
2004,primary,Commissioner of Agriculture,R,Preston,Lawrence T. Beckerle,657,
2004,primary,Commissioner of Agriculture,R,Putnam,Lawrence T. Beckerle,1878,
2004,primary,Commissioner of Agriculture,R,Raleigh,Lawrence T. Beckerle,1576,
2004,primary,Commissioner of Agriculture,R,Randolph,Lawrence T. Beckerle,357,
2004,primary,Commissioner of Agriculture,R,Ritchie,Lawrence T. Beckerle,363,
2004,primary,Commissioner of Agriculture,R,Roane,Lawrence T. Beckerle,568,
2004,primary,Commissioner of Agriculture,R,Summers,Lawrence T. Beckerle,219,
2004,primary,Commissioner of Agriculture,R,Taylor,Lawrence T. Beckerle,379,
2004,primary,Commissioner of Agriculture,R,Tucker,Lawrence T. Beckerle,130,
2004,primary,Commissioner of Agriculture,R,Tyler,Lawrence T. Beckerle,492,
2004,primary,Commissioner of Agriculture,R,Upshur,Lawrence T. Beckerle,1248,
2004,primary,Commissioner of Agriculture,R,Wayne,Lawrence T. Beckerle,412,
2004,primary,Commissioner of Agriculture,R,Webster,Lawrence T. Beckerle,168,
2004,primary,Commissioner of Agriculture,R,Wetzel,Lawrence T. Beckerle,218,
