year,election,office,district,party,candidate,county,votes,winner
2000,general,House of Delegates,1,D,Joe DeLong,Totals,7772,1
2000,general,House of Delegates,1,D,Joe DeLong,Brooke,548,
2000,general,House of Delegates,1,D,Joe DeLong,Hancock,7224,
2000,general,House of Delegates,1,D,Randy Swartzmiller,Totals,7194,1
2000,general,House of Delegates,1,D,Randy Swartzmiller,Brooke,433,
2000,general,House of Delegates,1,D,Randy Swartzmiller,Hancock,6761,
2000,general,House of Delegates,1,R,Peggy Miller Bahnsen,Totals,6539,
2000,general,House of Delegates,1,R,Peggy Miller Bahnsen,Brooke,358,
2000,general,House of Delegates,1,R,Peggy Miller Bahnsen,Hancock,6181,
2000,general,House of Delegates,2,D,Tim Ennis,Totals,8202,1
2000,general,House of Delegates,2,D,Tim Ennis,Brooke,6276,
2000,general,House of Delegates,2,D,Tim Ennis,Ohio,1926,
2000,general,House of Delegates,2,D,Roy Givens,Totals,8193,1
2000,general,House of Delegates,2,D,Roy Givens,Brooke,6247,
2000,general,House of Delegates,2,D,Roy Givens,Ohio,1946,
2000,general,House of Delegates,2,R,Roger L. Trabert,Totals,4235,
2000,general,House of Delegates,2,R,Roger L. Trabert,Brooke,1852,
2000,general,House of Delegates,2,R,Roger L. Trabert,Ohio,2393,
2000,general,House of Delegates,3,D,"Richard ""Rick"" Altman",Totals,5230,
2000,general,House of Delegates,3,D,"Richard ""Rick"" Altman",Ohio,5230,
2000,general,House of Delegates,3,D,"John ""Jack"" Fahey",Totals,8042,1
2000,general,House of Delegates,3,D,"John ""Jack"" Fahey",Ohio,8042,
2000,general,House of Delegates,3,R,L. Gil White,Totals,6743,1
2000,general,House of Delegates,3,R,L. Gil White,Ohio,6743,
2000,general,House of Delegates,3,Libertarian,Stephen Dajchak,Totals,929,
2000,general,House of Delegates,3,Libertarian,Stephen Dajchak,Ohio,929,
2000,general,House of Delegates,4,D,Kenneth D. Tucker,Totals,6372,1
2000,general,House of Delegates,4,D,Kenneth D. Tucker,Marshall,6307,
2000,general,House of Delegates,4,D,Kenneth D. Tucker,Ohio,65,
2000,general,House of Delegates,4,D,Scott G. Varner,Totals,8673,1
2000,general,House of Delegates,4,D,Scott G. Varner,Marshall,8595,
2000,general,House of Delegates,4,D,Scott G. Varner,Ohio,77,
2000,general,House of Delegates,4,R,Donald A. Haskins,Totals,6009,
2000,general,House of Delegates,4,R,Donald A. Haskins,Marshall,5986,
2000,general,House of Delegates,4,R,Donald A. Haskins,Ohio,23,
2000,general,House of Delegates,4,R,Joseph D. Parriott,Totals,3206,
2000,general,House of Delegates,4,R,Joseph D. Parriott,Marshall,3192,
2000,general,House of Delegates,4,R,Joseph D. Parriott,Ohio,14,
2000,general,House of Delegates,5,D,Dave Pethtel,Totals,3658,1
2000,general,House of Delegates,5,D,Dave Pethtel,Wetzel,3658,
2000,general,House of Delegates,5,R,"Charles Clements, Jr.",Totals,2309,
2000,general,House of Delegates,5,R,"Charles Clements, Jr.",Wetzel,2309,
2000,general,House of Delegates,6,R,Wm. Roger Romine,Totals,5545,1
2000,general,House of Delegates,6,R,Wm. Roger Romine,Doddridge,2192,
2000,general,House of Delegates,6,R,Wm. Roger Romine,Tyler,3127,
2000,general,House of Delegates,6,R,Wm. Roger Romine,Wetzel,226,
2000,general,House of Delegates,7,R,Otis A. Leggett,Totals,5809,1
2000,general,House of Delegates,7,R,Otis A. Leggett,Gilmer,225,
2000,general,House of Delegates,7,R,Otis A. Leggett,Pleasants,2399,
2000,general,House of Delegates,7,R,Otis A. Leggett,Ritchie,3185,
2000,general,House of Delegates,8,D,Pat Criss,Totals,2445,
2000,general,House of Delegates,8,D,Pat Criss,Wood,2445,
2000,general,House of Delegates,8,R,"E. W. ""Bill"" Anderson, Jr.",Totals,4919,1
2000,general,House of Delegates,8,R,"E. W. ""Bill"" Anderson, Jr.",Wood,4919,
2000,general,House of Delegates,9,D,Kent A. Brown,Totals,3045,
2000,general,House of Delegates,9,D,Kent A. Brown,Wirt,990,
2000,general,House of Delegates,9,D,Kent A. Brown,Wood,2055,
2000,general,House of Delegates,9,R,Larry Border,Totals,4108,1
2000,general,House of Delegates,9,R,Larry Border,Wirt,1190,
2000,general,House of Delegates,9,R,Larry Border,Wood,2918,
2000,general,House of Delegates,10,D,J. D. Beane,Totals,11084,1
2000,general,House of Delegates,10,D,J. D. Beane,Wood,11084,
2000,general,House of Delegates,10,D,Larry Godfrey,Totals,7555,
2000,general,House of Delegates,10,D,Larry Godfrey,Wood,7555,
2000,general,House of Delegates,10,D,Guy Lowther,Totals,5161,
2000,general,House of Delegates,10,D,Guy Lowther,Wood,5161,
