year,election,office,party,district,candidate,county,votes,winner
2000,general,U.S. House,D,1,Alan B. Mollohan,Barbour,4384,
2000,general,U.S. House,D,1,Alan B. Mollohan,Brooke,7989,
2000,general,U.S. House,D,1,Alan B. Mollohan,Doddridge,2074,
2000,general,U.S. House,D,1,Alan B. Mollohan,Grant,2002,
2000,general,U.S. House,D,1,Alan B. Mollohan,Hancock,9756,
2000,general,U.S. House,D,1,Alan B. Mollohan,Harrison,21713,
2000,general,U.S. House,D,1,Alan B. Mollohan,Marion,18456,
2000,general,U.S. House,D,1,Alan B. Mollohan,Marshall,10826,
2000,general,U.S. House,D,1,Alan B. Mollohan,Mineral,7178,
2000,general,U.S. House,D,1,Alan B. Mollohan,Monongalia,18321,
2000,general,U.S. House,D,1,Alan B. Mollohan,Ohio,14050,
2000,general,U.S. House,D,1,Alan B. Mollohan,Pleasants,2476,
2000,general,U.S. House,D,1,Alan B. Mollohan,Preston,7303,
2000,general,U.S. House,D,1,Alan B. Mollohan,Ritchie,2942,
2000,general,U.S. House,D,1,Alan B. Mollohan,Taylor,4514,
2000,general,U.S. House,D,1,Alan B. Mollohan,Tucker,2621,
2000,general,U.S. House,D,1,Alan B. Mollohan,Tyler,3093,
2000,general,U.S. House,D,1,Alan B. Mollohan,Wetzel,5201,
2000,general,U.S. House,D,1,Alan B. Mollohan,Wood,26075,
2000,general,U.S. House,D,1,Alan B. Mollohan,Total,170974,1
2000,general,U.S. House,Libertarian,1,Richard Kerr,Barbour,344,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Brooke,661,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Doddridge,297,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Grant,189,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Hancock,683,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Harrison,2313,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Marion,1463,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Marshall,1182,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Mineral,1138,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Monongalia,6532,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Ohio,1914,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Pleasants,148,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Preston,1859,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Ritchie,307,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Taylor,372,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Tucker,334,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Tyler,378,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Wetzel,409,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Wood,3274,
2000,general,U.S. House,Libertarian,1,Richard Kerr,Total,23797,
2000,general,U.S. House,D,2,Jim Humphreys,Berkeley,8787,
2000,general,U.S. House,D,2,Jim Humphreys,Braxton,3000,
2000,general,U.S. House,D,2,Jim Humphreys,Calhoun,1310,
2000,general,U.S. House,D,2,Jim Humphreys,Clay,1956,
2000,general,U.S. House,D,2,Jim Humphreys,Gilmer,1437,
2000,general,U.S. House,D,2,Jim Humphreys,Hampshire,2242,
