year,election,office,district,party,candidate,county,votes,winner
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Totals,166583,1
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Barbour,4244,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Brooke,7742,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Cabell,1623,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Doddridge,2109,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Gilmer,1770,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Grant,9195,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Hancock,21237,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Marion,15844,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Marshall,9960,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Mineral,6136,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Monongalia,22534,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Ohio,13792,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Pleasants,2340,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Preston,6970,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Ritchie,2405,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Taylor,4511,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Tucker,2059,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Tyler,2762,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Wetzel,5013,
2004,general,U.S. House of Representatives,1,D,Alan B. Mollohan,Wood,24337,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Totals,79196,
2004,general,U.S. House of Representatives,1,R,Alan Lee Parks,Barbour,1955,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Brooke,2351,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Cabell,1493,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Doddridge,636,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Gilmer,2196,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Grant,3196,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Hancock,8587,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Marion,7602,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Marshall,4246,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Mineral,4838,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Monongalia,9782,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Ohio,5698,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Pleasants,899,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Preston,4531,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Ritchie,1648,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Taylor,1724,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Tucker,1379,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Tyler,1364,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Wetzel,1643,
2004,general,U.S. House of Representatives,1,D,Alan Lee Parks,Wood,13428,
2004,general,U.S. House of Representatives,2,D,Erik Wells,Totals,106131,
2004,general,U.S. House of Representatives,2,D,Erik Wells,Berkeley,9549,
2004,general,U.S. House of Representatives,2,D,Erik Wells,Braxton,3074,
2004,general,U.S. House of Representatives,2,D,Erik Wells,Calhoun,1307,
