year,election,office,party,candidate,county,votes,winner
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Barbour,4518,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Berkeley,16821,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Boone,7708,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Braxton,3914,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Brooke,7669,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Cabell,22587,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Calhoun,2083,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Clay,2961,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Doddridge,2078,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Fayette,12119,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Gilmer,2256,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Grant,2241,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Greenbrier,10012,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Hampshire,4406,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Hancock,8369,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Hardy,3212,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Harrison,21624,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Jackson,9185,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Jefferson,10450,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Kanawha,55896,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Lewis,5143,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Lincoln,5836,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Logan,9635,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Marion,17596,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Marshall,10515,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mason,9652,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,McDowell,5736,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mercer,14105,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mineral,7449,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Mingo,7519,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Monongalia,20585,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Monroe,3930,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Morgan,2706,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Nicholas,6944,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Ohio,13470,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Pendleton,2094,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Pleasants,2506,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Pocahontas,2775,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Preston,8153,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Putnam,15463,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Raleigh,18533,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Randolph,7469,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Ritchie,2857,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Roane,4455,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Summers,3664,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Taylor,4542,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Tucker,2586,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Tyler,3076,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Upshur,6399,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wayne,9220,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Webster,2755,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wetzel,5066,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wirt,1796,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wood,25733,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Wyoming,5576,
2000,primary,Commissioner of Agriculture,D,Gus R. Douglass,Totals,485648,1
