year,election,party,office,district,candidate,county,votes,winner
2006,general,D,State Senate,1,Edwin J. Bowman,Brooke,4447,
2006,general,D,State Senate,1,Edwin J. Bowman,Hancock,5496,
2006,general,D,State Senate,1,Edwin J. Bowman,Ohio,7946,
2006,general,D,State Senate,1,Edwin J. Bowman,Totals,17889,1
2006,general,R,State Senate,1,"George Village, III",Brooke,1579,
2006,general,R,State Senate,1,"George Village, III",Hancock,2593,
2006,general,R,State Senate,1,"George Village, III",Ohio,3518,
2006,general,R,State Senate,1,"George Village, III",Totals,7690,
2006,general,D,State Senate,2,Larry J. Edgell,Calhoun,1019,
2006,general,D,State Senate,2,Larry J. Edgell,Doddridge,802,
2006,general,D,State Senate,2,Larry J. Edgell,Marion,874,
2006,general,D,State Senate,2,Larry J. Edgell,Marshall,6627,
2006,general,D,State Senate,2,Larry J. Edgell,Monongalia,1158,
2006,general,D,State Senate,2,Larry J. Edgell,Ohio,586,
2006,general,D,State Senate,2,Larry J. Edgell,Ritchie,1272,
2006,general,D,State Senate,2,Larry J. Edgell,Tyler,1425,
2006,general,D,State Senate,2,Larry J. Edgell,Wetzel,3246,
2006,general,D,State Senate,2,Larry J. Edgell,Totals,17009,1
2006,general,R,State Senate,2,Wayne A. Weber,Calhoun,522,
2006,general,R,State Senate,2,Wayne A. Weber,Doddridge,859,
2006,general,R,State Senate,2,Wayne A. Weber,Marion,359,
2006,general,R,State Senate,2,Wayne A. Weber,Marshall,3312,
2006,general,R,State Senate,2,Wayne A. Weber,Monongalia,571,
2006,general,R,State Senate,2,Wayne A. Weber,Ohio,250,
2006,general,R,State Senate,2,Wayne A. Weber,Ritchie,1107,
2006,general,R,State Senate,2,Wayne A. Weber,Tyler,1014,
2006,general,R,State Senate,2,Wayne A. Weber,Wetzel,1190,
2006,general,R,State Senate,2,Wayne A. Weber,Totals,9184,
2006,general,R,State Senate,3,J. Frank Deem,Pleasants,1310,
2006,general,R,State Senate,3,J. Frank Deem,Roane,1249,
2006,general,R,State Senate,3,J. Frank Deem,Wirt,911,
2006,general,R,State Senate,3,J. Frank Deem,Wood,16460,
2006,general,R,State Senate,3,J. Frank Deem,Totals,19930,1
2006,general,Write-In,State Senate,3,Larry Eugene Butcher,Pleasants,47,
2006,general,Write-In,State Senate,3,Larry Eugene Butcher,Roane,5,
2006,general,Write-In,State Senate,3,Larry Eugene Butcher,Wirt,3,
2006,general,Write-In,State Senate,3,Larry Eugene Butcher,Wood,37,
2006,general,Write-In,State Senate,3,Larry Eugene Butcher,Totals,92,
2006,general,D,State Senate,4,Jim Lees,Jackson,4552,
2006,general,D,State Senate,4,Jim Lees,Mason,3418,
2006,general,D,State Senate,4,Jim Lees,Putnam,7376,
2006,general,D,State Senate,4,Jim Lees,Roane,789,
2006,general,D,State Senate,4,Jim Lees,Totals,16135,
2006,general,R,State Senate,4,Mike Hall,Jackson,4674,
2006,general,R,State Senate,4,Mike Hall,Mason,3704,
2006,general,R,State Senate,4,Mike Hall,Putnam,8282,
2006,general,R,State Senate,4,Mike Hall,Roane,778,
2006,general,R,State Senate,4,Mike Hall,Totals,17438,1
2006,general,D,State Senate,5,Evan H. Jenkins,Cabell,15158,
2006,general,D,State Senate,5,Evan H. Jenkins,Wayne,1344,
2006,general,D,State Senate,5,Evan H. Jenkins,Totals,16502,1
2006,general,R,State Senate,5,Thomas F. Scott,Cabell,8522,
2006,general,R,State Senate,5,Thomas F. Scott,Wayne,735,
2006,general,R,State Senate,5,Thomas F. Scott,Totals,9257,
2006,general,D,State Senate,6,H. Truman Chafin,McDowell,3282,
2006,general,D,State Senate,6,H. Truman Chafin,Mercer,3138,
2006,general,D,State Senate,6,H. Truman Chafin,Mingo,4579,
2006,general,D,State Senate,6,H. Truman Chafin,Wayne,3270,
2006,general,D,State Senate,6,H. Truman Chafin,Wyoming,352,
2006,general,D,State Senate,6,H. Truman Chafin,Totals,14621,1
2006,general,D,State Senate,7,Ron Stollings,Boone,4667,
2006,general,D,State Senate,7,Ron Stollings,Lincoln,3706,
2006,general,D,State Senate,7,Ron Stollings,Logan,5808,
2006,general,D,State Senate,7,Ron Stollings,Wayne,2256,
2006,general,D,State Senate,7,Ron Stollings,Totals,16437,1
2006,general,R,State Senate,7,Larry Lyon,Boone,1196,
2006,general,R,State Senate,7,Larry Lyon,Lincoln,1491,
2006,general,R,State Senate,7,Larry Lyon,Logan,1032,
2006,general,R,State Senate,7,Larry Lyon,Wayne,1146,
2006,general,R,State Senate,7,Larry Lyon,Totals,4865,
2006,general,D,State Senate,8,Erik Wells,Kanawha,31073,
2006,general,D,State Senate,8,Erik Wells,Totals,31073,1
2006,general,R,State Senate,8,Mark Plants,Kanawha,22408,
2006,general,R,State Senate,8,Mark Plants,Totals,22408,
2006,general,D,State Senate,9,Mike Green,Raleigh,9114,
2006,general,D,State Senate,9,Mike Green,Wyoming,2995,
2006,general,D,State Senate,9,Mike Green,Totals,12109,1
2006,general,R,State Senate,9,Russ Weeks,Raleigh,8065,
2006,general,R,State Senate,9,Russ Weeks,Wyoming,1563,
2006,general,R,State Senate,9,Russ Weeks,Totals,9628,
2006,general,D,State Senate,10,Frederick L. Parker,Fayette,374,
2006,general,D,State Senate,10,Frederick L. Parker,Greenbrier,3594,
2006,general,D,State Senate,10,Frederick L. Parker,Mercer,3790,
2006,general,D,State Senate,10,Frederick L. Parker,Monroe,2298,
2006,general,D,State Senate,10,Frederick L. Parker,Summers,1793,
2006,general,D,State Senate,10,Frederick L. Parker,Totals,11849,
2006,general,R,State Senate,10,Jesse Guills,Fayette,228,
2006,general,R,State Senate,10,Jesse Guills,Greenbrier,4790,
2006,general,R,State Senate,10,Jesse Guills,Mercer,4444,
2006,general,R,State Senate,10,Jesse Guills,Monroe,1582,
2006,general,R,State Senate,10,Jesse Guills,Summers,1366,
2006,general,R,State Senate,10,Jesse Guills,Totals,12590,1
2006,general,D,State Senate,11,C. Randy White,Clay,1103,
2006,general,D,State Senate,11,C. Randy White,Fayette,5060,
2006,general,D,State Senate,11,C. Randy White,Nicholas,3108,
2006,general,D,State Senate,11,C. Randy White,Upshur,2435,
2006,general,D,State Senate,11,C. Randy White,Webster,1285,
2006,general,D,State Senate,11,C. Randy White,Totals,12991,1
2006,general,R,State Senate,11,"Harold ""Pete"" Sigler",Clay,1089,
2006,general,R,State Senate,11,"Harold ""Pete"" Sigler",Fayette,3522,
2006,general,R,State Senate,11,"Harold ""Pete"" Sigler",Nicholas,3402,
2006,general,R,State Senate,11,"Harold ""Pete"" Sigler",Upshur,2597,
2006,general,R,State Senate,11,"Harold ""Pete"" Sigler",Webster,1069,
2006,general,R,State Senate,11,"Harold ""Pete"" Sigler",Totals,11679,
2006,general,D,State Senate,12,"Joseph ""Joe"" Minard",Braxton,2691,
2006,general,D,State Senate,12,"Joseph ""Joe"" Minard",Gilmer,1404,
2006,general,D,State Senate,12,"Joseph ""Joe"" Minard",Harrison,14607,
2006,general,D,State Senate,12,"Joseph ""Joe"" Minard",Lewis,3516,
2006,general,D,State Senate,12,"Joseph ""Joe"" Minard",Totals,22218,1
2006,general,D,State Senate,13,Mike Oliverio,Marion,12076,
2006,general,D,State Senate,13,Mike Oliverio,Monongalia,12984,
2006,general,D,State Senate,13,Mike Oliverio,Totals,25060,1
2006,general,D,State Senate,14,A. Craig Rotruck,Barbour,1921,
2006,general,D,State Senate,14,A. Craig Rotruck,Grant,169,
2006,general,D,State Senate,14,A. Craig Rotruck,Mineral,3804,
2006,general,D,State Senate,14,A. Craig Rotruck,Monongalia,1877,
2006,general,D,State Senate,14,A. Craig Rotruck,Preston,3489,
2006,general,D,State Senate,14,A. Craig Rotruck,Taylor,195,
2006,general,D,State Senate,14,A. Craig Rotruck,Tucker,1122,
2006,general,D,State Senate,14,A. Craig Rotruck,Totals,14334,
2006,general,R,State Senate,14,Dave Sypolt,Barbour,2153,
2006,general,R,State Senate,14,Dave Sypolt,Grant,376,
2006,general,R,State Senate,14,Dave Sypolt,Mineral,3384,
2006,general,R,State Senate,14,Dave Sypolt,Monongalia,1798,
2006,general,R,State Senate,14,Dave Sypolt,Preston,4882,
2006,general,R,State Senate,14,Dave Sypolt,Taylor,2090,
2006,general,R,State Senate,14,Dave Sypolt,Tucker,1374,
2006,general,R,State Senate,14,Dave Sypolt,Totals,16057,1
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Barbour,0,
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Grant,0,
