year,election,office,party,district,candidate,county,votes,winner
2000,general,State Senate,D,11,Mark Burnette,Totals,24568,TRUE
2000,general,State Senate,D,11,Mark Burnette,Clay,1827,
2000,general,State Senate,D,11,Mark Burnette,Fayette,5958,
2000,general,State Senate,D,11,Mark Burnette,Greenbrier,8846,
2000,general,State Senate,D,11,Mark Burnette,Nicholas,5472,
2000,general,State Senate,D,11,Mark Burnette,Webster,2465,
2000,general,State Senate,R,11,Hiram Lewis,Totals,8960,
2000,general,State Senate,R,11,Hiram Lewis,Clay,1461,
2000,general,State Senate,R,11,Hiram Lewis,Fayette,1867,
2000,general,State Senate,R,11,Hiram Lewis,Greenbrier,3031,
2000,general,State Senate,R,11,Hiram Lewis,Nicholas,2109,
2000,general,State Senate,R,11,Hiram Lewis,Webster,492,
