year,election,office,party,county,candidate,votes,winner
2004,primary,Attorney General,D,Barbour,Darrell McGraw,1992,
2004,primary,Attorney General,D,Berkeley,Darrell McGraw,3858,
2004,primary,Attorney General,D,Boone,Darrell McGraw,5407,
2004,primary,Attorney General,D,Braxton,Darrell McGraw,2611,
2004,primary,Attorney General,D,Brooke,Darrell McGraw,4031,
2004,primary,Attorney General,D,Cabell,Darrell McGraw,9427,
2004,primary,Attorney General,D,Calhoun,Darrell McGraw,1140,
2004,primary,Attorney General,D,Clay,Darrell McGraw,1998,
2004,primary,Attorney General,D,Doddridge,Darrell McGraw,482,
2004,primary,Attorney General,D,Fayette,Darrell McGraw,6341,
2004,primary,Attorney General,D,Gilmer,Darrell McGraw,1368,
2004,primary,Attorney General,D,Grant,Darrell McGraw,265,
2004,primary,Attorney General,D,Greenbrier,Darrell McGraw,4560,
2004,primary,Attorney General,D,Hampshire,Darrell McGraw,1814,
2004,primary,Attorney General,D,Hancock,Darrell McGraw,4711,
2004,primary,Attorney General,D,Hardy,Darrell McGraw,1406,
2004,primary,Attorney General,D,Harrison,Darrell McGraw,10341,
2004,primary,Attorney General,D,Jackson,Darrell McGraw,3177,
2004,primary,Attorney General,D,Jefferson,Darrell McGraw,3468,
2004,primary,Attorney General,D,Kanawha,Darrell McGraw,20941,
2004,primary,Attorney General,D,Lewis,Darrell McGraw,2140,
2004,primary,Attorney General,D,Lincoln,Darrell McGraw,3877,
2004,primary,Attorney General,D,Logan,Darrell McGraw,6167,
2004,primary,Attorney General,D,Marion,Darrell McGraw,9766,
2004,primary,Attorney General,D,Marshall,Darrell McGraw,4880,
2004,primary,Attorney General,D,Mason,Darrell McGraw,3786,
2004,primary,Attorney General,D,McDowell,Darrell McGraw,4108,
2004,primary,Attorney General,D,Mercer,Darrell McGraw,6607,
2004,primary,Attorney General,D,Mineral,Darrell McGraw,2282,
2004,primary,Attorney General,D,Mingo,Darrell McGraw,5630,
2004,primary,Attorney General,D,Monongalia,Darrell McGraw,7307,
2004,primary,Attorney General,D,Monroe,Darrell McGraw,1723,
2004,primary,Attorney General,D,Morgan,Darrell McGraw,681,
2004,primary,Attorney General,D,Nicholas,Darrell McGraw,3916,
2004,primary,Attorney General,D,Ohio,Darrell McGraw,5234,
2004,primary,Attorney General,D,Pendleton,Darrell McGraw,1162,
2004,primary,Attorney General,D,Pleasants,Darrell McGraw,1060,
2004,primary,Attorney General,D,Pocahontas,Darrell McGraw,1300,
2004,primary,Attorney General,D,Preston,Darrell McGraw,2490,
2004,primary,Attorney General,D,Putnam,Darrell McGraw,5390,
2004,primary,Attorney General,D,Raleigh,Darrell McGraw,7598,
