year,election,office,party,district,candidate,county,votes,winner
2000,primary,State Senate,D,11,Mark Burnette,Totals,8042,TRUE
2000,primary,State Senate,D,11,Mark Burnette,Clay,305,
2000,primary,State Senate,D,11,Mark Burnette,Fayette,1754,
2000,primary,State Senate,D,11,Mark Burnette,Greenbrier,3188,
2000,primary,State Senate,D,11,Mark Burnette,Nicholas,1827,
2000,primary,State Senate,D,11,Mark Burnette,Webster,968,
2000,primary,State Senate,D,11,James G. Dawson,Totals,7218,
2000,primary,State Senate,D,11,James G. Dawson,Clay,2029,
2000,primary,State Senate,D,11,James G. Dawson,Fayette,2093,
2000,primary,State Senate,D,11,James G. Dawson,Greenbrier,960,
2000,primary,State Senate,D,11,James G. Dawson,Nicholas,1533,
2000,primary,State Senate,D,11,James G. Dawson,Webster,603,
2000,primary,State Senate,R,11,Hiram Lewis,Totals,2673,TRUE
2000,primary,State Senate,R,11,Hiram Lewis,Clay,370,
2000,primary,State Senate,R,11,Hiram Lewis,Fayette,499,
2000,primary,State Senate,R,11,Hiram Lewis,Greenbrier,962,
2000,primary,State Senate,R,11,Hiram Lewis,Nicholas,718,
2000,primary,State Senate,R,11,Hiram Lewis,Webster,124,
